model	stratum	n	spearman	pearson	r2	mae	rmse
nmdetective_b	pooled	2332	0.7918	0.8257	0.6818	1.2792	1.9133
nmdetective_b	NMD+/PTC+	1050	0.1524	0.1431	0.0205	2.5185	2.7332
nmdetective_b	NMD+/PTC-	116	-0.1335	-0.1359	0.0185	2.1659	2.4122
nmdetective_b	Control	1166	0.0685	0.075	0.0056	0.075	0.1243
nmdep_rule	pooled	2332	0.791	0.8259	0.6822	1.2803	1.9148
nmdep_rule	NMD+/PTC+	1050	0.1464	0.1409	0.0198	2.521	2.7356
nmdep_rule	NMD+/PTC-	116	-0.1335	-0.1359	0.0185	2.1659	2.4122
nmdep_rule	Control	1166	0.0686	0.0768	0.0059	0.075	0.1238
our_model	pooled	2218	0.7708	0.8009	0.6415	1.2485	1.7869
our_model	NMD+/PTC+	1016	0.3247	0.2822	0.0796	2.3341	2.5363
our_model	NMD+/PTC-	95	0.4309	0.4775	0.228	1.9908	2.1765
our_model	Control	1107	0.1925	0.2021	0.0408	0.1884	0.2948
nmdetective_b	head-to-head	2218	0.7943	0.8353	0.6977	1.3199	1.9539
nmdep_rule	head-to-head	2218	0.7936	0.8357	0.6983	1.3211	1.9555
our_model	head-to-head	2218	0.7708	0.8009	0.6415	1.2485	1.7869
nmdetective_b	head-to-head:NMD+/PTC+	1016	0.1598	0.1546	0.0239	2.5779	2.7726
nmdep_rule	head-to-head:NMD+/PTC+	1016	0.1562	0.1545	0.0239	2.5804	2.7751
our_model	head-to-head:NMD+/PTC+	1016	0.3247	0.2822	0.0796	2.3341	2.5363
nmdetective_b	head-to-head:NMD+/PTC-	95	-0.1673	-0.1812	0.0328	2.3876	2.5964
nmdep_rule	head-to-head:NMD+/PTC-	95	-0.1673	-0.1812	0.0328	2.3876	2.5964
our_model	head-to-head:NMD+/PTC-	95	0.4309	0.4775	0.228	1.9908	2.1765
nmdetective_b	head-to-head:Control	1107	0.0619	0.0734	0.0054	0.0738	0.1237
nmdep_rule	head-to-head:Control	1107	0.0621	0.0754	0.0057	0.0738	0.1232
our_model	head-to-head:Control	1107	0.1925	0.2021	0.0408	0.1884	0.2948
nmdetective_b	head-to-head:test	561	0.7645	0.8048	0.6477	1.3596	1.9974
nmdep_rule	head-to-head:test	561	0.7672	0.8089	0.6544	1.3617	1.9996
our_model	head-to-head:test	561	0.7576	0.7775	0.6045	1.296	1.8397
nmdetective_b	head-to-head:test:NMD+/PTC+	255	0.1942	0.1621	0.0263	2.5947	2.7928
nmdep_rule	head-to-head:test:NMD+/PTC+	255	0.2155	0.2115	0.0447	2.6001	2.7964
our_model	head-to-head:test:NMD+/PTC+	255	0.3438	0.3307	0.1093	2.3784	2.5781
nmdetective_b	head-to-head:test:NMD+/PTC-	30	-0.139	-0.1387	0.0192	2.6236	2.8505
nmdep_rule	head-to-head:test:NMD+/PTC-	30	-0.139	-0.1387	0.0192	2.6236	2.8505
our_model	head-to-head:test:NMD+/PTC-	30	0.5106	0.5568	0.31	2.247	2.4434
nmdetective_b	head-to-head:test:Control	276	0.0061	-0.0013	0	0.0812	0.1413
nmdep_rule	head-to-head:test:Control	276	0.0069	0.0061	0	0.0803	0.1376
our_model	head-to-head:test:Control	276	0.2298	0.2089	0.0436	0.1926	0.2997
