ensembl_gene_id,hgnc_symbol,entrez_id,is_target
ENSG00000000003,TSPAN6,7105,FALSE
ENSG00000000419,DPM1,8813,FALSE
ENSG00000000457,SCYL3,57147,FALSE
ENSG00000000460,FIRRM,55732,FALSE
ENSG00000000938,FGR,2268,FALSE
ENSG00000000971,CFH,3075,FALSE
ENSG00000001036,FUCA2,2519,FALSE
ENSG00000001084,GCLC,2729,FALSE
ENSG00000001167,NFYA,4800,FALSE
ENSG00000001460,STPG1,90529,FALSE
ENSG00000001461,NIPAL3,57185,FALSE
ENSG00000001561,ENPP4,22875,FALSE
ENSG00000001617,SEMA3F,6405,FALSE
ENSG00000001629,ANKIB1,54467,FALSE
ENSG00000001630,CYP51A1,1595,FALSE
ENSG00000001631,KRIT1,889,FALSE
ENSG00000002016,RAD52,5893,FALSE
ENSG00000002330,BAD,572,FALSE
ENSG00000002549,LAP3,51056,FALSE
ENSG00000002586,CD99,4267,FALSE
ENSG00000002587,HS3ST1,9957,FALSE
ENSG00000002726,AOC1,26,FALSE
ENSG00000002745,WNT16,51384,FALSE
ENSG00000002822,MAD1L1,8379,FALSE
ENSG00000002834,LASP1,3927,FALSE
ENSG00000002919,SNX11,29916,FALSE
ENSG00000002933,TMEM176A,55365,FALSE
ENSG00000003056,M6PR,4074,FALSE
ENSG00000003096,KLHL13,90293,FALSE
ENSG00000003147,ICA1,3382,FALSE
ENSG00000003249,DBNDD1,79007,FALSE
ENSG00000003393,ALS2,57679,FALSE
ENSG00000003400,CASP10,843,TRUE
ENSG00000003402,CFLAR,8837,TRUE
ENSG00000003436,TFPI,7035,FALSE
ENSG00000003509,NDUFAF7,55471,TRUE
ENSG00000003756,RBM5,10181,FALSE
ENSG00000003987,MTMR7,9108,FALSE
ENSG00000003989,SLC7A2,6542,FALSE
ENSG00000004455,AK2,204,TRUE
ENSG00000004468,CD38,952,FALSE
ENSG00000004478,FKBP4,2288,FALSE
ENSG00000004487,KDM1A,23028,FALSE
ENSG00000004534,RBM6,10180,FALSE
ENSG00000004660,CAMKK1,84254,FALSE
ENSG00000004700,RECQL,5965,FALSE
ENSG00000004766,VPS50,55610,FALSE
ENSG00000004776,HSPB6,126393,FALSE
ENSG00000004799,PDK4,5166,FALSE
ENSG00000004809,SLC22A16,85413,FALSE
ENSG00000004838,ZMYND10,51364,FALSE
ENSG00000004864,SLC25A13,10165,FALSE
ENSG00000004866,ST7,7982,FALSE
ENSG00000004961,HCCS,3052,FALSE
ENSG00000004975,DVL2,1856,FALSE
ENSG00000005001,PRSS22,64063,FALSE
ENSG00000005020,SKAP2,8935,TRUE
ENSG00000005059,MCUB,55013,FALSE
ENSG00000005075,POLR2J,5439,FALSE
ENSG00000005100,DHX33,56919,FALSE
ENSG00000005156,LIG3,3980,FALSE
ENSG00000005175,RPAP3,79657,FALSE
ENSG00000005187,ACSM3,6296,FALSE
ENSG00000005189,REXO5,81691,FALSE
ENSG00000005194,CIAPIN1,57019,FALSE
ENSG00000005206,SPPL2B,56928,FALSE
ENSG00000005238,ATOSB,80256,FALSE
ENSG00000005243,COPZ2,51226,FALSE
ENSG00000005249,PRKAR2B,5577,FALSE
ENSG00000005302,MSL3,10943,FALSE
ENSG00000005421,PON1,5444,FALSE
ENSG00000005436,GCFC2,6936,FALSE
ENSG00000005448,WDR54,84058,TRUE
ENSG00000005469,CROT,54677,FALSE
ENSG00000005486,RHBDD2,57414,FALSE
ENSG00000005513,SOX8,30812,FALSE
ENSG00000005801,ZNF195,7748,TRUE
ENSG00000005812,FBXL3,26224,TRUE
ENSG00000005882,PDK2,5164,FALSE
ENSG00000005893,LAMP2,3920,TRUE
ENSG00000006007,GDE1,51573,FALSE
ENSG00000006015,REX1BD,55049,FALSE
ENSG00000006016,CRLF1,9244,FALSE
ENSG00000006025,OSBPL7,114881,FALSE
