sample,bam
Sample01_AT2_014Q_DMSO,data/bams/genome_hg38/Sample01_AT2_014Q_DMSO.aligned.bam
Sample02_AT2_014Q_Smg1i,data/bams/genome_hg38/Sample02_AT2_014Q_Smg1i.aligned.bam
Sample03_AT2_017Q_DMSO,data/bams/genome_hg38/Sample03_AT2_017Q_DMSO.aligned.bam
Sample04_AT2_017Q_Smg1i,data/bams/genome_hg38/Sample04_AT2_017Q_Smg1i.aligned.bam
Sample05_AT2_061Q_DMSO,data/bams/genome_hg38/Sample05_AT2_061Q_DMSO.aligned.bam
Sample06_AT2_061Q_Smg1i,data/bams/genome_hg38/Sample06_AT2_061Q_Smg1i.aligned.bam
Sample07_DD_014Q_DMSO,data/bams/genome_hg38/Sample07_DD_014Q_DMSO.aligned.bam
Sample08_DD_014Q_Smg1i,data/bams/genome_hg38/Sample08_DD_014Q_Smg1i.aligned.bam
Sample09_DD_061Q_DMSO,data/bams/genome_hg38/Sample09_DD_061Q_DMSO.aligned.bam
Sample10_DD_061Q_Smg1i,data/bams/genome_hg38/Sample10_DD_061Q_Smg1i.aligned.bam
Sample11_DD_ALI_014Q_DMSO,data/bams/genome_hg38/Sample11_DD_ALI_014Q_DMSO.aligned.bam
Sample12_DD_ALI_014Q_Smg1i,data/bams/genome_hg38/Sample12_DD_ALI_014Q_Smg1i.aligned.bam
Sample13_DD_017Q_DMSO,data/bams/genome_hg38/Sample13_DD_017Q_DMSO.aligned.bam
Sample14_DD_017Q_Smg1i,data/bams/genome_hg38/Sample14_DD_017Q_Smg1i.aligned.bam
Sample15_DD_ALI_017Q_DMSO,data/bams/genome_hg38/Sample15_DD_ALI_017Q_DMSO.aligned.bam
Sample16_DD_ALI_017Q_Smg1i,data/bams/genome_hg38/Sample16_DD_ALI_017Q_Smg1i.aligned.bam
Sample17_DD_ALI_061Q_DMSO,data/bams/genome_hg38/Sample17_DD_ALI_061Q_DMSO.aligned.bam
Sample18_DD_ALI_061Q_Smg1i,data/bams/genome_hg38/Sample18_DD_ALI_061Q_Smg1i.aligned.bam
Sample19_DO_014Q_DMSO,data/bams/genome_hg38/Sample19_DO_014Q_DMSO.aligned.bam
Sample20_DO_014Q_Smg1i,data/bams/genome_hg38/Sample20_DO_014Q_Smg1i.aligned.bam
Sample21_DO_017Q_DMSO,data/bams/genome_hg38/Sample21_DO_017Q_DMSO.aligned.bam
Sample22_DO_017Q_Smg1i,data/bams/genome_hg38/Sample22_DO_017Q_Smg1i.aligned.bam
Sample23_DO_061Q_DMSO,data/bams/genome_hg38/Sample23_DO_061Q_DMSO.aligned.bam
Sample24_DO_061Q_Smg1i,data/bams/genome_hg38/Sample24_DO_061Q_Smg1i.aligned.bam
Sample25_FB_014Q_DMSO,data/bams/genome_hg38/Sample25_FB_014Q_DMSO.aligned.bam
Sample26_FB_014Q_Smg1i,data/bams/genome_hg38/Sample26_FB_014Q_Smg1i.aligned.bam
Sample27_FB_017Q_DMSO,data/bams/genome_hg38/Sample27_FB_017Q_DMSO.aligned.bam
Sample28_FB_017Q_Smg1i,data/bams/genome_hg38/Sample28_FB_017Q_Smg1i.aligned.bam
Sample29_FB_061Q_DMSO,data/bams/genome_hg38/Sample29_FB_061Q_DMSO.aligned.bam
Sample30_FB_061Q_Smg1i,data/bams/genome_hg38/Sample30_FB_061Q_Smg1i.aligned.bam
Sample31_MV_014Q_DMSO,data/bams/genome_hg38/Sample31_MV_014Q_DMSO.aligned.bam
Sample32_MV_014Q_Smg1i,data/bams/genome_hg38/Sample32_MV_014Q_Smg1i.aligned.bam
Sample33_MV_017Q_DMSO,data/bams/genome_hg38/Sample33_MV_017Q_DMSO.aligned.bam
Sample34_MV_017Q_Smg1i,data/bams/genome_hg38/Sample34_MV_017Q_Smg1i.aligned.bam
Sample35_MV_061Q_DMSO,data/bams/genome_hg38/Sample35_MV_061Q_DMSO.aligned.bam
Sample36_MV_061Q_Smg1i,data/bams/genome_hg38/Sample36_MV_061Q_Smg1i.aligned.bam
Sample37_DD_061Q_DMSO,data/bams/genome_hg38/Sample37_DD_061Q_DMSO.aligned.bam
Sample38_DD_061Q_Smg1i,data/bams/genome_hg38/Sample38_DD_061Q_Smg1i.aligned.bam
