lib.size,norm.factors,id,sample,treatment,ct,sample_num,bam
19414895.7065832,0.692116574749288,027U,DD027U_Smg1i,Smg1i,DD_ALI,sample3,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD027U_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21517-002_1-1-D01_IsoSeqX_bc12.bam
21879845.4139653,0.849042189474023,001V,DD001V_Smg1i,Smg1i,DD_ALI,sample1,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD001V_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21521-002_1-1-D01_IsoSeqX_bc04.bam
22485627.7111226,0.802869350227348,029T,DD029T_Smg1i,Smg1i,DD_ALI,sample4,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD029T_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21525-002_1-1-D01_IsoSeqX_bc05.bam
18942250.2734429,1.01105420840452,010R,DD010R_Smg1i,Smg1i,DD,sample2,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD010R_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21529-002_1-1-D01_IsoSeqX_bc06.bam
9874161.40089515,1.17425059467158,027U,DD027U_DMSO,DMSO,DD_ALI,sample15,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD027U_DMSO/PACBIO_DATA/XCAST_20250813_R84050_PL21518-002_1-1-A01_IsoSeqX_bc01.bam
10224790.7476846,1.41809226534545,027U,DO027U_Smg1i,Smg1i,DO,sample24,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO027U_Smg1i/PACBIO_DATA/XCAST_20250813_R84050_PL21519-002_1-1-A01_IsoSeqX_bc02.bam
11295400.7313259,1.20855782168226,027U,DO027U_DMSO,DMSO,DO,sample23,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO027U_DMSO/PACBIO_DATA/XCAST_20250813_R84050_PL21520-002_1-1-A01_IsoSeqX_bc03.bam
10127117.2152936,1.35681506423831,001V,DD001V_DMSO,DMSO,DD_ALI,sample11,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD001V_DMSO/PACBIO_DATA/XCAST_20250813_R84050_PL21522-002_1-1-A01_IsoSeqX_bc04.bam
11593720.236604,1.42740844000674,001V,DO001V_Smg1i,Smg1i,DO,sample22,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO001V_Smg1i/PACBIO_DATA/XCAST_20250815_R84050_PL21523-002_1-1-C01_IsoSeqX_bc05.bam
2335220.88211788,1.89522335338955,001V,DO001V_DMSO,DMSO,DO,sample21,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO001V_DMSO/PACBIO_DATA/XCAST_20250815_R84050_PL21524-002_1-1-C01_IsoSeqX_bc06.bam
11706671.5967242,1.21466395330967,029T,DD029T_DMSO,DMSO,DD_ALI,sample16,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD029T_DMSO/PACBIO_DATA/XCAST_20250815_R84050_PL21526-002_1-1-C01_IsoSeqX_bc07.bam
11444978.6987321,1.29725480398722,029T,DO029T_Smg1i,Smg1i,DO,sample26,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO029T_Smg1i/PACBIO_DATA/XCAST_20250815_R84050_PL21527-002_1-1-C01_IsoSeqX_bc08.bam
