group,lib.size,norm.factors,bam,id,sample,treatment,ct,bamid
1,21959672.9200427,0.874384073650135,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD001V_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21521-002_1-1-D01_IsoSeqX_bc04.bam,001V,DD001V_Smg1i,Smg1i,DD_ALI,XCAST_20250725_R84050_PL21521-002_1-1-D01_IsoSeqX_bc04
1,19200769.6993828,0.986725570479198,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD010R_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21529-002_1-1-D01_IsoSeqX_bc06.bam,010R,DD010R_Smg1i,Smg1i,DD,XCAST_20250725_R84050_PL21529-002_1-1-D01_IsoSeqX_bc06
1,19475301.4417411,0.719680662054168,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD027U_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21517-002_1-1-D01_IsoSeqX_bc12.bam,027U,DD027U_Smg1i,Smg1i,DD_ALI,XCAST_20250725_R84050_PL21517-002_1-1-D01_IsoSeqX_bc12
1,22560802.4197328,0.813599029493431,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD029T_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21525-002_1-1-D01_IsoSeqX_bc05.bam,029T,DD029T_Smg1i,Smg1i,DD_ALI,XCAST_20250725_R84050_PL21525-002_1-1-D01_IsoSeqX_bc05
1,11529089.4638589,0.827315075031441,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2001V_DMSO/PACBIO_DATA/XCAST_20250827_R84050_PL21540-002_1-1-C01_IsoSeqX_bc08.bam,2001,AT2001V_DMSO,DMSO,AT,XCAST_20250827_R84050_PL21540-002_1-1-C01_IsoSeqX_bc08
1,12184146.3333281,0.96146315025441,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2001V_Smg1i/PACBIO_DATA/XCAST_20250825_R84050_PL21539-002_1-1-B01_IsoSeqX_bc07.bam,2001,AT2001V_Smg1i,Smg1i,AT,XCAST_20250825_R84050_PL21539-002_1-1-B01_IsoSeqX_bc07
1,12701920.0334892,0.891828673549601,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2027U_DMSO/PACBIO_DATA/XCAST_20250825_R84050_PL21538-002_1-1-B01_IsoSeqX_bc06.bam,2027,AT2027U_DMSO,DMSO,AT,XCAST_20250825_R84050_PL21538-002_1-1-B01_IsoSeqX_bc06
1,10121976.4272566,1.15519348811956,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2027U_Smg1i/PACBIO_DATA/XCAST_20250825_R84050_PL21537-003_1-1-B01_IsoSeqX_bc05.bam,2027,AT2027U_Smg1i,Smg1i,AT,XCAST_20250825_R84050_PL21537-003_1-1-B01_IsoSeqX_bc05
1,9590839.21252636,0.892197568013629,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2029T_DMSO/PACBIO_DATA/XCAST_20250827_R84050_PL21542-002_1-1-C01_IsoSeqX_bc10.bam,2029,AT2029T_DMSO,DMSO,AT,XCAST_20250827_R84050_PL21542-002_1-1-C01_IsoSeqX_bc10
1,11058843.8229235,0.984370589821337,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2029T_Smg1i/PACBIO_DATA/XCAST_20250827_R84050_PL21541-003_1-1-C01_IsoSeqX_bc09.bam,2029,AT2029T_Smg1i,Smg1i,AT,XCAST_20250827_R84050_PL21541-003_1-1-C01_IsoSeqX_bc09
