biotype	n_cell_types	total_n	total_nmd	pooled_nmd_rate	mean_nmd_rate
IG_V_gene	6	145	15	0.10344827586206896	0.09838772338772339
TEC	6	460	40	0.08695652173913043	0.08604829547534411
protein_coding	6	76901	5772	0.07505754151441464	0.07446330518408173
transcribed_unprocessed_pseudogene	6	1012	70	0.0691699604743083	0.06794608102718395
rRNA_pseudogene	6	294	20	0.06802721088435375	0.06672889007941159
snoRNA	6	525	35	0.06666666666666667	0.06531093358008311
retained_intron	6	12757	809	0.06341616367484518	0.06270846223844508
nonsense_mediated_decay	6	7308	463	0.0633552271483306	0.06288797825330919
transcribed_processed_pseudogene	6	507	32	0.0631163708086785	0.0626680642457068
lncRNA	6	79817	5008	0.0627435258153025	0.061882834295233294
unprocessed_pseudogene	6	1536	92	0.059895833333333336	0.059688339596731504
protein_coding_CDS_not_defined	6	10172	598	0.05878883208808494	0.058324692369779975
transcribed_unitary_pseudogene	6	103	6	0.05825242718446602	0.05773420479302832
misc_RNA	6	1159	62	0.05349439171699741	0.05297564582104056
processed_pseudogene	6	5241	267	0.05094447624499141	0.05043246043671596
miRNA	6	1147	58	0.05056669572798605	0.04967526193132202
IG_V_pseudogene	6	201	9	0.04477611940298507	0.04303902116402116
snRNA	6	1137	48	0.04221635883905013	0.04175946064894383
