cell_type	dmso_cpm_tertile	n_FALSE	n_TRUE	mean_logFC_FALSE	mean_logFC_TRUE	median_logFC_FALSE	median_logFC_TRUE	pct_positive_FALSE	pct_positive_TRUE	mean_shift	median_shift	pct_positive_shift
AT	Low	16152	3542	0.32318746904408124	0.31323404856013554	0.135	0.116	54.457652303120355	53.92433653303218	-0.009953420483945707	-0.019000000000000003	-0.5333157700881728
AT	Mid	16227	3466	-0.15687533123806002	-0.18033006347374492	-0.214	-0.211	40.22308498182042	40.24812463935372	-0.023454732235684894	0.0030000000000000027	0.02503965753329851
AT	High	16395	3298	-0.29619737724916123	-0.2889026682838084	-0.293	-0.29	26.379993900579446	28.13826561552456	0.007294708965352836	0.0030000000000000027	1.7582717149451135
DD	Low	17590	3793	0.8064039795338261	0.8393498549960453	0.415	0.432	62.0636725412166	62.03532823622463	0.032945875462219165	0.017000000000000015	-0.028344304991968272
DD	Mid	17615	3768	-0.00874118648878789	4.933651804670057e-4	-0.164	-0.185	42.73630428611979	42.35668789808918	0.009234551669254895	-0.02099999999999999	-0.3796163880306125
DD	High	17769	3614	-0.28233794811188007	-0.3077684006640841	-0.332	-0.353	26.107265462322022	25.733259546209187	-0.025430452552204053	-0.020999999999999963	-0.37400591611283573
DD_ALI	Low	16945	3675	0.5120992623192697	0.3018378231292517	0.269	0.067	57.46827972853349	52.244897959183675	-0.210261439190018	-0.202	-5.223381769349814
DD_ALI	Mid	16987	3632	-0.23056460822982208	-0.3183733480176212	-0.409	-0.455	36.56325425325249	33.31497797356828	-0.0878087397877991	-0.04600000000000004	-3.2482762796842053
DD_ALI	High	17044	3575	-0.3185890636000938	-0.5161510489510489	-0.573	-0.665	31.172260032856137	25.370629370629374	-0.1975619853509551	-0.09200000000000008	-5.8016306622267635
DO	Low	16977	3664	0.08802149967603218	0.1663657205240174	0.07	0.161	52.859751428403136	56.98689956331878	0.07834422084798523	0.091	4.127148134915643
DO	Mid	16945	3695	-0.16259876069637055	-0.12457212449255751	-0.097	-0.046	43.74151667158454	46.90121786197564	0.03802663620381304	0.051000000000000004	3.1597011903910968
DO	High	17124	3517	-0.17113343844896048	-0.12499601933466023	-0.097	-0.063	41.67834618079888	44.156951947682685	0.04613741911430025	0.034	2.4786057668838026
FB	Low	14970	3327	0.18616646626586503	0.21002554854223018	0.059	0.087	52.29792919171676	53.531710249473996	0.023859082276365157	0.027999999999999997	1.2337810577572341
FB	Mid	15076	3220	0.0098138100291854935	0.013585714285714279	-0.043	-0.0165	48.06314672326877	49.28571428571429	0.0037719042565287856	0.026499999999999996	1.2225675624455192
FB	High	15451	2845	-0.021876253964144575	0.019743057996485083	-0.095	-0.063	43.35641706038444	46.04569420035149	0.04161931196062966	0.032	2.6892771399670536
MV	Low	14995	3286	0.48994258086028675	0.5021500304321362	0.192	0.2165	56.75225075025009	56.93852708460134	0.012207449571849494	0.024499999999999994	0.18627633435124835
MV	Mid	15078	3203	-0.25588513065393287	-0.282847955042148	-0.326	-0.337	35.25003316089667	35.49797065251327	-0.026962824388215123	-0.01100000000000001	0.24793749161659662
MV	High	15393	2888	-0.45921873578899497	-0.4515024238227147	-0.492	-0.51	20.242967582667447	21.29501385041551	0.007716311966280254	-0.018000000000000016	1.0520462677480644
