nmd_comparison	run	nmd_n	nmd_rate	baseline_n	baseline_rate	diff	odds_ratio	p_value	fdr_p
C1	at	44	0.3409090909090909	3094	0.3277310924369748	0.013177998472116093	1.0609868039128483	0.8720987918054062	0.8720987918054062
C1	dd	112	0.375	2556	0.32668231611893583	0.048317683881064166	1.2365168478908484	0.30440232046941706	0.766582710739906
C1	dd_ali	113	0.3185840707964602	1339	0.3323375653472741	-0.013753494550813927	0.9393027878555809	0.8353336587206934	0.8720987918054062
C1	fb	26	0.4230769230769231	3179	0.3494809688581315	0.07359595421879156	1.3648288217714637	0.41813602403994876	0.766582710739906
C1	mv	89	0.3595505617977528	2861	0.32995456134218804	0.029596000455564764	1.1399937163097706	0.5683731120623766	0.7815130290857678
C2	all_samples	409	0.3545232273838631	653	0.31852986217457885	0.035993365209284256	1.1748750429814325	0.22902695576006948	0.766582710739906
C2	at	409	0.37897310513447435	3094	0.3277310924369748	0.05124201269749956	1.2516548756644148	0.04446571125362976	0.2445614118949637
C2	dd	855	0.3087719298245614	2556	0.32668231611893583	-0.017910386294374414	0.9206871587455131	0.3524054057150512	0.766582710739906
C2	dd_ali	518	0.3474903474903475	1339	0.3323375653472741	0.015152782143073418	1.069835640192807	0.547208124195846	0.7815130290857678
C2	fb	188	0.3617021276595745	3179	0.3494809688581315	0.012221158801442977	1.054768132157975	0.7531656447054527	0.8720987918054062
C2	mv	591	0.3840947546531303	2861	0.32995456134218804	0.054140193310942275	1.2662920727254212	0.013035102184289389	0.1433861240271833
