nmd_comparison	run	nmd_n	nmd_fd_n	nmd_fd_rate	baseline_n	baseline_fd_n	baseline_fd_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
C1	at	44	24	0.5454545454545454	3094	1599	0.5168067226890757	0.028647822765469733	1.1219076548860967	0.5911852190249021	2.1511648383543314	0.7624444348122364	0.9687016341051393
C1	dd	112	62	0.5535714285714286	2556	1322	0.5172143974960877	0.03635703107534094	1.1573943640120268	0.7777679698724785	1.729622558552101	0.4991469328553891	0.91510271023488
C1	dd_ali	113	47	0.415929203539823	1339	663	0.49514563106796117	-0.07921642752813818	0.7262467264026682	0.48092745846057133	1.089598111761595	0.11703225952832048	0.4265135444757342
C1	fb	26	20	0.7692307692307693	3179	1694	0.532871972318339	0.23635879691243022	2.921027119120942	1.1276216849657796	8.912883880752293	0.017387501596580614	0.19126251756238677
C1	mv	89	50	0.5617977528089888	2861	1483	0.518350227193289	0.043447525615699756	1.191207408752136	0.7626998055659538	1.8724302796459127	0.45173869355896495	0.91510271023488
C2	all_samples	409	214	0.5232273838630807	653	336	0.5145482388973966	0.008679144965684005	1.0353597497416989	0.8022626923191892	1.3364045465757701	0.8009130375917789	0.9687016341051393
C2	at	409	227	0.5550122249388753	3094	1599	0.5168067226890757	0.03820550224979957	1.1660783589365347	0.9429060978471696	1.443472727435428	0.15509583435481245	0.4265135444757342
C2	dd	855	439	0.5134502923976608	2556	1322	0.5172143974960877	-0.00376410509842684	0.9850439675681539	0.8410997124752643	1.1537499904871253	0.8743772181046838	0.9687016341051393
C2	dd_ali	518	256	0.4942084942084942	1339	663	0.49514563106796117	-9.371368594669471e-4	0.9962598963474827	0.8090598974726554	1.2266682903868857	1.0000000000000002	1
C2	fb	188	99	0.526595744680851	3179	1694	0.532871972318339	-0.00627622763748803	0.9751210342348166	0.7184822429641177	1.3249962783991123	0.8806378491864902	0.9687016341051393
C2	mv	591	329	0.55668358714044	2861	1483	0.518350227193289	0.038333359947150925	1.1667632866613808	0.9727486884649934	1.4003360823932696	0.09416391506699273	0.4265135444757342
