nmd_comparison	run	nmd_n	nmd_rate	baseline_n	baseline_rate	diff	odds_ratio	p_value	fdr_p
C1	at	43	0.16279069767441862	6386	0.19793297839022864	-0.03514228071581002	0.7879598266230454	0.7017964126547299	0.7017964126547299
C1	dd	49	0.14285714285714285	4535	0.24432194046306505	-0.1014647976059222	0.5155845629159187	0.13028794631344678	0.23886123490798575
C1	dd_ali	42	0.16666666666666666	988	0.24898785425101214	-0.08232118758434548	0.6034870510775228	0.2740794465140505	0.4306962730935079
C1	fb	14	0.2857142857142857	6534	0.2150290786654423	0.0706852070488434	1.460119039391392	0.5172328069272751	0.697356551124022
C1	mv	41	0.17073170731707318	4717	0.2192071231715073	-0.04847541585443413	0.7333808852968107	0.5705644509196542	0.697356551124022
C2	all_samples	441	0.1746031746031746	492	0.2621951219512195	-0.08759194734804493	0.5955963078244765	0.0015304571590244685	0.006119600502007498
C2	at	1609	0.23368551895587322	6386	0.19793297839022864	0.035752540565644586	1.2357081967830992	0.001668981955092954	0.006119600502007498
C2	dd	1980	0.25	4535	0.24432194046306505	0.005678059536934954	1.0310105082674579	0.6390468957917058	0.7017964126547299
C2	dd_ali	359	0.15041782729805014	988	0.24898785425101214	-0.09857002695296199	0.5342569493838195	1.1076445010524718e-4	0.001218408951157719
C2	fb	904	0.2588495575221239	6534	0.2150290786654423	0.04382047885668161	1.27491863653732	0.0035732163305879825	0.009826344909116953
C2	mv	1600	0.2475	4717	0.2192071231715073	0.028292876828492686	1.1714706968989126	0.020552845520116287	0.04521626014425584
