nmd_comparison	run	nmd_n	nmd_fd_n	nmd_fd_rate	baseline_n	baseline_fd_n	baseline_fd_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
C1	at	43	16	0.37209302325581395	6386	2583	0.4044785468211713	-0.032385523565357344	0.8724731124474314	0.43823229401960623	1.682705910632653	0.7560528692719023	0.8316581561990926
C1	dd	49	16	0.32653061224489793	4535	1993	0.439470782800441	-0.11294017055554306	0.6184700547414765	0.3169089574918085	1.1598269847313036	0.14704479806473794	0.3234985557424235
C1	dd_ali	42	13	0.30952380952380953	988	398	0.402834008097166	-0.09331019857335648	0.6647817199967855	0.31317471990025425	1.3388596260529628	0.26192145512675513	0.4115908580563295
C1	fb	14	6	0.42857142857142855	6534	2719	0.4161310070400979	0.012440421531330625	1.0522825253863404	0.30055876920691704	3.462898545550471	0.9999999999999999	0.9999999999999999
C1	mv	41	18	0.43902439024390244	4717	1958	0.41509433962264153	0.023930050621260912	1.1027427204448839	0.55914421524475455	2.142279515526788	0.7530329742922652	0.8316581561990926
C2	all_samples	441	183	0.41496598639455784	492	214	0.4349593495934959	-0.019993363198938074	0.9215114390578886	0.704291251806413	1.205289753649428	0.5510809321187499	0.7577362816632811
C2	at	1609	866	0.5382224984462399	6386	2583	0.4044785468211713	0.13374395162506864	1.7158803321729152	1.5349481763349837	1.9186016316082122	5.869779317824622e-22	6.456757249607084e-21
C2	dd	1980	1020	0.5151515151515151	4535	1993	0.439470782800441	0.07568073235107414	1.3550966635189459	1.217326877432141	1.5086767064195221	1.8928080686305843e-8	5.205222188734107e-8
C2	dd_ali	359	132	0.36768802228412256	988	398	0.402834008097166	-0.03514598581304346	0.8621143686190935	0.6657447088133862	1.1138406479000746	0.2564970599314296	0.4115908580563295
C2	fb	904	468	0.5176991150442478	6534	2719	0.4161310070400979	0.10156810800414989	1.5059485341911385	1.3068328587662734	1.7357894985673623	9.026960005756961e-9	3.309885335444219e-8
C2	mv	1600	839	0.524375	4717	1958	0.41509433962264153	0.10928066037735851	1.5533650031230033	1.3839172534638182	1.7439035267554097	3.389410956559097e-14	1.8641760261075034e-13
