nmd_comparison	run	nmd_n	nmd_ptc_n	nmd_ptc_rate	baseline_n	baseline_ptc_n	baseline_ptc_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
C1	at	36	20	0.5555555555555556	5732	384	0.06699232379623168	0.4885632317593239	17.37774097191494	8.48435965697366	36.2037596888559	1.3206777030497452e-14	1.8159318416933996e-14
C1	dd	37	22	0.5945945945945946	4024	231	0.05740556660039761	0.537189027994197	24.01829662218945	11.73335377481581	50.574218335671894	5.010198451181175e-18	7.873168994713275e-18
C1	dd_ali	37	5	0.13513513513513514	910	84	0.09230769230769231	0.04282744282744283	1.535633607916749	0.45493308706636865	4.119511360029333	0.38318838909941894	0.38318838909941894
C1	fb	11	6	0.5454545454545454	5813	426	0.07328401857904697	0.47217052687549843	15.15579743079974	3.836710896102649	63.063860291344305	5.392756656168978e-5	6.59114702420653e-5
C1	mv	35	22	0.6285714285714286	4211	259	0.061505580622180006	0.5670658479492485	25.7636778976664	12.255401297782095	56.4077233148777	3.474424692127245e-18	6.369778602233281e-18
C2	all_samples	389	156	0.40102827763496146	448	30	0.06696428571428571	0.33406399192067576	9.302878940851324	6.039343015797281	14.723988253975062	2.0657733701120727e-32	4.5447014142465606e-32
C2	at	1531	881	0.5754408883082952	5732	384	0.06699232379623168	0.50844856451206355	18.86255733703113	16.279868003532517	21.89653562762355	0	0
C2	dd	1862	1068	0.5735767991407089	4024	231	0.05740556660039761	0.5161712325403113	22.069336111079277	18.743992254607665	26.054624252921528	0	0
C2	dd_ali	290	33	0.11379310344827587	910	84	0.09230769230769231	0.021485411140583555	1.2624041234634684	0.7973995343065099	1.9613471315836248	0.3061317497615667	0.3367449247377234
C2	fb	867	471	0.5432525951557093	5813	426	0.07328401857904697	0.46996857657666236	15.028747454605044	12.68761042817042	17.813242965253462	2.740947139182944e-225	7.537604632753096e-225
C2	mv	1510	872	0.5774834437086093	4211	259	0.061505580622180006	0.5159778630864292	20.837559555008948	17.684461816537645	24.61471239178648	0	0
