comparison	run	n_pairs	n_comp_ptc	comp_ptc_rate	n_dom_ptc	dom_ptc_rate
C1	all_samples	3	2	0.6666666666666666	0	0
C1	at	36	20	0.5555555555555556	0	0
C1	dd	37	22	0.5945945945945946	2	0.05405405405405406
C1	dd_ali	37	5	0.13513513513513514	4	0.10810810810810811
C1	fb	11	6	0.5454545454545454	0	0
C1	mv	35	22	0.6285714285714286	2	0.05714285714285714
C2	all_samples	389	156	0.40102827763496146	3	0.007712082262210797
C2	at	1531	881	0.5754408883082952	7	0.0045721750489875895
C2	dd	1862	1068	0.5735767991407089	11	0.005907626208378088
C2	dd_ali	290	33	0.11379310344827587	8	0.027586206896551724
C2	fb	867	471	0.5432525951557093	3	0.0034602076124567475
C2	mv	1510	872	0.5774834437086093	8	0.005298013245033113
C4	all_samples	448	30	0.06696428571428571	4	0.008928571428571428
C4	at	5732	384	0.06699232379623168	66	0.011514305652477321
C4	dd	4024	231	0.05740556660039761	56	0.013916500994035786
C4	dd_ali	910	84	0.09230769230769231	25	0.027472527472527472
C4	fb	5813	426	0.07328401857904697	74	0.01273008773438844
C4	mv	4211	259	0.061505580622180006	61	0.014485870339586796
