cell_type	ptc_distance_bin	n	n_nmd	nmd_rate	median_distance
AT	0-50 (no PTC)	46725	1402	0.030005350454788658	-148
AT	51-100	559	112	0.2003577817531306	71
AT	101-200	860	323	0.3755813953488372	146
AT	201-500	1718	683	0.39755529685681024	323
AT	>500	2073	535	0.25808007718282683	872
DD	0-50 (no PTC)	51077	3150	0.06167159386808153	-146
DD	51-100	670	226	0.3373134328358209	73
DD	101-200	1199	704	0.5871559633027523	146
DD	201-500	2360	1494	0.6330508474576271	326
DD	>500	2563	1173	0.4576667967225907	831
DD_ALI	0-50 (no PTC)	45233	8106	0.1792054473503858	-149
DD_ALI	51-100	388	105	0.2706185567010309	67
DD_ALI	101-200	515	125	0.24271844660194175	145
DD_ALI	201-500	1020	199	0.19509803921568628	320.5
DD_ALI	>500	1679	221	0.13162596783799882	969
DO	0-50 (no PTC)	45234	16	3.537162311535571e-4	-148
DO	51-100	428	1	0.002336448598130841	68
DO	101-200	552	0	0	144.5
DO	201-500	1105	0	0	318
DO	>500	1705	3	0.0017595307917888563	956
FB	0-50 (no PTC)	47879	797	0.016646128782973748	-146
FB	51-100	545	72	0.13211009174311927	71
FB	101-200	835	170	0.20359281437125748	147
FB	201-500	1521	337	0.2215647600262985	323
FB	>500	1762	256	0.1452894438138479	882.5
MV	0-50 (no PTC)	43334	2042	0.047122351963815944	-147
MV	51-100	550	186	0.3381818181818182	72
MV	101-200	922	470	0.5097613882863341	146
MV	201-500	1850	1015	0.5486486486486486	324
MV	>500	1967	787	0.40010167768174887	840
