cell_type	dmso_cpm_tertile	n_FALSE	n_TRUE	mean_logFC_FALSE	mean_logFC_TRUE	median_logFC_FALSE	median_logFC_TRUE	pct_positive_FALSE	pct_positive_TRUE	mean_shift	median_shift	pct_positive_shift
AT	Low	14053	2606	0.18146096918807375	1.672149654643131	0.028	1.7675	50.85035223795631	82.04144282425173	1.4906886854550572	1.7395	31.191090586295424
AT	Mid	15154	1487	-0.11666312524745936	1.0027834566240752	-0.158	0.754	39.50772073379966	68.3927370544721	1.1194465818715345	0.912	28.885016320672435
AT	High	16001	649	-0.235861758640085	0.6015793528505393	-0.266	0.354	22.842322354852822	61.63328197226502	0.8374411114906243	0.62	38.7909596174122
DD	Low	15179	3370	0.30788167863495436	2.3774029673590507	-0.026	2.6399999999999997	48.95579418934054	86.35014836795251	2.069521288724096	2.6659999999999995	37.39435417861198
DD	Mid	16533	2015	-0.12775007560636334	1.5492163771712157	-0.233	1.297	37.01687534022863	74.88833746898264	1.6769664527775792	1.53	37.87146212875401
DD	High	17662	887	-0.31435884950741727	0.9620620067643741	-0.361	0.592	18.58226701392821	67.3055242390079	1.2764208562717914	0.953	48.723257225079685
DD_ALI	Low	14017	1794	0.5965635299992866	0.5513377926421404	0.479	0.3695	59.648997645715916	58.80713489409142	-0.04522573735714619	-0.10949999999999999	-0.8418627516244968
DD_ALI	Mid	14685	1121	-0.24548437180796734	-0.006707404103479328	-0.63	-0.31	35.941436840313244	41.65923282783229	0.238776967704488	0.32	5.717795987519047
DD_ALI	High	15329	480	-0.31383345293235043	-0.15314166666666681	-0.816	-0.445	32.80057407528215	35.41666666666667	0.16069178626568362	0.37099999999999994	2.616092591384522
DO	Low	14126	1991	-0.05588970692340366	0.2659794073329985	-0.078	0.229	46.679881070366704	60.371672526368656	0.3218691142564022	0.307	13.691791456001951
DO	Mid	14962	1148	-0.11105306777168834	0.18241811846689893	-0.065	0.1895	45.669028204785455	59.14634146341463	0.29347118623858726	0.2545	13.477313258629174
DO	High	15598	515	-0.13831254006923963	0.12998446601941752	-0.0575	0.095	45.704577509937174	57.4757281553398	0.26829700608865714	0.1525	11.771150645402628
FB	Low	14567	2016	0.03267858859064998	1.036750992063492	-0.045	0.934	48.136198256332804	72.42063492063492	1.004072403472842	0.9790000000000001	24.28443666430212
FB	Mid	15266	1312	0.004099829686885921	0.985830030487805	-0.023	0.736	48.63749508712171	75.07621951219512	0.9817302008009191	0.759	26.438724425073417
FB	High	15804	776	-0.06468602885345483	0.6181018041237112	-0.137	0.3515	37.0222728423184	70.10309278350515	0.682787832977166	0.4885	33.080819941186746
MV	Low	12934	2706	0.2607860677284671	2.314352919438285	-0.0215	2.5915	49.04128653162208	84.77457501847746	2.053566851709818	2.613	35.733288486855386
MV	Mid	14185	1451	-0.2977372576665495	1.4461488628532047	-0.385	1.22	27.811068029608744	71.33011716057891	1.7438861205197542	1.605	43.51904913097016
MV	High	14964	674	-0.4648734295642875	0.7987522255192877	-0.499	0.4125	11.340550654905106	60.089020771513354	1.2636256550835752	0.9115	48.748470116608246
