cell_type	source	filter	n_total	n_ptc	n_nmd_responsive	nmd_rate_ptc	nmd_rate_no_ptc	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr
AT	GENCODE	5pct	24388	1339	626	0.368185212845407	0.005770315414985466	100.10997547528325	81.53954365278561	123.65837828589598	0	0
DD	GENCODE	5pct	25903	1637	1217	0.5620036652412951	0.012239347234814143	103.3898856294352	88.73555390559297	120.99406836052465	0	0
DD_ALI	GENCODE	5pct	24472	902	4761	0.30598669623059865	0.19028425965210014	1.875996165139604	1.6163803018971257	2.173393821163455	4.402842225364968e-16	5.283410670437961e-16
DO	GENCODE	5pct	24642	960	9	0.004166666666666667	2.111308166539988e-4	19.805392082162175	3.923375721944601	91.91938563800707	2.465176541584084e-4	2.465176541584084e-4
FB	GENCODE	5pct	23913	1268	398	0.2334384858044164	0.004504305586222124	67.2773574519911	52.93684292926072	85.64704007902768	1.3988135057906802e-298	2.0982202586860202e-298
MV	GENCODE	5pct	23173	1436	893	0.4895543175487465	0.008740856603947187	108.82426940930759	91.12583369375176	130.61787232936823	0	0
AT	novel	5pct	27812	3871	2430	0.2996641694652545	0.05304707405705693	7.63655580727119	6.97946538257277	8.35883117422762	0	0
DD	novel	5pct	32238	5155	5531	0.5193016488845781	0.10537975852010487	9.170264194629228	8.572327068418149	9.809342578818441	0	0
DD_ALI	novel	5pct	24635	2700	4038	0.1385185185185185	0.16703897880100296	0.8018158740386923	0.7129042108555861	0.9000193647876306	1.277581876885207e-4	1.5330982522622486e-4
DO	novel	5pct	24647	2830	11	0	5.041939771737636e-4	0	0	3.071775004876952	0.6269233402251593	0.6269233402251593
FB	novel	5pct	28884	3395	1234	0.15876288659793814	0.027266664051159323	6.731868437729115	5.964647269678786	7.594935330317578	3.443968665605317e-186	5.1659529984079755e-186
MV	novel	5pct	25704	3853	3607	0.4554892291720737	0.08475584641435174	9.03188659299188	8.3377536983408	9.786261573872064	0	0
