metric	value	cell_type	event_type
total_sig_fd_events	4928	DD	SE
both_forms_in_pb	2279	DD	SE
no_pb_gene	0	DD	SE
neither_junction	944	DD	SE
inclusion_only	947	DD	SE
skipping_only	758	DD	SE
pct_both_forms	46.2	DD	SE
total_sig_fd_events	655	DD	A5SS
both_forms_in_pb	314	DD	A5SS
no_pb_gene	0	DD	A5SS
neither_junction	104	DD	A5SS
inclusion_only	104	DD	A5SS
skipping_only	133	DD	A5SS
pct_both_forms	47.9	DD	A5SS
total_sig_fd_events	772	DD	A3SS
both_forms_in_pb	382	DD	A3SS
no_pb_gene	0	DD	A3SS
neither_junction	116	DD	A3SS
inclusion_only	153	DD	A3SS
skipping_only	121	DD	A3SS
pct_both_forms	49.5	DD	A3SS
total_sig_fd_events	337	MV	SE
both_forms_in_pb	257	MV	SE
no_pb_gene	0	MV	SE
neither_junction	18	MV	SE
inclusion_only	14	MV	SE
skipping_only	48	MV	SE
pct_both_forms	76.3	MV	SE
total_sig_fd_events	98	MV	A5SS
both_forms_in_pb	75	MV	A5SS
no_pb_gene	0	MV	A5SS
neither_junction	1	MV	A5SS
inclusion_only	5	MV	A5SS
skipping_only	17	MV	A5SS
pct_both_forms	76.5	MV	A5SS
total_sig_fd_events	152	MV	A3SS
both_forms_in_pb	117	MV	A3SS
no_pb_gene	0	MV	A3SS
neither_junction	6	MV	A3SS
inclusion_only	9	MV	A3SS
skipping_only	20	MV	A3SS
pct_both_forms	77	MV	A3SS
total_sig_fd_events	82	AT	SE
both_forms_in_pb	67	AT	SE
no_pb_gene	0	AT	SE
neither_junction	6	AT	SE
inclusion_only	3	AT	SE
skipping_only	6	AT	SE
pct_both_forms	81.7	AT	SE
total_sig_fd_events	36	AT	A5SS
both_forms_in_pb	27	AT	A5SS
no_pb_gene	0	AT	A5SS
neither_junction	0	AT	A5SS
inclusion_only	1	AT	A5SS
skipping_only	8	AT	A5SS
pct_both_forms	75	AT	A5SS
total_sig_fd_events	22	AT	A3SS
both_forms_in_pb	17	AT	A3SS
no_pb_gene	0	AT	A3SS
neither_junction	1	AT	A3SS
inclusion_only	3	AT	A3SS
skipping_only	1	AT	A3SS
pct_both_forms	77.3	AT	A3SS
ptc_verification_total	3449	all	all
ptc_differs_count	1742	all	all
ptc_differs_pct	50.5	all	all
psi_concordance_n	3448	all	all
psi_spearman_rho	0.915	all	all
psi_sign_concordance_pct	97.4	all	all
waterfall_2_no_junction_match	3547 (50.1%)	all	all
waterfall_3_no_ptc_difference	1793 (25.3%)	all	all
waterfall_4_ptc_not_nmd_sensitive	386 (5.5%)	all	all
waterfall_5_concordant	1356 (19.1%)	all	all
