event_key	cell_type	event_type	event_id	gene_id	gene_symbol	dPSI	FDR	junction_category	n_inclusion_isos	n_skipping_isos	inclusion_isos	skipping_isos
MV:SE:619	MV	SE	619	ENSG00000111912	NCOA7	0.055	0.0258337473720503	inclusion_only	7	0	ENSG00000111912.21.novel1;ENSG00000111912.21.novel11;ENSG00000111912.21.novel24;ENSG00000111912.21.novel55;ENSG00000111912.21.novel56;ENSG00000111912.21.novel57;ENST00000392477.7	
MV:SE:1253	MV	SE	1253	ENSG00000059769	DNAJC25	0.553	0.0350543251467619	both	2	2	ENSG00000059769.21.novel7;ENST00000447096.1	ENSG00000059769.21.novel8;ENST00000313525.4
MV:SE:1726	MV	SE	1726	ENSG00000134884	ARGLU1	0.154	0.0390441154276706	both	1	1	ENSG00000134884.16.novel33	ENST00000400198.8
MV:SE:1969	MV	SE	1969	ENSG00000148153	INIP	-0.085	0.0296281628671255	skipping_only	0	1		ENST00000374236.5
MV:SE:2908	MV	SE	2908	ENSG00000148399	DPH7	0.479	0.0292770239488549	both	6	4	ENSG00000148399.14.novel1;ENSG00000148399.14.novel10;ENSG00000148399.14.novel12;ENSG00000148399.14.novel15;ENSG00000148399.14.novel5;ENSG00000148399.14.novel9	ENSG00000148399.14.novel19;ENSG00000148399.14.novel6;ENST00000277540.7;ENST00000872889.1
MV:SE:3779	MV	SE	3779	ENSG00000164941	INTS8	0.087	0.0299337086408769	skipping_only	0	1		ENSG00000164941.15.novel7
MV:SE:3891	MV	SE	3891	ENSG00000169045	HNRNPH1	0.209	0.0323491121579972	neither	0	0		
MV:SE:3892	MV	SE	3892	ENSG00000169045	HNRNPH1	-0.648	0.0434865679667576	skipping_only	0	4		ENSG00000169045.20.novel2;ENSG00000169045.20.novel5;ENST00000508103.6;ENST00000510431.6
MV:SE:3893	MV	SE	3893	ENSG00000169045	HNRNPH1	-0.6	0.0379472390394211	both	7	4	ENSG00000169045.20.novel1;ENSG00000169045.20.novel10;ENSG00000169045.20.novel42;ENST00000329433.11;ENST00000356731.9;ENST00000393432.9;ENST00000442819.6	ENSG00000169045.20.novel2;ENSG00000169045.20.novel5;ENST00000508103.6;ENST00000510431.6
MV:SE:4224	MV	SE	4224	ENSG00000104331	BPNT2	0.116	0.0277424872436045	both	1	2	ENSG00000104331.10.novel1	ENSG00000104331.10.novel2;ENST00000262644.9
MV:SE:4266	MV	SE	4266	ENSG00000120992	LYPLA1	-0.058	0.0299337086408769	inclusion_only	5	0	ENSG00000120992.19.novel1;ENSG00000120992.19.novel4;ENSG00000120992.19.novel5;ENSG00000120992.19.novel61;ENST00000316963.8	
MV:SE:4854	MV	SE	4854	ENSG00000221914	PPP2R2A	0.208	0.0298424929374282	both	1	2	ENSG00000221914.12.novel1	ENSG00000221914.12.novel3;ENST00000380737.8
MV:SE:5459	MV	SE	5459	ENSG00000172172	MRPL13	-0.056	0.0325532813357024	both	3	1	ENSG00000172172.9.novel15;ENSG00000172172.9.novel9;ENST00000306185.8	ENST00000518696.5
MV:SE:5924	MV	SE	5924	ENSG00000178177	LCORL	0.111	0.0258337473720503	both	4	1	ENSG00000178177.18.novel5;ENSG00000178177.18.novel6;ENSG00000178177.18.novel60;ENSG00000178177.18.novel8	ENSG00000178177.18.novel11
MV:SE:6034	MV	SE	6034	ENSG00000153558	FBXL2	0.455	0.0379472390394211	both	3	3	ENSG00000153558.18.novel1;ENSG00000153558.18.novel2;ENSG00000153558.18.novel6	ENST00000421391.5;ENST00000484457.6;ENST00000898645.1
