event_key	cell_type	event_type	gene_id	gene_symbol	rmats_dPSI	pb_dPSI	pb_mean_dmso_psi	pb_mean_smg1i_psi	pb_total_counts_mean	n_incl_isos	n_skip_isos
MV:SE:1253	MV	SE	ENSG00000059769	DNAJC25	0.553	0.626040345426807	0.2304442901569231	0.8564846355837301	566.8333333333334	2	2
MV:SE:1726	MV	SE	ENSG00000134884	ARGLU1	0.154	0.11213623558315097	0.01801981953650953	0.1301560551196605	795.3333333333334	1	1
MV:SE:2908	MV	SE	ENSG00000148399	DPH7	0.479	0.5314380792166855	0.0711707371509604	0.6026088163676458	398.1666666666667	6	4
MV:SE:3893	MV	SE	ENSG00000169045	HNRNPH1	-0.6	-0.6025482216709881	0.972561218494508	0.37001299682352	143.83333333333334	7	4
MV:SE:4224	MV	SE	ENSG00000104331	BPNT2	0.116	0.08646131543685348	0.01342807703469861	0.0998893924715521	744.6666666666666	1	2
MV:SE:4854	MV	SE	ENSG00000221914	PPP2R2A	0.208	0.1917280474465866	0.020404827591110907	0.2121328750376975	1581.8333333333333	1	2
MV:SE:5459	MV	SE	ENSG00000172172	MRPL13	-0.056	-0.04614681897040329	0.9945494348551827	0.9484026158847794	6428.666666666667	3	1
MV:SE:5924	MV	SE	ENSG00000178177	LCORL	0.111	0.027472527472527486	0.9487179487179487	0.9761904761904762	19.166666666666668	4	1
MV:SE:6034	MV	SE	ENSG00000153558	FBXL2	0.455	0.4184002010110879	0.03619444234843776	0.45459464335952565	338.8333333333333	3	3
MV:SE:6137	MV	SE	ENSG00000132254	ARFIP2	0.371	0.41783345310800224	0.013960853396785704	0.43179430650478795	870.8333333333334	2	5
MV:SE:6588	MV	SE	ENSG00000120697	ALG5	0.158	0.10484657459697655	0.010657816106965258	0.1155043907039418	4425.833333333333	1	2
MV:SE:6597	MV	SE	ENSG00000120697	ALG5	-0.164	-0.13717912876575833	0.9910081701546626	0.8538290413889043	4636.666666666667	3	1
MV:SE:6770	MV	SE	ENSG00000105821	DNAJC2	0.448	0.4869456078317725	0.11126700834817588	0.5982126161799484	227.83333333333334	5	6
MV:SE:6865	MV	SE	ENSG00000087087	SRRT	0.467	0.24571045806348696	0.007563762318092471	0.25327422038157943	198.66666666666666	2	5
MV:SE:8112	MV	SE	ENSG00000146963	LUC7L2	0.245	0.1591041118237622	8.338544923910778e-4	0.15993796631615326	952.6666666666666	1	4
MV:SE:8344	MV	SE	ENSG00000189091	SF3B3	0.456	0.4542898956107259	0.018453348981101923	0.4727432445918278	504.3333333333333	1	1
MV:SE:8507	MV	SE	ENSG00000106853	PTGR1	0.157	0.14405991390892825	0.08766898230624486	0.23172889621517312	2983.166666666667	2	2
MV:SE:8892	MV	SE	ENSG00000119953	SMNDC1	0.302	0.24491953632083915	0.012696881624684892	0.25761641794552403	581.5	2	4
MV:SE:8965	MV	SE	ENSG00000136243	NUP42	-0.47	-0.5579938657422383	0.9585619826048368	0.4005681168625986	839.8333333333334	3	2
MV:SE:9369	MV	SE	ENSG00000196369	SRGAP2B	0.24	0.21058201058201065	0.6349206349206349	0.8455026455026455	18.5	5	3
MV:SE:9410	MV	SE	ENSG00000166912	MTMR10	0.368	0.26795144541624094	0.013101186162706436	0.2810526315789474	145.33333333333334	3	15
MV:SE:10551	MV	SE	ENSG00000140262	TCF12	0.114	0.057450221506158056	0.018414672239880442	0.0758648937460385	219	1	11
MV:SE:10567	MV	SE	ENSG00000106144	CASP2	0.312	0.2999287749287749	0.010256410256410258	0.3101851851851852	49.166666666666664	3	7
MV:SE:10634	MV	SE	ENSG00000111832	RWDD1	0.112	0.04651652040266001	0.035586590741598256	0.08210311114425826	1442.3333333333333	1	2
MV:SE:10753	MV	SE	ENSG00000175581	MRPL48	0.154	0.14928183187664262	0.003659872751217999	0.15294170462786064	1610.8333333333333	1	4
MV:SE:11062	MV	SE	ENSG00000185917	SETD4	0.354	0.385411017557461	0.07361149727577133	0.4590225148332323	673.8333333333334	4	10
MV:SE:12559	MV	SE	ENSG00000204256	BRD2	0.258	0.3205834994352472	0.08563317164492702	0.40621667108017423	540.3333333333334	2	4
MV:SE:12622	MV	SE	ENSG00000130254	SAFB2	-0.598	-0.5184833682886628	0.9320635386159074	0.4135801703272446	97.5	2	1
MV:SE:12898	MV	SE	ENSG00000147601	TERF1	0.152	0.10608481840912116	0.006048330109436351	0.11213314851855752	573.8333333333334	3	4
MV:SE:13111	MV	SE	ENSG00000159640	ACE	-0.382	-0.3365537304702495	0.9899610329568721	0.6534073024866226	145.5	5	5
MV:SE:13242	MV	SE	ENSG00000112763	BTN2A1	0.434	0.42165915442683266	0.13494530835289686	0.5566044627797295	158.5	3	7
MV:SE:14469	MV	SE	ENSG00000087206	UIMC1	-0.541	-0.5980058675364539	0.7543990307012705	0.15639316316481655	490.66666666666663	3	4
MV:SE:14677	MV	SE	ENSG00000102543	CDADC1	0.361	0.3025575952380225	0.024894582852987807	0.3274521780910103	398	2	6
MV:SE:15679	MV	SE	ENSG00000155368	DBI	0.06	0.1331170392050598	0.038316616992283524	0.17143365619734333	3189.1666666666665	1	2
MV:SE:16224	MV	SE	ENSG00000065485	PDIA5	-0.233	-0.23785043164273278	0.9910858572122017	0.7532354255694689	3705.6666666666665	2	3
MV:SE:16622	MV	SE	ENSG00000112679	DUSP22	-0.16	-0.1774478259480925	0.7834732637500249	0.6060254378019324	656.8333333333334	3	2
MV:SE:16916	MV	SE	ENSG00000171466	ZNF562	0.055	0.013830562913131672	0.979906204906205	0.9937367678193366	137.66666666666666	5	1
MV:SE:17174	MV	SE	ENSG00000254093	PINX1	-0.363	-0.37313695695444693	0.7786195063037586	0.4054825493493117	529.3333333333334	1	2
MV:SE:17771	MV	SE	ENSG00000164347	GFM2	-0.309	-0.2641402222754127	0.993781867430413	0.7296416451550003	445.8333333333333	6	2
MV:SE:18118	MV	SE	ENSG00000153914	SREK1	0.384	0.29631983743086365	0.0118436174717217	0.30816345490258534	288	2	4
MV:SE:18435	MV	SE	ENSG00000134352	IL6ST	0.052	0.02422690808520263	0.0013291323330601264	0.025556040418262756	1621.5	1	4
MV:SE:18452	MV	SE	ENSG00000134352	IL6ST	-0.066	-0.03746923328323981	0.984266275194755	0.9467970419115151	1613.5	3	1
MV:SE:19099	MV	SE	ENSG00000087448	KLHL42	0.353	0.3908340936171062	0.10623046319977267	0.49706455681687883	165.5	1	1
MV:SE:19218	MV	SE	ENSG00000115875	SRSF7	0.322	0.22138933602071936	0.004697310429695785	0.22608664645041515	7166.333333333333	1	3
MV:SE:19836	MV	SE	ENSG00000163660	CCNL1	0.394	0.8166343574369725	0.11686040141441308	0.9334947588513857	409.5	2	2
MV:SE:19838	MV	SE	ENSG00000163660	CCNL1	0.382	0.6642788395607903	0.3020469914208055	0.9663258309815957	750.6666666666667	6	2
MV:SE:21845	MV	SE	ENSG00000116906	GNPAT	0.235	0.112778111516246	0.013173893873717285	0.1259520053899633	848.5	1	3
MV:SE:23073	MV	SE	ENSG00000163541	SUCLG1	0.054	0.04785581673525391	4.907802894958919e-4	0.0483465970247498	4745.166666666667	1	2
MV:SE:23168	MV	SE	ENSG00000134294	SLC38A2	-0.201	-0.25916723845056755	0.9454662880826323	0.6862990496320648	1128.1666666666667	3	2
MV:SE:23468	MV	SE	ENSG00000015676	NUDCD3	0.054	0.032269200753078736	0.009686097042930135	0.04195529779600887	430.5	1	2
MV:SE:24602	MV	SE	ENSG00000119777	TMEM214	0.158	0.11435822509366675	0.0010169399469447493	0.1153751650406115	762.8333333333334	1	2
MV:SE:24681	MV	SE	ENSG00000172113	NME6	0.395	0.5607149582033679	0.12546231813747738	0.6861772763408452	367.1666666666667	3	3
MV:SE:25062	MV	SE	ENSG00000070010	UFD1	0.087	0.7609774217306603	0.14837170688214582	0.9093491286128061	1872.3333333333333	1	1
MV:SE:25064	MV	SE	ENSG00000158864	NDUFS2	-0.098	-0.11248623703457505	0.994279744451724	0.8817935074171489	4082	1	1
MV:SE:26146	MV	SE	ENSG00000095059	DHPS	-0.214	-0.17819729573534093	0.8742109060370564	0.6960136103017155	919.1666666666666	4	1
MV:SE:26563	MV	SE	ENSG00000173726	TOMM20	0.073	0.10969721229940496	0.0017325044339624857	0.11142971673336745	2086.5	1	1
MV:SE:26992	MV	SE	ENSG00000183955	KMT5A	0.437	0.4592592592592593	0.26666666666666666	0.725925925925926	3.8333333333333335	1	2
MV:SE:27485	MV	SE	ENSG00000168522	FNTA	-0.111	-0.10964362837809472	0.9629678056408348	0.8533241772627401	4565.666666666667	4	1
MV:SE:27583	MV	SE	ENSG00000206562	METTL6	0.313	0.4340349647750894	0.14231399360418406	0.5763489583792735	309.3333333333333	1	3
MV:SE:28007	MV	SE	ENSG00000163249	CCNYL1	-0.142	-0.14285791244296775	0.898068633014156	0.7552107205711882	263.3333333333333	6	3
MV:SE:28137	MV	SE	ENSG00000109184	DCUN1D4	0.101	0.0828224160683016	8.014865617279427e-4	0.08362390263002954	716.1666666666666	1	6
MV:SE:28409	MV	SE	ENSG00000143842	SOX13	0.053	0	1	1	13.666666666666666	6	1
MV:SE:28557	MV	SE	ENSG00000163444	TMEM183A	0.521	0.14208695852027214	0.006794703661619489	0.14888166218189164	4957.333333333333	1	3
MV:SE:29614	MV	SE	ENSG00000171055	FEZ2	-0.13	-0.14720131172212925	0.9352808214647477	0.7880795097426184	1762	2	2
MV:SE:30373	MV	SE	ENSG00000137814	HAUS2	0.314	0.30011476194400805	0.30304785572178455	0.6031626176657926	738	3	4
MV:SE:30861	MV	SE	ENSG00000180098	TRNAU1AP	0.33	0.33204184896122996	0.008777990966052725	0.3408198399272827	2186.6666666666665	1	2
MV:SE:33163	MV	SE	ENSG00000004866	ST7	0.302	0.2744383929418353	0.016517917894064683	0.2909563108359	254.5	4	9
MV:SE:33295	MV	SE	ENSG00000171793	CTPS1	-0.193	-0.1816824615278897	0.989095896374236	0.8074134348463463	436.5	6	1
MV:SE:33390	MV	SE	ENSG00000119004	CYP20A1	-0.507	-0.47860531342008494	0.9702730369207387	0.4916677235006538	949.3333333333334	7	4
MV:SE:33800	MV	SE	ENSG00000160094	ZNF362	0.069	-0.04931938155031168	0.9716491076447112	0.9223297260943996	85.66666666666667	11	2
MV:SE:34222	MV	SE	ENSG00000134574	DDB2	-0.213	-0.3644785593634482	0.9816329632476511	0.617154403884203	730.8333333333334	4	3
MV:SE:34394	MV	SE	ENSG00000139684	ESD	0.085	0.05877730192290388	0.0027198576606858793	0.06149715958358976	4668.333333333333	1	3
MV:SE:34828	MV	SE	ENSG00000142910	TINAGL1	-0.064	-0.11805373867671254	0.9688816932491146	0.850827954572402	5694	3	2
MV:SE:35146	MV	SE	ENSG00000136045	PWP1	-0.101	-0.052950325892017425	0.9987470161987726	0.9457966903067552	1535.5	2	1
MV:SE:35178	MV	SE	ENSG00000150938	CRIM1	-0.063	0.003968253968253954	0.996031746031746	1	52.666666666666664	17	1
MV:SE:35602	MV	SE	ENSG00000168883	USP39	0.195	0.09932788395844035	0.011616346192636472	0.11094423015107682	1190	2	7
MV:SE:35627	MV	SE	ENSG00000140455	USP3	0.335	0.3443028933345337	0.041468996649423114	0.3857718899839568	380.8333333333333	2	3
MV:SE:35991	MV	SE	ENSG00000155100	OTUD6B	0.295	0.18584609411794653	0.0769704433497537	0.26281653746770023	63.833333333333336	8	17
MV:SE:37108	MV	SE	ENSG00000162604	TM2D1	0.081	0.0393618465886294	0.20655503602849337	0.24591688261712277	6347.333333333333	1	4
MV:SE:37138	MV	SE	ENSG00000176915	ANKLE2	0.108	0.07985904166905271	0.010000281720986335	0.08985932339003905	643.6666666666666	1	3
MV:SE:37270	MV	SE	ENSG00000116473	RAP1A	0.064	0.04299918335997454	0.00143158024176435	0.04443076360173889	1988	1	5
MV:SE:38114	MV	SE	ENSG00000135655	USP15	0.207	0.18104985695644646	0.0030322035073592534	0.1840820604638057	776.8333333333334	2	2
MV:SE:38528	MV	SE	ENSG00000085491	SLC25A24	0.252	0.16761674587995162	0.011508007314823468	0.17912475319477508	279.8333333333333	1	8
MV:SE:38651	MV	SE	ENSG00000162642	C1orf52	0.173	0.16025556639038807	0.5403694345235004	0.7006250009138885	1929.6666666666667	1	1
MV:SE:38804	MV	SE	ENSG00000147419	CCDC25	-0.249	-0.18146535797894459	0.9693027679507753	0.7878374099718307	869.5	4	3
MV:SE:39528	MV	SE	ENSG00000162521	RBBP4	0.07	0.05065164258309672	7.240241865715489e-4	0.05137566676966827	3153.1666666666665	1	3
MV:SE:39681	MV	SE	ENSG00000151353	TMEM18	0.553	0.30098697598697605	0.36812169312169313	0.6691086691086692	21.666666666666668	1	1
MV:SE:39682	MV	SE	ENSG00000151353	TMEM18	0.163	0.2694864314543923	0.05160825933122791	0.3210946907856202	967.1666666666666	2	2
MV:SE:40479	MV	SE	ENSG00000122643	NT5C3A	0.314	0.4687464084864156	0.3069088455975658	0.7756552540839814	1423.6666666666667	1	1
MV:SE:41097	MV	SE	ENSG00000135829	DHX9	0.596	0.46092379486164037	0.018024261756319174	0.47894805661795953	192.66666666666666	1	2
MV:SE:41311	MV	SE	ENSG00000145439	CBR4	0.143	0.04203796432396063	0.0011655011655011655	0.0432034654894618	317.8333333333333	1	8
MV:SE:41401	MV	SE	ENSG00000143436	MRPL9	0.063	0.026906865106724707	0.00262338778778174	0.029530252894506448	2520.8333333333335	1	3
MV:SE:42702	MV	SE	ENSG00000013561	RNF14	-0.226	-0.2556134060017804	0.9025525602998762	0.6469391542980958	1182.3333333333333	3	3
