event_type	nmd_comparison	run	nmd_n	nmd_has	nmd_rate	baseline_n	baseline_has	baseline_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
Alt_TSS	C1	at	13	8	0.6153846153846154	971	657	0.6766220391349125	-0.06123742375029706	0.7649353459807122	0.21857359042590296	2.996641310156759	0.7662833180135177	0.8613639897719947
Alt_TSS	C1	dd	35	24	0.6857142857142857	453	288	0.6357615894039735	0.049952696310312183	1.2494222738146736	0.5717538319784062	2.901198031875417	0.5898263792008012	0.8613639897719947
Alt_TSS	C1	dd_ali	7	3	0.42857142857142855	16	12	0.75	-0.32142857142857145	0.2676423800503426	0.025829318693452005	2.3386146293520613	0.18189568317445562	0.8381156500663806
Alt_TSS	C1	fb	12	6	0.5	1439	936	0.65045170257123	-0.15045170257122997	0.5376178491392085	0.14292604212107465	2.0223332442133315	0.36250314730795147	0.8381156500663806
Alt_TSS	C1	mv	23	13	0.5652173913043478	668	436	0.6526946107784432	-0.08747721947409537	0.6921001785752128	0.2755401019644474	1.792554979436922	0.3830397525283366	0.8381156500663806
Alt_TSS	C2	at	139	87	0.6258992805755396	971	657	0.6766220391349125	-0.050722758559372916	0.7997983447251018	0.5453731241805684	1.1815251047601125	0.2475052853422144	0.8381156500663806
Alt_TSS	C2	dd	209	146	0.6985645933014354	453	288	0.6357615894039735	0.06280300389746185	1.3271476959287414	0.921668594901494	1.92302642242565	0.13457182234439832	0.8381156500663806
Alt_TSS	C2	dd_ali	37	21	0.5675675675675675	16	12	0.75	-0.18243243243243246	0.4441438915278027	0.08757503469035573	1.8387337693870909	0.2369625100462602	0.8381156500663806
Alt_TSS	C2	fb	69	43	0.6231884057971014	1439	936	0.65045170257123	-0.02726329677412853	0.8888399735187282	0.52678711875997	1.5259427397066188	0.6987018021968582	0.8613639897719947
Alt_TSS	C2	mv	137	85	0.6204379562043796	668	436	0.6526946107784432	-0.03225665457406357	0.8699533603834153	0.5859015106149763	1.3002991199664746	0.49267896455135585	0.8381156500663806
Alt_TES	C1	at	13	9	0.6923076923076923	971	537	0.553038105046344	0.1392695872613483	1.8173750323661948	0.5030555875131839	8.131731714655656	0.405193094308158	0.8381156500663806
Alt_TES	C1	dd	35	19	0.5428571428571428	453	235	0.5187637969094923	0.024093345947650557	1.1013631489498619	0.5215842835159835	2.353455741710882	0.8613639897719947	0.8613639897719947
Alt_TES	C1	dd_ali	7	2	0.2857142857142857	16	7	0.4375	-0.1517857142857143	0.5290083961308852	0.03905294852502843	4.584762874597291	0.6570197873199621	0.8613639897719947
Alt_TES	C1	fb	12	9	0.75	1439	781	0.5427380125086866	0.20726198749131342	2.525986221989214	0.6270948225171449	14.565698146816601	0.2437151481091212	0.8381156500663806
Alt_TES	C1	mv	23	13	0.5652173913043478	668	349	0.5224550898203593	0.04276230148398852	1.1879561960369531	0.4736755173338321	3.0722173858993154	0.8325019885602737	0.8613639897719947
Alt_TES	C2	at	139	75	0.539568345323741	971	537	0.553038105046344	-0.013469759722603003	0.9471744583811144	0.6528767435998051	1.3771394188308417	0.7849177297537817	0.8613639897719947
Alt_TES	C2	dd	209	115	0.5502392344497608	453	235	0.5187637969094923	0.03147543754026849	1.1346845262647012	0.806039830664089	1.599546749689903	0.5028693900398283	0.8381156500663806
Alt_TES	C2	dd_ali	37	18	0.4864864864864865	16	7	0.4375	0.048986486486486513	1.2135228671343574	0.32156365780418034	4.737509248564317	0.7735436373453521	0.8613639897719947
Alt_TES	C2	fb	69	41	0.5942028985507246	1439	781	0.5427380125086866	0.05146488604203803	1.2335035771744876	0.7354784739419934	2.0957734193600417	0.45831700431837114	0.8381156500663806
Alt_TES	C2	mv	137	65	0.4744525547445255	668	349	0.5224550898203593	-0.04800253507583374	0.8253751779038211	0.5609342860427878	1.2127191100773513	0.3481444592808793	0.8381156500663806
