nmd_comparison	run	nmd_n	nmd_ptc_n	nmd_ptc_rate	baseline_n	baseline_ptc_n	baseline_ptc_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
C1	at	11	3	0.2727272727272727	923	113	0.12242686890574214	0.15030040382153056	2.684068502177696	0.4521202970635659	11.388246244881932	0.14649035964137344	0.40018523830206887
C1	dd	33	4	0.12121212121212122	438	43	0.09817351598173515	0.02303860523038606	1.2663495518843784	0.3089432814009365	3.8594198674855353	0.558478486381074	0.6980981079763425
C1	dd_ali	7	0	0	16	3	0.1875	-0.1875	0	0	5.65713397188339	0.525691699604743	0.6980981079763425
C1	fb	12	3	0.25	1386	162	0.11688311688311688	0.13311688311688313	2.5160220719247697	0.43377085585306896	10.21745737265333	0.16007409532082756	0.40018523830206887
C1	mv	22	4	0.18181818181818182	641	79	0.12324492979719189	0.05857325202098994	1.5795873611167581	0.37915864660274673	4.965281596527799	0.5060557237970741	0.6980981079763425
C2	at	132	14	0.10606060606060606	923	113	0.12242686890574214	-0.01636626284513608	0.8505832200082308	0.4359532576560721	1.5495105148323554	0.6693229926429246	0.743692214047694
C2	dd	200	28	0.14	438	43	0.09817351598173515	0.04182648401826486	1.4944285128500672	0.8635656498521798	2.55339374515337	0.13548911060805952	0.40018523830206887
C2	dd_ali	34	1	0.029411764705882353	16	3	0.1875	-0.15808823529411764	0.13750347437257626	0.002436481840364321	1.887582542705628	0.0905775075987842	0.40018523830206887
C2	fb	64	8	0.125	1386	162	0.11688311688311688	0.00811688311688312	1.0793296498597778	0.43633900795250075	2.3309281650664584	0.8420103197707892	0.8420103197707892
C2	mv	133	22	0.16541353383458646	641	79	0.12324492979719189	0.04216860403739457	1.4092876863900834	0.8009447431900614	2.401347222834454	0.20293515066738363	0.40587030133476726
