cell_type	ptc_distance_bin	n	n_nmd	nmd_rate	median_distance
AT	0-50 (no PTC)	51547	1631	0.031641026635885694	-146
AT	51-100	725	26	0.03586206896551724	73
AT	101-200	1241	57	0.04593070104754231	148
AT	201-500	2974	85	0.028581035642232685	342
AT	>500	6021	198	0.03288490284005979	1030
DD	0-50 (no PTC)	54795	5734	0.10464458435988686	-146
DD	51-100	785	99	0.12611464968152866	73
DD	101-200	1273	151	0.11861743912018853	148
DD	201-500	3148	314	0.09974587039390088	343
DD	>500	6404	723	0.11289818863210493	1026
DD_ALI	0-50 (no PTC)	54010	5147	0.09529716719126088	-146
DD_ALI	51-100	748	51	0.06818181818181818	73
DD_ALI	101-200	1263	102	0.08076009501187649	148
DD_ALI	201-500	3098	209	0.06746287927695287	343
DD_ALI	>500	6409	366	0.05710719300982993	1038
DO	0-50 (no PTC)	52230	6	1.1487650775416428e-4	-146
DO	51-100	726	0	0	72
DO	101-200	1244	1	8.038585209003215e-4	148
DO	201-500	2974	0	0	343
DO	>500	6259	2	3.1953986259785906e-4	1040
FB	0-50 (no PTC)	49629	800	0.01611960748755768	-144
FB	51-100	709	12	0.01692524682651622	76
FB	101-200	1188	27	0.022727272727272728	149
FB	201-500	2794	44	0.015748031496062992	341
FB	>500	5662	95	0.016778523489932886	1025.5
MV	0-50 (no PTC)	47962	2745	0.057232809307368335	-144
MV	51-100	673	46	0.06835066864784546	75
MV	101-200	1154	81	0.07019064124783363	149
MV	201-500	2672	152	0.05688622754491018	341.5
MV	>500	5447	326	0.05984945841747751	1032
