cell_type	source	filter	n_total	n_ptc	n_nmd_responsive	nmd_rate_ptc	nmd_rate_no_ptc	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr
AT	GENCODE	5pct	13887	1216	485	0.04276315789473684	0.03417251992739326	1.2625965786183535	0.9223027717861649	1.698123675365454	0.12027849523343523	0.3357448994548561
DD	GENCODE	5pct	14931	1323	1341	0.0982615268329554	0.0889917695473251	1.1154698460592525	0.9148065813860744	1.3515431167049374	0.2676820162275837	0.3357448994548561
DD_ALI	GENCODE	5pct	14058	1231	3384	0.16978066612510154	0.24752475247524752	0.6216959813073897	0.5303135631108796	0.7262188186897351	3.71137427957804e-10	2.226824567746824e-9
DO	GENCODE	5pct	13367	1186	3	8.431703204047217e-4	1.641901321730564e-4	5.137662077633629	0.08702999123969599	98.83212169876931	0.24327602455144864	0.3357448994548561
FB	GENCODE	5pct	14488	1281	255	0.0156128024980484	0.017793594306049824	0.8754911344701105	0.523185503027843	1.3895142635189315	0.6563365255075788	0.6563365255075788
MV	GENCODE	5pct	13966	1258	802	0.0643879173290938	0.056735914384639596	1.1441211666683972	0.8908944448269066	1.4534464986839786	0.27978741621238007	0.3357448994548561
AT	PacBio	5pct	54857	9745	1683	0.032221652129297076	0.030346692676006384	1.063851133762539	0.9361336157213561	1.2060103379418388	0.33122575383568126	0.49683863075352186
DD	PacBio	5pct	57961	10287	6419	0.11247205210459804	0.11037462767965768	1.0214116392585677	0.9538324923758308	1.093131702112771	0.5443506058772324	0.6532207270526789
DD_ALI	PacBio	5pct	57997	10287	2800	0.05045202682997959	0.047809683504506394	1.0582120044548218	0.9577410543830019	1.1675233712622919	0.2539396796016651	0.49683863075352186
DO	PacBio	5pct	56494	10017	9	1.996605770190676e-4	1.5061213073132946e-4	1.3257174270731982	0.1343839011676173	6.964094878711411	0.6651278273093548	0.6651278273093548
FB	PacBio	5pct	51070	9072	787	0.017416225749559082	0.014976903662079146	1.1657171643312563	0.9714043760628767	1.3922677930001561	0.09059357641630703	0.49683863075352186
MV	PacBio	5pct	49518	8688	2844	0.06031307550644567	0.05682096497673279	1.0654116344116704	0.9642963015706424	1.1754664413926246	0.20428518766488682	0.49683863075352186
