nmd_comparison	run	nmd_n	nmd_ptc_n	nmd_ptc_rate	baseline_n	baseline_ptc_n	baseline_ptc_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
C1	all_samples	11	2	0.18181818181818182	834	129	0.15467625899280577	0.027141922825376058	1.2141516629299438	0.12623789973590205	5.9624345283640094	0.6829599730040664	0.8195519676048797
C1	at	45	9	0.2	3546	516	0.1455160744500846	0.05448392554991541	1.4678408770011524	0.6179950641522045	3.129086750616497	0.2897810903465515	0.579562180693103
C1	dd	124	19	0.1532258064516129	2922	428	0.1464750171115674	0.006750789340045499	1.0544194364704471	0.6039754140632693	1.7520612849267643	0.7961651561290671	0.868543806686255
C1	dd_ali	100	8	0.08	1689	277	0.1640023682652457	-0.0840023682652457	0.44342349000912645	0.1837675045705954	0.925011028354983	0.0239919837204837	0.0959679348819348
C1	fb	27	6	0.2222222222222222	3544	519	0.14644469525959367	0.07577752696262854	1.6650028020865264	0.5471856117471477	4.2910760888713115	0.272312500765078	0.579562180693103
C1	mv	88	16	0.18181818181818182	3272	453	0.1384474327628362	0.04337074905534563	1.3827282691543357	0.7437196824034417	2.4270587008696616	0.27311603934930756	0.579562180693103
C2	all_samples	502	76	0.15139442231075698	834	129	0.15467625899280577	-0.0032818366820487888	0.9750135976064267	0.7061932632434255	1.3395636181225579	0.9375537674979492	0.9375537674979492
C2	at	504	80	0.15873015873015872	3546	516	0.1455160744500846	0.013214084280074118	1.1079342342611413	0.8460208465436725	1.4375050630311945	0.42081127659196893	0.7213907598719467
C2	dd	1024	156	0.15234375	2922	428	0.1464750171115674	0.005868732888432593	1.047254232486768	0.8524612393620883	1.2820093606755765	0.6456334480420491	0.8195519676048797
C2	dd_ali	526	62	0.11787072243346007	1689	277	0.1640023682652457	-0.046131645831785625	0.6812376857117239	0.4987413189359989	0.9196542221081183	0.010218504478960104	0.0959679348819348
C2	fb	257	34	0.13229571984435798	3544	519	0.14644469525959367	-0.014148975415235687	0.8886796125758784	0.5932232664831463	1.296606109058523	0.5831880470776077	0.8195519676048797
C2	mv	724	125	0.17265193370165746	3272	453	0.1384474327628362	0.03420450093882127	1.29852370116726	1.0365882137678601	1.6187644882481866	0.019523434212965582	0.0959679348819348
