comparison	run	n_pairs	n_comp_ptc	comp_ptc_rate	n_dom_ptc	dom_ptc_rate
C1	all_samples	11	2	0.18181818181818182	1	0.09090909090909091
C1	at	45	9	0.2	12	0.26666666666666666
C1	dd	124	19	0.1532258064516129	19	0.1532258064516129
C1	dd_ali	100	8	0.08	12	0.12
C1	fb	27	6	0.2222222222222222	5	0.18518518518518517
C1	mv	88	16	0.18181818181818182	12	0.13636363636363635
C2	all_samples	502	76	0.15139442231075698	66	0.13147410358565736
C2	at	504	80	0.15873015873015872	75	0.1488095238095238
C2	dd	1024	156	0.15234375	144	0.140625
C2	dd_ali	526	62	0.11787072243346007	77	0.14638783269961977
C2	fb	257	34	0.13229571984435798	40	0.1556420233463035
C2	mv	724	125	0.17265193370165746	93	0.12845303867403315
C4	all_samples	834	129	0.15467625899280577	126	0.1510791366906475
C4	at	3546	516	0.1455160744500846	476	0.13423575860124085
C4	dd	2922	428	0.1464750171115674	392	0.13415468856947296
C4	dd_ali	1689	277	0.1640023682652457	273	0.16163410301953818
C4	fb	3544	519	0.14644469525959367	456	0.12866817155756208
C4	mv	3272	453	0.1384474327628362	420	0.12836185819070906
