cell_type	OR	OR_lower	OR_upper	p_value	n_target	n_control	sig_target	sig_control	comparison
AT	2.4343767779338683	1.6368711345416374	3.716528524010372	1.80047818708543e-6	57217	36791	121	32	frame_disrupting_vs_preserving
DD	1.8026069572572128	1.7235781662562566	1.8857567445734214	3.048448844912315e-159	139272	84715	7785	2694	frame_disrupting_vs_preserving
DD_ALI	1.3155006852225248	0.5235029731246564	3.583010127183977	0.6729469580115336	50984	35768	15	8	frame_disrupting_vs_preserving
DO	0	0	Inf	1	54507	37768	0	0	frame_disrupting_vs_preserving
FB	1.9798421631531853	0.35399448484988777	20.058608251048227	0.49040870460932773	45797	30222	6	2	frame_disrupting_vs_preserving
MV	2.6569169510831308	2.169938920131755	3.274927890035594	3.1607641652307373e-25	47470	30063	496	119	frame_disrupting_vs_preserving
AT	0.731954272161938	0.4591373962427416	1.1846875354726105	0.1870618678537394	5692	2492	52	31	ri_cds_vs_non_cds
DD	1.0118789289800567	0.8897295207391129	1.1521844591014492	0.8713917781690614	6132	2664	930	400	ri_cds_vs_non_cds
DD_ALI	0	0	Inf	1	5622	2451	0	0	ri_cds_vs_non_cds
DO	0	0	Inf	1	5693	2512	0	0	ri_cds_vs_non_cds
FB	0.5079133179214543	0.24688105717702757	1.0582623908877047	0.0622537676068214	5039	2163	19	16	ri_cds_vs_non_cds
MV	0.7207065667942247	0.5249491208988633	0.9961800267253557	0.03871287658054104	5159	2190	113	66	ri_cds_vs_non_cds
