cell_type	event_type	OR	OR_lower	OR_upper	p_value	n_target	n_control	sig_target	sig_control
AT	A3SS	4.273620637650666	1.4403688132430874	17.14700862289453	0.003945446321376699	4971	4034	21	4
AT	A5SS	4.742116567995047	1.6729894493285664	18.528486381141448	7.292131328150465e-4	3276	1990	31	4
AT	MXE	0	0	Inf	1	8554	5116	0	0
AT	SE	1.8260804214136985	1.1326228994385057	3.0396947213038588	0.01031520447074281	40416	25651	69	24
DD	A3SS	2.764007513304943	2.32914921015756	3.2929070836162406	1.535157113436723e-36	6935	5171	632	181
DD	A5SS	2.3773528125374472	1.9629314637587632	2.8935225704492584	1.5253589864250728e-21	4679	2712	554	145
DD	MXE	1.2397659914718164	1.1568477236671502	1.3291618445114788	6.707955339926929e-10	35398	20086	2744	1275
DD	SE	2.2203003912911563	2.0736525889350395	2.3787544172710176	3.371417569896637e-132	92260	56746	3855	1093
DD_ALI	A3SS	0	0	Inf	1	4782	3975	0	0
DD_ALI	A5SS	1.2223487181086123	0.06359495656944665	72.12911811526241	1	3158	1930	2	1
DD_ALI	MXE	0	0	Inf	1	7086	4712	0	0
DD_ALI	SE	1.2990897302043425	0.4816347128734406	3.8460231062552386	0.654567992093166	35958	25151	13	7
DO	A3SS	0	0	Inf	1	4939	4076	0	0
DO	A5SS	0	0	Inf	1	3251	1966	0	0
DO	MXE	0	0	Inf	1	7906	5174	0	0
DO	SE	0	0	Inf	1	38411	26552	0	0
FB	A3SS	0	0	Inf	1	4009	3297	0	0
FB	A5SS	1.8820009562701856	0.33604773815544986	19.086617939778417	0.7186242343128818	2749	1723	6	2
FB	MXE	0	0	Inf	1	6275	3861	0	0
FB	SE	0	0	Inf	1	32764	21341	0	0
MV	A3SS	4.377030641329875	2.80840862186063	7.094824328421299	3.203674499622882e-14	4223	3332	130	24
MV	A5SS	4.404733596131418	2.440524814236918	8.617380326533326	7.451056171566282e-9	2832	1758	90	13
MV	MXE	0.6051016150066377	0.13916263811052185	2.630865559569547	0.5176000532692802	6702	4057	5	5
MV	SE	2.1930891270116013	1.6957755609316691	2.8646148008483547	1.3307673170447137e-10	33713	20916	271	77
