cell_type	event_type	frame_class	total	significant	pct_sig	median_abs_dpsi
AT	A3SS	cds_frame_disrupting	4971	21	0.42	0.016
AT	A3SS	cds_frame_preserving	4034	4	0.1	0.014
AT	A3SS	non_cds	3590	5	0.14	0.027
AT	A5SS	cds_frame_disrupting	3276	31	0.95	0.016
AT	A5SS	cds_frame_preserving	1990	4	0.2	0.011
AT	A5SS	non_cds	2908	11	0.38	0.033
AT	MXE	cds_frame_disrupting	8554	0	0	0.023
AT	MXE	cds_frame_preserving	5116	0	0	0.022
AT	MXE	non_cds	6463	0	0	0.029
AT	RI	cds_ptc_inducing	5692	52	0.91	0.015
AT	RI	non_cds	2492	31	1.24	0.025
AT	SE	cds_frame_disrupting	40416	69	0.17	0.01
AT	SE	cds_frame_preserving	25651	24	0.09	0.008
AT	SE	non_cds	41266	56	0.14	0.021
DD	A3SS	cds_frame_disrupting	6935	632	9.11	0.02
DD	A3SS	cds_frame_preserving	5171	181	3.5	0.016
DD	A3SS	non_cds	4697	273	5.81	0.027
DD	A5SS	cds_frame_disrupting	4679	554	11.84	0.022
DD	A5SS	cds_frame_preserving	2712	145	5.35	0.014
DD	A5SS	non_cds	3849	240	6.24	0.032
DD	MXE	cds_frame_disrupting	35398	2744	7.75	0.023
DD	MXE	cds_frame_preserving	20086	1275	6.35	0.022
DD	MXE	non_cds	24463	1406	5.75	0.026
DD	RI	cds_ptc_inducing	6132	930	15.17	0.024
DD	RI	non_cds	2664	400	15.02	0.034
DD	SE	cds_frame_disrupting	92260	3855	4.18	0.012
DD	SE	cds_frame_preserving	56746	1093	1.93	0.009
DD	SE	non_cds	82294	2035	2.47	0.016
DD_ALI	A3SS	cds_frame_disrupting	4782	0	0	0.009
DD_ALI	A3SS	cds_frame_preserving	3975	0	0	0.012
DD_ALI	A3SS	non_cds	3454	0	0	0.02
DD_ALI	A5SS	cds_frame_disrupting	3158	2	0.06	0.009
DD_ALI	A5SS	cds_frame_preserving	1930	1	0.05	0.01
DD_ALI	A5SS	non_cds	2982	4	0.13	0.027
DD_ALI	MXE	cds_frame_disrupting	7086	0	0	0.017
DD_ALI	MXE	cds_frame_preserving	4712	0	0	0.017
DD_ALI	MXE	non_cds	5678	0	0	0.022
DD_ALI	RI	cds_ptc_inducing	5622	0	0	0.011
DD_ALI	RI	non_cds	2451	0	0	0.017
DD_ALI	SE	cds_frame_disrupting	35958	13	0.04	0.007
DD_ALI	SE	cds_frame_preserving	25151	7	0.03	0.007
DD_ALI	SE	non_cds	39903	11	0.03	0.016
DO	A3SS	cds_frame_disrupting	4939	0	0	0.009
DO	A3SS	cds_frame_preserving	4076	0	0	0.012
DO	A3SS	non_cds	3574	0	0	0.02
DO	A5SS	cds_frame_disrupting	3251	0	0	0.01
DO	A5SS	cds_frame_preserving	1966	0	0	0.009
DO	A5SS	non_cds	3066	0	0	0.027
DO	MXE	cds_frame_disrupting	7906	0	0	0.017
DO	MXE	cds_frame_preserving	5174	0	0	0.016
DO	MXE	non_cds	6390	0	0	0.022
DO	RI	cds_ptc_inducing	5693	0	0	0.012
DO	RI	non_cds	2512	0	0	0.019
DO	SE	cds_frame_disrupting	38411	0	0	0.007
DO	SE	cds_frame_preserving	26552	0	0	0.006
DO	SE	non_cds	43017	0	0	0.016
FB	A3SS	cds_frame_disrupting	4009	0	0	0.017
FB	A3SS	cds_frame_preserving	3297	0	0	0.019
FB	A3SS	non_cds	2791	0	0	0.034
FB	A5SS	cds_frame_disrupting	2749	6	0.22	0.02
FB	A5SS	cds_frame_preserving	1723	2	0.12	0.016
FB	A5SS	non_cds	2437	7	0.29	0.043
FB	MXE	cds_frame_disrupting	6275	0	0	0.024
FB	MXE	cds_frame_preserving	3861	0	0	0.024
FB	MXE	non_cds	4284	0	0	0.031
FB	RI	cds_ptc_inducing	5039	19	0.38	0.017
FB	RI	non_cds	2163	16	0.74	0.029
FB	SE	cds_frame_disrupting	32764	0	0	0.012
FB	SE	cds_frame_preserving	21341	0	0	0.011
FB	SE	non_cds	30579	0	0	0.025
MV	A3SS	cds_frame_disrupting	4223	130	3.08	0.021
MV	A3SS	cds_frame_preserving	3332	24	0.72	0.017
MV	A3SS	non_cds	2830	46	1.63	0.035
MV	A5SS	cds_frame_disrupting	2832	90	3.18	0.024
MV	A5SS	cds_frame_preserving	1758	13	0.74	0.016
MV	A5SS	non_cds	2476	29	1.17	0.04
MV	MXE	cds_frame_disrupting	6702	5	0.07	0.025
MV	MXE	cds_frame_preserving	4057	5	0.12	0.024
MV	MXE	non_cds	4602	3	0.07	0.032
MV	RI	cds_ptc_inducing	5159	113	2.19	0.019
MV	RI	non_cds	2190	66	3.01	0.034
MV	SE	cds_frame_disrupting	33713	271	0.8	0.013
MV	SE	cds_frame_preserving	20916	77	0.37	0.01
MV	SE	non_cds	30954	178	0.58	0.024
