ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000168564.6,CDKN2AIP,CDKN2AIP,2.291,1.936,2.647,5.419,13.167,6.92735465212246e-14,7.5990624787313e-10,21.5522415938081
ENSG00000293311.1,SMPD4BP,SMPD4BP,2.849,2.403,3.295,4.14,13.065,8.42881649339506e-14,7.5990624787313e-10,20.9355882239636
ENSG00000006652.15,IFRD1,IFRD1,2.819,2.373,3.264,6.279,12.928,1.09971960618398e-13,7.5990624787313e-10,21.1319534427107
ENSG00000291073.1,,,3.349,2.751,3.946,3.938,11.455,2.19641150930531e-12,1.13829026469747e-08,17.8926841295936
ENSG00000196756.15,SNHG17,SNHG17,3.077,2.499,3.656,4.289,10.872,7.70740023406839e-12,2.97124803981133e-08,16.8504976098165
ENSG00000268043.9,NBPF12,NBPF12,2.499,2.027,2.971,4.478,10.823,8.59984960871586e-12,2.97124803981133e-08,16.8423156536996
ENSG00000232956.10,SNHG15,SNHG15,2.714,2.191,3.237,4.896,10.602,1.4011658004895e-11,4.1494524348782e-08,16.4155753979884
ENSG00000272888.8,CHASERR,CHASERR,2.124,1.695,2.553,6.226,10.126,4.08923166083424e-11,1.05962215411367e-07,15.4389351758125
ENSG00000290927.1,,,2.529,2.01,3.049,3.596,9.957,6.03445476499225e-11,1.38993608086988e-07,15.0017178113109
ENSG00000137073.24,UBAP2,UBAP2,1.125,0.89,1.36,6.016,9.773,9.22394517846135e-11,1.91212383549504e-07,14.6436774407981
ENSG00000125814.17,NAPB,NAPB,1.668,1.313,2.022,4.044,9.618,1.3263718013745e-10,2.49960794931758e-07,14.1801232985292
ENSG00000227232.6,WASH7P,WASH7P,2.284,1.783,2.785,3.37,9.32,2.68996609999858e-10,4.48182216908117e-07,13.3688393087188
ENSG00000185917.14,SETD4,SETD4,1.929,1.505,2.353,4.27,9.301,2.8105975975907e-10,4.48182216908117e-07,13.4963664857734
ENSG00000291078.1,,,2.133,1.662,2.604,3.099,9.255,3.14141882453942e-10,4.519397558193e-07,13.1574211845515
ENSG00000103061.13,SLC7A6OS,SLC7A6OS,1.351,1.052,1.65,4.662,9.238,3.27018636627569e-10,4.519397558193e-07,13.3882963294781
ENSG00000117569.20,PTBP2,PTBP2,3.007,2.336,3.679,4.064,9.15,4.04425106286703e-10,5.2398327833271e-07,13.0854385603535
ENSG00000163660.12,CCNL1,CCNL1,2.358,1.828,2.889,6.062,9.082,4.76535707028474e-10,5.81093247452957e-07,13.0352337998737
ENSG00000182400.15,TRAPPC6B,TRAPPC6B,1.185,0.917,1.453,5.496,9.032,5.37859167066139e-10,6.19434474071171e-07,12.9180070026533
ENSG00000128272.18,ATF4,ATF4,1.559,1.198,1.919,8.835,8.838,8.62834294952045e-10,9.41397628123994e-07,12.4195921097535
ENSG00000150401.15,DCUN1D2,DCUN1D2,2.02,1.542,2.497,3.835,8.642,1.39993705487259e-09,1.45103475737544e-06,11.9407774274876
ENSG00000068028.18,RASSF1,RASSF1,1.781,1.357,2.204,5.434,8.594,1.57839327310319e-09,1.55809964530614e-06,11.8635227016554
ENSG00000197989.15,SNHG12,SNHG12,2.991,2.276,3.707,4.657,8.542,1.79537413144466e-09,1.69173207931126e-06,11.7412846272725
ENSG00000059769.20,DNAJC25,DNAJC25,1.87,1.421,2.319,4.558,8.514,1.92237440343679e-09,1.73264440796716e-06,11.6731268592492
ENSG00000111011.18,RSRC2,RSRC2,1.595,1.208,1.981,6.247,8.435,2.34666624269026e-09,2.02693296712371e-06,11.4541235693199
ENSG00000165275.10,TRMT10B,TRMT10B,1.689,1.271,2.106,3.104,8.271,3.53896138476523e-09,2.93450678024733e-06,10.978179673131
ENSG00000205534.6,SMG1P2,SMG1P2,3.387,2.548,4.226,2.767,8.247,3.7599380416538e-09,2.97573891302392e-06,10.7542961326166
ENSG00000011021.23,CLCN6,CLCN6,2.59,1.947,3.232,4.566,8.235,3.87578150755648e-09,2.97573891302392e-06,10.9914148767324
ENSG00000152457.19,DCLRE1C,DCLRE1C,1.793,1.346,2.24,4.83,8.196,4.28218087795491e-09,3.17034320000019e-06,10.8917730086677
ENSG00000258890.8,CEP95,CEP95,1.685,1.262,2.109,4.512,8.133,5.02097066425374e-09,3.44119890452949e-06,10.7388096557991
ENSG00000290921.1,,,2.808,2.101,3.515,1.439,8.118,5.2245732944861e-09,3.44119890452949e-06,10.168400197652
ENSG00000240429.1,LRRFIP1P1,LRRFIP1P1,2.884,2.157,3.61,0.983,8.111,5.30648124405934e-09,3.44119890452949e-06,10.1438919248376
ENSG00000291152.1,,SBDSP1,2.284,1.709,2.86,5.349,8.111,5.31202918210051e-09,3.44119890452949e-06,10.6874690371166
ENSG00000137842.7,TMEM62,TMEM62,1.669,1.248,2.09,4.83,8.094,5.54363240702766e-09,3.47672750137299e-06,10.643417137505
ENSG00000281706.5,,LINC01012,2.846,2.126,3.566,-0.815,8.083,5.70230270365083e-09,3.47672750137299e-06,9.67593252995719
ENSG00000115459.18,ELMOD3,ELMOD3,1.264,0.942,1.587,3.98,8.01,6.87683047322573e-09,4.01596354265254e-06,10.4248940481283
ENSG00000110619.18,CARS1,CARS1,1.523,1.134,1.912,6.219,7.997,7.11078431731373e-09,4.01596354265254e-06,10.3749235857915
ENSG00000291010.1,,MRPS31P5,2.448,1.822,3.074,2.593,7.994,7.16790405586802e-09,4.01596354265254e-06,10.2414902790648
ENSG00000081721.12,DUSP12,DUSP12,1.669,1.24,2.097,4.372,7.951,8.00289694714278e-09,4.36579088721763e-06,10.2854844921969
ENSG00000213995.12,NAXD,NAXD,1.029,0.762,1.296,5.479,7.864,9.99528589560503e-09,5.15566922404237e-06,10.0503209125866
ENSG00000291124.1,,,3.477,2.573,4.382,3.33,7.86,1.01141822660092e-08,5.15566922404237e-06,9.97730295208959
ENSG00000204256.14,BRD2,BRD2,1.795,1.328,2.262,8.395,7.857,1.01969338246858e-08,5.15566922404237e-06,9.97040685368213
ENSG00000291069.1,,BMS1P1,3.314,2.438,4.19,2.094,7.732,1.4093062212838e-08,6.95593284933645e-06,9.50485937490672
ENSG00000175197.13,DDIT3,DDIT3,2.564,1.883,3.244,4.551,7.7,1.52813314424659e-08,7.20754141364345e-06,9.6355293239921
ENSG00000290860.1,,CCT6P3,3.72,2.733,4.707,2.425,7.7,1.52982065702032e-08,7.20754141364345e-06,9.46704248603701
ENSG00000263956.8,NBPF11,NBPF11,2.417,1.774,3.059,3.964,7.69,1.57157449029842e-08,7.2397198186414e-06,9.62065690691673
ENSG00000171121.17,KCNMB3,KCNMB3,2.691,1.974,3.407,0.873,7.675,1.63290103141559e-08,7.35870399592286e-06,9.12153831387178
ENSG00000100483.14,VCPKMT,VCPKMT,1.628,1.192,2.064,3.345,7.631,1.82886542102058e-08,8.06646386760779e-06,9.42538816046016
ENSG00000139620.13,KANSL2,KANSL2,1.347,0.984,1.711,4.994,7.578,2.10329355319939e-08,9.08359903287987e-06,9.34226963371047
ENSG00000028310.18,BRD9,BRD9,1.449,1.053,1.846,5.398,7.47,2.78866386129766e-08,1.17977554785103e-05,9.04139221117065
ENSG00000138050.15,THUMPD2,THUMPD2,1.647,1.195,2.099,3.937,7.447,2.96003058812786e-08,1.22722868183781e-05,9.02324178896501
ENSG00000206149.13,HERC2P9,HERC2P9,3.021,2.189,3.853,2.573,7.423,3.15288645122394e-08,1.28155561046808e-05,8.82721250572465
ENSG00000240230.6,COX19,COX19,1.592,1.153,2.031,4.61,7.407,3.29375610537962e-08,1.3130685397023e-05,8.91600609279389
ENSG00000168096.15,ANKS3,ANKS3,1.855,1.343,2.367,3.952,7.399,3.36033462350991e-08,1.31433465557284e-05,8.89973412686508
ENSG00000153914.16,SREK1,SREK1,1.105,0.799,1.411,6.092,7.386,3.48144525083712e-08,1.33648814907136e-05,8.78383746016679
ENSG00000164535.15,DAGLB,DAGLB,1.342,0.97,1.714,4.692,7.377,3.56497024458316e-08,1.3436696940038e-05,8.83680902955434
ENSG00000140830.9,TXNL4B,TXNL4B,1.485,1.071,1.9,4.415,7.329,4.04318313436379e-08,1.47034859008979e-05,8.71763822838281
ENSG00000121390.19,PSPC1,PSPC1,0.9,0.649,1.151,5.741,7.327,4.06801337644832e-08,1.47034859008979e-05,8.64988004482331
ENSG00000290763.1,,SDHAP1,2.249,1.621,2.877,2.873,7.323,4.11385519658504e-08,1.47034859008979e-05,8.62217985574578
ENSG00000031003.11,FAM13B,FAM13B,1.129,0.813,1.445,5.893,7.293,4.44756870653087e-08,1.56267964892178e-05,8.57050506447204
ENSG00000121577.14,POPDC2,POPDC2,3.328,2.393,4.263,-0.085,7.276,4.65056513023763e-08,1.6067702524971e-05,7.71941656916169
ENSG00000134815.19,DHX34,DHX34,1.689,1.213,2.165,4.788,7.245,5.0517093622059e-08,1.71675303407424e-05,8.4946508399381
ENSG00000174365.22,SNHG11,SNHG11,1.734,1.244,2.224,3.537,7.233,5.21299281270891e-08,1.74298937108799e-05,8.4593684346426
ENSG00000106089.12,STX1A,STX1A,2.516,1.805,3.228,4.02,7.225,5.32590999400747e-08,1.75247800279008e-05,8.44666736780964
ENSG00000273142.1,LINC02604,LINC02604,1.933,1.385,2.481,1.897,7.207,5.59376974017247e-08,1.78683806930842e-05,8.17254820497857
ENSG00000197818.12,SLC9A8,SLC9A8,1.204,0.862,1.545,5.094,7.206,5.60272428871431e-08,1.78683806930842e-05,8.38261430263704
ENSG00000109920.13,FNBP4,FNBP4,1.506,1.078,1.934,5.882,7.189,5.86790812947668e-08,1.83215529789344e-05,8.29272194611264
ENSG00000255717.9,SNHG1,SNHG1,3.534,2.529,4.539,6.203,7.185,5.92158248716163e-08,1.83215529789344e-05,8.27974389738807
ENSG00000188283.12,ZNF383,ZNF383,2.001,1.429,2.572,3.696,7.151,6.49313110068416e-08,1.96555651991199e-05,8.25125722472053
ENSG00000154144.13,TBRG1,TBRG1,1.198,0.855,1.54,5.632,7.148,6.54237336584308e-08,1.96555651991199e-05,8.19069612745247
ENSG00000132323.9,ILKAP,ILKAP,1.109,0.791,1.428,4.875,7.116,7.11090572476752e-08,2.0793168576319e-05,8.16385521554022
ENSG00000291118.1,,ZNF767P,2.042,1.456,2.628,3.076,7.116,7.12163516120911e-08,2.0793168576319e-05,8.15647388634525
ENSG00000135164.19,DMTF1,DMTF1,1.186,0.842,1.531,5.169,7.035,8.85054680786057e-08,2.54821993509652e-05,7.91753688702608
ENSG00000162664.17,ZNF326,ZNF326,1.447,1.025,1.868,5.516,7.016,9.29446208406503e-08,2.63937258907764e-05,7.84160684758943
ENSG00000100263.14,RHBDD3,RHBDD3,1.759,1.245,2.272,4.505,7,9.70656741855828e-08,2.71915057549612e-05,7.85655309935676
ENSG00000249859.14,PVT1,PVT1,2.236,1.583,2.89,3.56,6.99,9.96232065346245e-08,2.75358542861702e-05,7.84760878827386
ENSG00000259529.2,,,2.266,1.594,2.937,3.228,6.898,1.2765537041144e-07,3.48196819556467e-05,7.60490958378042
ENSG00000117625.14,RCOR3,RCOR3,1.29,0.906,1.674,4.929,6.869,1.3806542147536e-07,3.69743885898549e-05,7.49750234979357
ENSG00000291146.1,RP9P,RP9P,2.275,1.598,2.952,2.745,6.866,1.39122156778036e-07,3.69743885898549e-05,7.4235875952614
ENSG00000291203.1,,,1.848,1.297,2.4,3.016,6.853,1.44275918824808e-07,3.74138912145193e-05,7.46240506655297
ENSG00000291259.1,,,2.567,1.801,3.333,2.449,6.852,1.44385494315559e-07,3.74138912145193e-05,7.40164097845223
ENSG00000111300.10,NAA25,NAA25,1.303,0.914,1.693,5.604,6.842,1.48601903863231e-07,3.80310798405527e-05,7.38191475163587
ENSG00000148399.13,DPH7,DPH7,1.279,0.896,1.661,4.361,6.834,1.51828454206871e-07,3.8382973850103e-05,7.44216727981813
ENSG00000242588.7,,,1.105,0.774,1.436,6.078,6.826,1.54890977936757e-07,3.86854213569757e-05,7.31511033984695
ENSG00000135829.17,DHX9,DHX9,1.3,0.91,1.689,7.693,6.821,1.57108092888999e-07,3.87720329236779e-05,7.26197049684964
ENSG00000181666.19,ZNF875,ZNF875,1.277,0.894,1.661,4.53,6.808,1.62897609596599e-07,3.97278523169116e-05,7.35738886405265
ENSG00000119688.21,ABCD4,ABCD4,1.066,0.745,1.386,4.649,6.798,1.67050536408169e-07,4.02669490667597e-05,7.34144060019569
ENSG00000265479.7,DTX2P1-UPK3BP1-PMS2P11,DTX2P1-UPK3BP1-PMS2P11,1.713,1.197,2.229,3.789,6.787,1.7238674174051e-07,4.10755994974801e-05,7.32517228658564
ENSG00000267254.8,ZNF790-AS1,ZNF790-AS1,2.317,1.618,3.016,1.712,6.773,1.78980948774955e-07,4.21622166830093e-05,7.1793664757079
ENSG00000137504.15,CREBZF,CREBZF,1.34,0.935,1.745,5.601,6.758,1.86368413719047e-07,4.34091822066949e-05,7.14917047148451
ENSG00000174227.16,PIGG,PIGG,1.027,0.716,1.338,5.91,6.743,1.93907223090068e-07,4.46632970517456e-05,7.11132198444564
ENSG00000067365.15,METTL22,METTL22,1.656,1.154,2.158,3.552,6.737,1.97033126968272e-07,4.48845793632117e-05,7.18890507388249
ENSG00000291207.1,,,2.355,1.64,3.07,3.461,6.732,1.99759540255084e-07,4.5011035537912e-05,7.17759951418806
ENSG00000157349.17,DDX19B,DDX19B,1.246,0.867,1.625,4.951,6.722,2.05267681879445e-07,4.57548284447408e-05,7.11826776955013
ENSG00000290835.1,,,1.866,1.298,2.435,2.93,6.713,2.10154689132656e-07,4.63458160182975e-05,7.11699000694867
ENSG00000291072.1,,,2.859,1.984,3.734,4.542,6.68,2.30323992992283e-07,5.02591197340004e-05,7.04129262786583
ENSG00000291201.1,,,1.729,1.199,2.26,3.142,6.664,2.40150591899408e-07,5.18575184382784e-05,6.99207013553237
ENSG00000160679.14,CHTOP,CHTOP,0.787,0.545,1.029,6.217,6.643,2.54528672484901e-07,5.43956637176495e-05,6.81610089364437
ENSG00000115137.12,DNAJC27,DNAJC27,1.387,0.96,1.814,3.164,6.633,2.61231900322299e-07,5.47531867120331e-05,6.90545820167949
ENSG00000179406.10,LINC00174,LINC00174,2.066,1.429,2.703,2.248,6.633,2.61484104413472e-07,5.47531867120331e-05,6.84958577969923
ENSG00000232611.1,,,2.511,1.736,3.285,-0.561,6.622,2.69128632251994e-07,5.56413810386684e-05,6.35134715593205
ENSG00000162971.11,TYW5,TYW5,1.714,1.185,2.244,4.58,6.62,2.71094041722407e-07,5.56413810386684e-05,6.86949937530271
ENSG00000291035.1,RRP7BP,RRP7BP,2.103,1.451,2.754,2.856,6.597,2.88618410999476e-07,5.86574476472465e-05,6.8104003994434
ENSG00000125351.14,UPF3B,UPF3B,1.153,0.795,1.51,4.317,6.593,2.91600757080967e-07,5.8688191206684e-05,6.777753918103
ENSG00000168883.20,USP39,USP39,1.114,0.768,1.459,5.836,6.583,2.9942423274637e-07,5.96833110080025e-05,6.67775931312079
ENSG00000185753.13,CXorf38,CXorf38,0.938,0.645,1.23,4.859,6.549,3.28763155845358e-07,6.49072401968978e-05,6.65482497029221
ENSG00000135637.14,CCDC142,CCDC142,1.348,0.926,1.771,3.974,6.523,3.52937892862724e-07,6.90226652740026e-05,6.63168156531532
ENSG00000166012.17,TAF1D,TAF1D,1.6,1.099,2.102,6.345,6.519,3.565346054938e-07,6.90744146905279e-05,6.48544021376302
ENSG00000111364.16,DDX55,DDX55,1.27,0.869,1.67,4.628,6.479,3.97928696123661e-07,7.57808448859702e-05,6.46905477364569
ENSG00000074755.15,ZZEF1,ZZEF1,1.154,0.79,1.519,6.158,6.478,3.98461750727002e-07,7.57808448859702e-05,6.38784869197255
ENSG00000250251.7,PKD1P6,PKD1P6,2.402,1.641,3.164,3.053,6.447,4.3369210260603e-07,8.17312480638455e-05,6.4164683033078
ENSG00000243289.2,AGAP13P,AGAP13P,2.393,1.632,3.154,0.64,6.43,4.54717984290867e-07,8.49216559851321e-05,6.15470414905053
ENSG00000115568.16,ZNF142,ZNF142,1.033,0.704,1.362,4.918,6.418,4.70603158783583e-07,8.71036025141399e-05,6.29832840758403
ENSG00000169032.11,MAP2K1,MAP2K1,-0.98,-1.292,-0.667,6.345,-6.405,4.87623248646126e-07,8.885287681655e-05,6.17279967139383
ENSG00000288632.1,,,3.227,2.197,4.257,3.538,6.404,4.88626529526613e-07,8.885287681655e-05,6.32329266436589
ENSG00000291092.1,PMS2P3,PMS2P3,2.091,1.423,2.759,2.489,6.396,4.99297003100716e-07,9.00037119502421e-05,6.2864619799288
ENSG00000198026.8,ZNF335,ZNF335,1.076,0.731,1.421,4.714,6.374,5.30057051247002e-07,9.47041783366764e-05,6.18561912088777
ENSG00000102543.14,CDADC1,CDADC1,1.389,0.943,1.835,3.216,6.371,5.34509834316987e-07,9.47041783366764e-05,6.24339273879404
ENSG00000293489.1,,,2.936,1.982,3.891,3.482,6.288,6.71293369580036e-07,0.000117931453825374,6.00789692362136
ENSG00000111877.18,MCM9,MCM9,1.271,0.857,1.685,4.028,6.276,6.94313372351712e-07,0.000120950556376899,5.97718480652483
ENSG00000100814.19,CCNB1IP1,CCNB1IP1,1.261,0.844,1.677,5.4,6.187,8.8710044258871e-07,0.0001532466014572,5.62158014460856
ENSG00000178440.9,TIMM23B-AGAP6,TIMM23B-AGAP6,5.598,3.747,7.45,1.107,6.179,9.0680539846609e-07,0.000155355999257868,5.48479903897126
ENSG00000087157.19,PGS1,PGS1,1.036,0.693,1.379,4.728,6.167,9.38106302343685e-07,0.000159401177439218,5.61915838277908
ENSG00000248971.2,KRT8P46,KRT8P46,3.225,2.155,4.294,-1.353,6.162,9.48954020127055e-07,0.000159933470221413,5.22512621483703
ENSG00000291228.1,,,1.572,1.05,2.094,3.594,6.156,9.66224504292795e-07,0.000161530919145078,5.67861011002781
ENSG00000183604.17,SMG1P5,SMG1P5,2.94,1.959,3.921,3.068,6.123,1.05787499682324e-06,0.000175437989473166,5.59260414712942
ENSG00000196689.13,TRPV1,TRPV1,2.007,1.333,2.681,2.807,6.087,1.16714286378603e-06,0.000192022790208607,5.50021584723633
ENSG00000288827.1,,,2.388,1.585,3.19,-0.216,6.078,1.19896965067005e-06,0.000195705833530631,5.12950690293875
ENSG00000186166.9,CENATAC,CENATAC,1.508,1.001,2.016,2.923,6.072,1.21651850395905e-06,0.000197018973336493,5.4522139779772
ENSG00000070269.14,TMEM260,TMEM260,1.703,1.127,2.28,4.705,6.04,1.33042417829714e-06,0.000213796071442633,5.29718253265913
ENSG00000141391.14,PRELID3A,PRELID3A,2.312,1.525,3.1,1.326,6,1.4853905939304e-06,0.00023686266932444,5.15724082534796
ENSG00000108825.18,PTGES3L-AARSD1,PTGES3L-AARSD1,2.941,1.934,3.948,0.312,5.968,1.62555581304249e-06,0.000257234900796724,4.71761530361486
ENSG00000214783.9,POLR2J4,POLR2J4,2.054,1.35,2.759,1.896,5.959,1.66737534722701e-06,0.000261853719303151,5.0998901838058
ENSG00000185298.13,CCDC137,CCDC137,0.927,0.608,1.246,5.415,5.941,1.74850134837044e-06,0.000270784810896782,4.97270030862235
ENSG00000291272.1,,,2.031,1.332,2.729,2.74,5.941,1.75036973758653e-06,0.000270784810896782,5.10466883084258
ENSG00000290924.1,,,2.63,1.724,3.536,0.051,5.933,1.7905275538831e-06,0.000273870054906857,4.84082148264361
ENSG00000088356.6,PDRG1,PDRG1,1.194,0.783,1.606,5.058,5.932,1.79673552664411e-06,0.000273870054906857,4.97655090824343
ENSG00000075292.19,ZNF638,ZNF638,1.019,0.665,1.372,6.439,5.895,1.9902623815159e-06,0.00030115430050237,4.77184472089023
ENSG00000204685.9,STARD7-AS1,STARD7-AS1,1.583,1.033,2.133,2.423,5.883,2.05839129593418e-06,0.000309206170758808,4.94969583508781
ENSG00000242086.8,MUC20-OT1,MUC20-OT1,2.217,1.446,2.987,4.889,5.879,2.07931247769224e-06,0.000310101781745037,4.88366221226722
ENSG00000291060.1,,,2.453,1.599,3.308,4.05,5.866,2.15809417864986e-06,0.000319552088024368,4.89485042358317
ENSG00000291104.1,BTN2A3P,BTN2A3P,2.657,1.73,3.584,1.516,5.857,2.21233123176389e-06,0.000325026202984861,4.76785042587657
ENSG00000104231.11,ZFAND1,ZFAND1,1.122,0.73,1.513,5.164,5.854,2.22642165093344e-06,0.000325026202984861,4.74010766841261
ENSG00000128908.19,INO80,INO80,1.291,0.837,1.746,5.67,5.807,2.53787134274184e-06,0.000367902607937332,4.57814496533223
ENSG00000291117.1,,,1.469,0.951,1.986,4.684,5.797,2.61230950042942e-06,0.000376063721832652,4.60194175444133
ENSG00000166685.13,COG1,COG1,0.942,0.609,1.275,5.039,5.784,2.70782108726864e-06,0.000384531364853281,4.58798940386117
ENSG00000204576.12,PRR3,PRR3,1.905,1.232,2.578,3.313,5.784,2.70822861884125e-06,0.000384531364853281,4.69756764164007
ENSG00000169246.17,NPIPB3,NPIPB3,2.7,1.744,3.655,3.234,5.774,2.7852290700962e-06,0.000392774140293158,4.67619227345488
ENSG00000100038.20,TOP3B,TOP3B,1.096,0.706,1.487,4.49,5.74,3.06024842020243e-06,0.000428641552370245,4.49174919192697
ENSG00000134186.12,PRPF38B,PRPF38B,0.946,0.609,1.284,6.047,5.735,3.10264061543338e-06,0.000431662684281437,4.34101408420243
ENSG00000131051.24,RBM39,RBM39,0.867,0.558,1.176,7.642,5.733,3.12412674807816e-06,0.000431754316584402,4.30551394553209
ENSG00000124160.12,NCOA5,NCOA5,1.304,0.838,1.77,5.635,5.721,3.22790617809542e-06,0.000443142351469656,4.33187574502349
ENSG00000122435.11,TRMT13,TRMT13,1.285,0.823,1.746,4.309,5.691,3.50620950980964e-06,0.000475288271491358,4.40723301350886
ENSG00000278970.4,HEIH,HEIH,1.176,0.754,1.599,4.633,5.689,3.52626174860432e-06,0.000475288271491358,4.35519002817808
ENSG00000106638.18,TBL2,TBL2,0.953,0.611,1.296,5.641,5.689,3.53084388855133e-06,0.000475288271491358,4.26061432129649
