ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000291073.1,,,4.014,3.938,16.611,0,0,26.9665584831662
ENSG00000152457.19,DCLRE1C,DCLRE1C,2.661,4.83,15.829,0,0,26.2172490105557
ENSG00000293311.1,SMPD4BP,SMPD4BP,2.559,4.14,15.869,0,0,26.189522785351
ENSG00000137073.24,UBAP2,UBAP2,1.45,6.016,15.207,0,0,25.3599935272996
ENSG00000291228.1,,,3.138,3.594,15.068,0,0,24.5941894455709
ENSG00000272888.8,CHASERR,CHASERR,2.9,6.226,14.748,0,0,24.4875880299205
ENSG00000128272.18,ATF4,ATF4,2.232,8.835,14.587,0,0,24.3209118394913
ENSG00000111011.18,RSRC2,RSRC2,2.32,6.247,14.469,0,0,24.0972521582187
ENSG00000258890.8,CEP95,CEP95,2.361,4.512,14.39,0,0,23.8193083477749
ENSG00000006652.15,IFRD1,IFRD1,2.54,6.279,14.308,0,0,23.7913996101141
ENSG00000232956.10,SNHG15,SNHG15,2.971,4.896,14.11,0,0,23.3589137449936
ENSG00000106089.12,STX1A,STX1A,3.206,4.02,13.786,0,0,22.7726959246262
ENSG00000101782.15,RIOK3,RIOK3,2.085,7.303,13.563,0,0,22.47245272749
ENSG00000196756.15,SNHG17,SNHG17,2.796,4.289,13.418,0,0,22.0980080400353
ENSG00000227232.6,WASH7P,WASH7P,2.853,3.37,13.336,0,0,21.4955883771034
ENSG00000168564.6,CDKN2AIP,CDKN2AIP,1.782,5.419,12.743,0,0,20.9042478976806
ENSG00000074755.15,ZZEF1,ZZEF1,1.921,6.158,12.632,0,0,20.6933790383176
ENSG00000138050.15,THUMPD2,THUMPD2,2.201,3.937,12.516,0,0,20.3935394050292
ENSG00000031003.11,FAM13B,FAM13B,1.745,5.893,12.479,0,0,20.3760577771007
ENSG00000125459.18,MSTO1,MSTO1,2.277,5.698,12.38,0,0,20.1977872380317
ENSG00000024048.11,UBR2,UBR2,1.495,5.803,12.265,0,0,19.96853088742
ENSG00000059769.20,DNAJC25,DNAJC25,2.112,4.558,12.245,0,0,19.9068255117764
ENSG00000290763.1,,SDHAP1,2.979,2.873,12.401,0,0,19.8633326206565
ENSG00000268043.9,NBPF12,NBPF12,2.489,4.478,12.241,0,0,19.8179697001005
ENSG00000175197.13,DDIT3,DDIT3,3.738,4.551,12.299,0,0,19.6907086900511
ENSG00000142207.7,URB1,URB1,1.783,6.685,11.952,0,0,19.3377458029714
ENSG00000132323.9,ILKAP,ILKAP,1.417,4.875,11.835,0,0,19.0929785734776
ENSG00000165525.18,NEMF,NEMF,1.864,6.131,11.829,0,0,19.0893131809374
ENSG00000114316.13,USP4,USP4,1.346,6.119,11.808,0,0,19.0464106750711
ENSG00000118873.17,RAB3GAP2,RAB3GAP2,1.297,6.177,11.778,0,0,18.9841847498572
ENSG00000087206.17,UIMC1,UIMC1,2.221,4.854,11.783,0,0,18.9728185281724
ENSG00000205534.6,SMG1P2,SMG1P2,4.195,2.767,12.043,0,0,18.9111532155876
ENSG00000290770.1,MFSD14CP,MFSD14CP,1.469,4.771,11.709,0,0,18.8399632563175
ENSG00000172939.9,OXSR1,OXSR1,1.472,6.252,11.366,0,0,18.1214329498
ENSG00000081721.12,DUSP12,DUSP12,1.961,4.372,11.347,0,0,18.0466647117132
ENSG00000156976.17,EIF4A2,EIF4A2,1.806,8.969,11.145,0,0,17.6429268964761
ENSG00000166012.17,TAF1D,TAF1D,2.25,6.345,11.011,0,0,17.3635443068432
ENSG00000157881.16,PANK4,PANK4,1.304,4.526,11.001,0,0,17.3426882353378
