ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000128272.18,ATF4,ATF4,1.078,8.835,6.086,0,0.024,-1.58095661559477
ENSG00000006652.15,IFRD1,IFRD1,1.145,6.279,5.368,0,0.09,-2.49013787289202
ENSG00000168564.6,CDKN2AIP,CDKN2AIP,0.856,5.419,4.903,0,0.218,-2.83666680161882
ENSG00000005007.14,UPF1,UPF1,0.557,7.608,3.949,0,0.849,-2.89519458477812
ENSG00000068028.18,RASSF1,RASSF1,1.102,5.434,4.804,0,0.218,-3.07357353419228
ENSG00000125351.14,UPF3B,UPF3B,0.769,4.317,4.441,0,0.48,-3.21149649420755
ENSG00000152457.19,DCLRE1C,DCLRE1C,0.83,4.83,4.152,0,0.667,-3.35129852471708
ENSG00000240230.6,COX19,COX19,0.833,4.61,4.016,0,0.849,-3.44335118325605
ENSG00000166024.14,R3HCC1L,R3HCC1L,0.644,4.498,3.948,0,0.849,-3.47209232993073
ENSG00000140830.9,TXNL4B,TXNL4B,0.923,4.415,4.217,0,0.637,-3.57735104424869
ENSG00000232956.10,SNHG15,SNHG15,1.389,4.896,4.368,0,0.489,-3.69544415324966
ENSG00000157106.18,SMG1,SMG1,0.726,7.159,3.676,0.001,1,-3.11825499243591
ENSG00000151461.20,UPF2,UPF2,0.553,5.816,3.616,0.001,1,-3.26419248731468
ENSG00000291152.1,,SBDSP1,1.04,5.349,3.755,0.001,1,-3.53786280712484
ENSG00000268043.9,NBPF12,NBPF12,0.892,4.478,3.645,0.001,1,-3.76912995224666
ENSG00000144161.14,ZC3H8,ZC3H8,1.042,3.819,3.509,0.001,1,-3.86247181775963
ENSG00000196756.15,SNHG17,SNHG17,1.225,4.289,3.896,0.001,0.894,-3.86984091385404
ENSG00000174365.22,SNHG11,SNHG11,0.882,3.537,3.654,0.001,1,-3.95664530369627
ENSG00000217576.7,,,5.406,-5.761,3.567,0.001,1,-4.51454767095871
ENSG00000100664.11,EIF5,EIF5,0.705,8.613,3.377,0.002,1,-3.27725725626598
