ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000006652.15,IFRD1,IFRD1,1.383,0.957,1.81,6.279,6.624,2.67884326100639e-07,0.0040794960339343,-0.118843705212849
ENSG00000128272.18,ATF4,ATF4,1.147,0.785,1.509,8.835,6.483,3.93583794880299e-07,0.0040794960339343,0.511349374832679
ENSG00000168564.6,CDKN2AIP,CDKN2AIP,1.033,0.677,1.388,5.419,5.934,1.78359199453313e-06,0.0123246206822239,-0.919691904661664
ENSG00000068028.18,RASSF1,RASSF1,1.244,0.784,1.704,5.434,5.523,5.60392141485635e-06,0.029042322732493,-1.47209307700435
ENSG00000175197.13,DDIT3,DDIT3,1.647,0.959,2.336,4.551,4.889,3.30867422870594e-05,0.137177633522148,-2.78949073623303
ENSG00000125351.14,UPF3B,UPF3B,0.784,0.434,1.135,4.317,4.574,7.9913761394523e-05,0.276102045618077,-2.1581442056989
ENSG00000232956.10,SNHG15,SNHG15,1.385,0.756,2.015,4.896,4.495,9.95156835543752e-05,0.294708588583171,-2.85697939752553
ENSG00000005007.14,UPF1,UPF1,0.614,0.326,0.902,7.608,4.354,0.000147259399139154,0.358568975463146,-1.55570970217169
ENSG00000196756.15,SNHG17,SNHG17,1.336,0.706,1.966,4.289,4.334,0.000155673940143189,0.358568975463146,-3.04338064914338
ENSG00000268043.9,NBPF12,NBPF12,1.028,0.534,1.522,4.478,4.255,0.000193694689855909,0.401529092071299,-2.76214007169809
ENSG00000152457.19,DCLRE1C,DCLRE1C,0.849,0.428,1.269,4.83,4.124,0.000277647082577748,0.501378829067949,-2.62121703872928
ENSG00000267254.8,ZNF790-AS1,ZNF790-AS1,1.569,0.789,2.35,1.712,4.108,0.000290233765017626,0.501378829067949,-3.8385164729347
ENSG00000125814.17,NAPB,NAPB,0.697,0.345,1.049,4.044,4.045,0.000345651093080697,0.551180550735604,-2.9906769540407
ENSG00000140830.9,TXNL4B,TXNL4B,0.807,0.38,1.234,4.415,3.861,0.000569604673924099,0.843421777889041,-2.95767995813327
ENSG00000151461.20,UPF2,UPF2,0.575,0.265,0.885,5.816,3.787,0.000696910738289464,0.885431010126434,-2.33322487397648
ENSG00000240230.6,COX19,COX19,0.789,0.363,1.215,4.61,3.786,0.00069898727344864,0.885431010126434,-2.85658421932827
ENSG00000233016.9,SNHG7,SNHG7,1.068,0.488,1.649,5.679,3.761,0.000747536230478386,0.885431010126434,-2.64770370730747
ENSG00000138061.12,CYP1B1,CYP1B1,1.724,0.778,2.67,4.902,3.726,0.000820884484129685,0.885431010126434,-2.32735484323982
ENSG00000100664.11,EIF5,EIF5,0.77,0.344,1.196,8.613,3.695,0.000891093825057296,0.885431010126434,-2.25843662957948
ENSG00000259663.2,ISL1-DT,ISL1-DT,-2.461,-3.822,-1.099,-3.12,-3.693,0.000896284942972008,0.885431010126434,-4.27505856899672
ENSG00000166024.14,R3HCC1L,R3HCC1L,0.589,0.262,0.916,4.498,3.677,0.000935217589018875,0.885431010126434,-2.88592983467891
ENSG00000168096.15,ANKS3,ANKS3,0.948,0.421,1.475,3.952,3.676,0.000939675939352704,0.885431010126434,-3.26618559766143
ENSG00000278970.4,HEIH,HEIH,0.761,0.33,1.193,4.633,3.606,0.00113133257995962,0.99082670667976,-3.0464018827511
ENSG00000198952.8,SMG5,SMG5,0.497,0.214,0.78,7.154,3.595,0.00116672590307124,0.99082670667976,-2.41644129014385
ENSG00000290770.1,MFSD14CP,MFSD14CP,0.558,0.24,0.876,4.771,3.586,0.00119491884548934,0.99082670667976,-2.87165109944582
ENSG00000104825.17,NFKBIB,NFKBIB,0.564,0.241,0.887,4.913,3.57,0.00124529816746021,0.992885808132694,-2.88862113637184
ENSG00000088356.6,PDRG1,PDRG1,0.738,0.31,1.165,5.058,3.527,0.00139495012916942,0.999088540929802,-2.98989728306621
ENSG00000157106.18,SMG1,SMG1,0.696,0.292,1.1,7.159,3.52,0.00142081560463426,0.999088540929802,-2.5003913154368
ENSG00000115137.12,DNAJC27,DNAJC27,0.709,0.297,1.121,3.164,3.517,0.00143228755344131,0.999088540929802,-3.63022682092919
ENSG00000227036.10,LINC00511,LINC00511,0.859,0.359,1.359,3.499,3.514,0.00144585895937743,0.999088540929802,-2.69646799673187
ENSG00000272888.8,CHASERR,CHASERR,0.741,0.305,1.177,6.226,3.474,0.00160754792974441,0.999984495355126,-2.78574647484525
ENSG00000050426.16,LETMD1,LETMD1,0.625,0.253,0.998,5.069,3.43,0.00180505317309508,0.999984495355126,-3.03475716314113
ENSG00000290678.1,,,-3.342,-5.377,-1.306,-4.422,-3.355,0.00219177132847013,0.999984495355126,-4.44973438088619
ENSG00000141391.14,PRELID3A,PRELID3A,1.546,0.6,2.492,1.326,3.34,0.00227962635456622,0.999984495355126,-4.21394968917896
ENSG00000273784.5,,,0.94,0.361,1.519,2.802,3.318,0.00241834638950204,0.999984495355126,-3.83491047509414
ENSG00000088340.18,FER1L4,FER1L4,7.21,2.763,11.657,-2.316,3.314,0.00244277066020642,0.999984495355126,-4.39242651164585
ENSG00000226266.8,,,-2.661,-4.307,-1.015,-1.357,-3.304,0.00250218908003067,0.999984495355126,-4.35322208257921
ENSG00000122254.7,HS3ST2,HS3ST2,-2.534,-4.101,-0.966,-3.767,-3.303,0.00250948692182515,0.999984495355126,-4.39445987893229
ENSG00000031003.11,FAM13B,FAM13B,0.509,0.192,0.826,5.893,3.285,0.00263503978121077,0.999984495355126,-2.94739737039892
ENSG00000213995.12,NAXD,NAXD,0.427,0.16,0.694,5.479,3.266,0.00276769365058352,0.999984495355126,-3.01559890093415
ENSG00000286088.1,,,3.815,1.414,6.216,-1.495,3.247,0.00290174365853964,0.999984495355126,-4.38832040454507
ENSG00000133398.4,MED10,MED10,0.579,0.213,0.945,5.43,3.233,0.00301170990351103,0.999984495355126,-3.05610324465559
ENSG00000165275.10,TRMT10B,TRMT10B,0.698,0.255,1.142,3.104,3.216,0.00314101170199754,0.999984495355126,-3.80162728345545
ENSG00000185917.14,SETD4,SETD4,0.667,0.241,1.094,4.27,3.198,0.00329496035543299,0.999984495355126,-3.46032818346103
ENSG00000100483.14,VCPKMT,VCPKMT,0.729,0.262,1.197,3.345,3.187,0.00339066294458477,0.999984495355126,-3.84967067876959
ENSG00000174365.22,SNHG11,SNHG11,0.74,0.259,1.221,3.537,3.144,0.00378445604676846,0.999984495355126,-3.68758803178756
ENSG00000260236.2,PTPN23-DT,PTPN23-DT,1.285,0.449,2.122,0.135,3.14,0.00382178921882057,0.999984495355126,-4.2769736449896
ENSG00000100060.18,MFNG,MFNG,2.71,0.937,4.483,-1.402,3.123,0.00398706414465209,0.999984495355126,-4.38495839978471
ENSG00000228218.1,ATF4P3,ATF4P3,1.194,0.412,1.976,-2.259,3.12,0.00401769873818504,0.999984495355126,-4.35465745608532
ENSG00000205534.6,SMG1P2,SMG1P2,1.507,0.519,2.494,2.767,3.117,0.00405304655600355,0.999984495355126,-4.11144739234525
ENSG00000175003.15,SLC22A1,SLC22A1,2.05,0.704,3.397,-2.858,3.113,0.0040951976763687,0.999984495355126,-4.38279506528183
ENSG00000188629.14,ZNF177,ZNF177,2.598,0.868,4.328,0.29,3.07,0.00456784198515876,0.999984495355126,-4.304930731365
ENSG00000290535.1,,,0.845,0.282,1.407,1.709,3.069,0.00457823676963156,0.999984495355126,-4.0603959839865
ENSG00000185298.13,CCDC137,CCDC137,0.462,0.154,0.77,5.415,3.067,0.00460003502368875,0.999984495355126,-3.14675468688418
ENSG00000291073.1,,,0.954,0.318,1.59,3.938,3.065,0.00462068134439236,0.999984495355126,-3.78285396413141
ENSG00000291152.1,,SBDSP1,0.822,0.27,1.374,5.349,3.043,0.00488110204850767,0.999984495355126,-3.35011062678037
ENSG00000291078.1,,,0.745,0.242,1.248,3.099,3.026,0.00509628746473316,0.999984495355126,-3.95241846922709
ENSG00000291146.1,RP9P,RP9P,1.03,0.333,1.727,2.745,3.022,0.00515123913734169,0.999984495355126,-4.05304848103889
ENSG00000148399.13,DPH7,DPH7,0.584,0.187,0.981,4.361,3.009,0.00532374835736663,0.999984495355126,-3.62466112060591
ENSG00000105771.14,SMG9,SMG9,0.69,0.219,1.161,5.262,2.992,0.00554829693811081,0.999984495355126,-3.32075830963057
ENSG00000169246.17,NPIPB3,NPIPB3,1.513,0.472,2.555,3.234,2.969,0.00587949340324809,0.999984495355126,-3.99694406797981
ENSG00000085514.16,PILRA,PILRA,1.624,0.499,2.749,-2.528,2.949,0.00617690247120228,0.999984495355126,-4.4068074402088
ENSG00000278416.1,PMS2P2,PMS2P2,2.127,0.647,3.606,-0.755,2.938,0.00635359899770024,0.999984495355126,-4.40000344976773
ENSG00000116717.13,GADD45A,GADD45A,0.768,0.232,1.304,6.456,2.93,0.00647392614984772,0.999984495355126,-3.1603443645405
ENSG00000263235.1,,,1.55,0.468,2.633,-1.962,2.928,0.00651705762066126,0.999984495355126,-4.37544938936602
ENSG00000180747.16,SMG1P3,SMG1P3,3.737,1.111,6.363,2.8,2.908,0.00684467767746565,0.999984495355126,-4.15475951166978
ENSG00000291228.1,,,0.823,0.243,1.404,3.594,2.897,0.0070235997564713,0.999984495355126,-3.94651804243433
ENSG00000167393.18,PPP2R3B,PPP2R3B,-3.219,-5.495,-0.942,1.866,-2.889,0.00717267390891344,0.999984495355126,-4.22863488790063
ENSG00000291010.1,,MRPS31P5,0.959,0.278,1.641,2.593,2.879,0.00735502487274144,0.999984495355126,-4.06002126217146
ENSG00000246430.9,LINC00968,LINC00968,-1.324,-2.268,-0.38,-5.177,-2.865,0.00760158654520575,0.999984495355126,-4.50047591156271
ENSG00000081721.12,DUSP12,DUSP12,0.66,0.187,1.133,4.372,2.852,0.00785240382787382,0.999984495355126,-3.7862369914284
ENSG00000291087.1,,CRYBB2P1,0.8,0.224,1.377,3.253,2.839,0.00811607758298773,0.999984495355126,-3.98921571947229
ENSG00000168405.19,CMAHP,CMAHP,6.286,1.687,10.885,-4.542,2.793,0.00906506571913846,0.999984495355126,-4.46205060976371
ENSG00000132207.18,SLX1A,SLX1A,1.065,0.285,1.845,4.192,2.792,0.00910322215870345,0.999984495355126,-3.7226204897671
ENSG00000273432.1,,,1.134,0.303,1.965,-0.485,2.789,0.00916847107558055,0.999984495355126,-4.35235503306748
ENSG00000119688.21,ABCD4,ABCD4,0.435,0.114,0.756,4.649,2.771,0.00958336148903722,0.999984495355126,-3.67682510315896
ENSG00000183458.15,PKD1P3,PKD1P3,0.796,0.208,1.384,5.566,2.767,0.00967492344472899,0.999984495355126,-3.42749616473976
ENSG00000134489.7,HRH4,HRH4,2.578,0.672,4.484,-3.732,2.764,0.0097455228586844,0.999984495355126,-4.46152738986182
ENSG00000181666.19,ZNF875,ZNF875,0.51,0.132,0.887,4.53,2.761,0.00980899039751086,0.999984495355126,-3.62013416853573
ENSG00000182307.14,C8orf33,C8orf33,0.436,0.111,0.761,5.929,2.744,0.0102113244410233,0.999984495355126,-3.40894814695302
ENSG00000278996.1,,,5.33,1.36,9.3,-6.134,2.744,0.0102309662015237,0.999984495355126,-4.4895219688203
ENSG00000203326.12,ZNF525,ZNF525,0.663,0.164,1.161,3.218,2.718,0.0108730363693561,0.999984495355126,-3.9182204007244
ENSG00000178381.12,ZFAND2A,ZFAND2A,1.171,0.289,2.054,4.549,2.714,0.010994584737878,0.999984495355126,-3.92804461623256
ENSG00000251022.6,THAP9-AS1,THAP9-AS1,1.303,0.319,2.288,4.818,2.706,0.011209955352404,0.999984495355126,-3.66931626283421
ENSG00000262633.2,,,6.608,1.608,11.608,-4.568,2.701,0.0113391844313619,0.999984495355126,-4.47752514447517
ENSG00000255529.9,POLR2M,POLR2M,0.691,0.168,1.214,6.236,2.7,0.0113621612170106,0.999984495355126,-3.43609482191353
ENSG00000232611.1,,,1.059,0.25,1.868,-0.561,2.675,0.0120705734892077,0.999984495355126,-4.37481212979188
ENSG00000112763.17,BTN2A1,BTN2A1,0.647,0.151,1.142,5.071,2.666,0.0123215262939668,0.999984495355126,-3.664322139658
ENSG00000285596.1,,,1.352,0.315,2.388,-1.408,2.665,0.0123453751947756,0.999984495355126,-4.42047255829771
ENSG00000109065.12,NAT9,NAT9,0.595,0.138,1.052,5.159,2.66,0.0125127005601389,0.999984495355126,-3.64084026506464
ENSG00000139514.13,SLC7A1,SLC7A1,0.519,0.117,0.921,6.38,2.639,0.0131351874919014,0.999984495355126,-3.45427584745664
