ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000128272.18,ATF4,ATF4,2.581,2.22,2.941,8.835,14.627,4.63442925504436e-15,9.60717184570696e-11,24.1867680767346
ENSG00000103061.13,SLC7A6OS,SLC7A6OS,1.704,1.431,1.977,4.662,12.753,1.54919098210942e-13,1.60573645295642e-09,20.6285468414174
ENSG00000293311.1,SMPD4BP,SMPD4BP,2.327,1.921,2.734,4.14,11.701,1.31084665347788e-12,9.05795037553212e-09,18.3907307296484
ENSG00000268043.9,NBPF12,NBPF12,2.598,2.121,3.075,4.478,11.123,4.47531907898372e-12,1.95544211939734e-08,17.2949256578616
ENSG00000227232.6,WASH7P,WASH7P,2.558,2.087,3.029,3.37,11.098,4.71645470187492e-12,1.95544211939734e-08,16.9183627186914
ENSG00000168564.6,CDKN2AIP,CDKN2AIP,1.753,1.428,2.079,5.419,11.008,5.72929034330644e-12,1.97946981361237e-08,17.3114217525212
ENSG00000106089.12,STX1A,STX1A,2.829,2.279,3.379,4.02,10.513,1.70830264938936e-11,5.05901627454878e-08,16.1589180067847
ENSG00000232956.10,SNHG15,SNHG15,2.285,1.826,2.744,4.896,10.172,3.67950246013142e-11,9.53451074981554e-08,15.495100226172
ENSG00000125814.17,NAPB,NAPB,1.579,1.245,1.914,4.044,9.648,1.23705244833076e-10,2.84934413932185e-07,14.1873784286467
ENSG00000291073.1,,,2.577,2.019,3.135,3.938,9.439,2.02620626756586e-10,4.20032559266403e-07,13.6577637835579
ENSG00000137073.24,UBAP2,UBAP2,1.033,0.807,1.259,6.016,9.342,2.55039024901603e-10,4.80632635110022e-07,13.6463638232099
ENSG00000196756.15,SNHG17,SNHG17,2.151,1.668,2.635,4.289,9.099,4.57533765018935e-10,7.9038957907021e-07,13.036190553226
ENSG00000291092.1,PMS2P3,PMS2P3,2.831,2.183,3.48,2.489,8.927,6.9360938175899e-10,1.10604019106645e-06,12.2144766035601
ENSG00000068028.18,RASSF1,RASSF1,1.666,1.28,2.052,5.434,8.82,9.02810254970252e-10,1.33680404182381e-06,12.4126550924651
ENSG00000291228.1,,,1.914,1.466,2.362,3.594,8.735,1.11292599492331e-09,1.53806372498401e-06,12.113844587816
ENSG00000174365.22,SNHG11,SNHG11,1.888,1.438,2.338,3.537,8.57,1.67492049237102e-09,2.09408820966797e-06,11.6734299692402
ENSG00000150401.15,DCUN1D2,DCUN1D2,1.866,1.421,2.312,3.835,8.56,1.71729375611941e-09,2.09408820966797e-06,11.7184962703622
ENSG00000100483.14,VCPKMT,VCPKMT,1.38,1.042,1.717,3.345,8.355,2.86212740222262e-09,3.29621672489305e-06,11.2453046221022
ENSG00000240429.1,LRRFIP1P1,LRRFIP1P1,3.06,2.309,3.81,0.983,8.33,3.04933355626322e-09,3.32698340112297e-06,10.215587009072
ENSG00000205534.6,SMG1P2,SMG1P2,2.894,2.179,3.609,2.767,8.273,3.52422768094107e-09,3.65286199129542e-06,10.8592258059375
ENSG00000152457.19,DCLRE1C,DCLRE1C,1.523,1.14,1.905,4.83,8.14,4.93653186938424e-09,4.87306217392072e-06,10.7577004899702
ENSG00000204370.13,SDHD,SDHD,-1.2,-1.504,-0.895,6.591,-8.058,6.08742829313443e-09,5.67875445584689e-06,10.5354462160119
ENSG00000233016.9,SNHG7,SNHG7,2.105,1.57,2.64,5.679,8.044,6.30059587479394e-09,5.67875445584689e-06,10.5172312791794
ENSG00000183458.15,PKD1P3,PKD1P3,2.245,1.672,2.818,5.566,8.013,6.82311027416291e-09,5.89346149930821e-06,10.4397974469922
ENSG00000250251.7,PKD1P6,PKD1P6,2.439,1.812,3.067,3.053,7.949,8.04619651008939e-09,6.67190614616612e-06,10.179108139089
ENSG00000164535.15,DAGLB,DAGLB,1.259,0.934,1.584,4.692,7.922,8.61987774115398e-09,6.87269482977392e-06,10.2169524722778
ENSG00000197989.15,SNHG12,SNHG12,2.65,1.962,3.339,4.657,7.869,9.87439876748187e-09,7.53862848791991e-06,10.0843731425962
ENSG00000119688.21,ABCD4,ABCD4,1.198,0.886,1.51,4.649,7.844,1.05280929103815e-08,7.53862848791991e-06,10.0116651401682
ENSG00000186566.13,GPATCH8,GPATCH8,1.361,1.006,1.716,6.078,7.833,1.08476694310371e-08,7.53862848791991e-06,9.97622227041139
ENSG00000187953.11,PMS2CL,PMS2CL,7.36,5.439,9.281,1.188,7.83,1.09097373197104e-08,7.53862848791991e-06,8.65534557950381
ENSG00000291272.1,,,2.271,1.676,2.866,2.74,7.8,1.1803036913043e-08,7.8928050066897e-06,9.77371425710324
ENSG00000128908.19,INO80,INO80,1.652,1.212,2.093,5.67,7.663,1.68226402816883e-08,1.07274189232038e-05,9.55245307090618
ENSG00000291035.1,RRP7BP,RRP7BP,2.149,1.575,2.722,2.856,7.658,1.70769331628425e-08,1.07274189232038e-05,9.4568007807612
ENSG00000163660.12,CCNL1,CCNL1,1.827,1.338,2.316,6.062,7.635,1.80958784396661e-08,1.07590587757779e-05,9.47346300169164
ENSG00000141391.14,PRELID3A,PRELID3A,2.3,1.684,2.916,1.326,7.634,1.81653187241788e-08,1.07590587757779e-05,9.25267133794253
ENSG00000031003.11,FAM13B,FAM13B,1.138,0.832,1.445,5.893,7.587,2.05360171801123e-08,1.16569214441722e-05,9.35962371341203
ENSG00000213995.12,NAXD,NAXD,0.95,0.694,1.205,5.479,7.582,2.08058896977506e-08,1.16569214441722e-05,9.35058611497541
ENSG00000148399.13,DPH7,DPH7,1.199,0.874,1.523,4.361,7.558,2.21341942344205e-08,1.2074785433672e-05,9.30368738647291
ENSG00000242588.7,,,1.205,0.877,1.533,6.078,7.506,2.53724514668571e-08,1.34661294104776e-05,9.145159035029
ENSG00000115459.18,ELMOD3,ELMOD3,1.078,0.784,1.372,3.98,7.497,2.59838483559626e-08,1.34661294104776e-05,9.14412407141027
ENSG00000100416.15,TRMU,TRMU,1.258,0.913,1.603,4.913,7.461,2.85287598368125e-08,1.44244193028567e-05,9.04288250109246
ENSG00000148297.16,MED22,MED22,1.082,0.783,1.38,5.24,7.407,3.29491103392899e-08,1.6262739460321e-05,8.9039279183032
ENSG00000291201.1,,,1.718,1.242,2.195,3.142,7.376,3.57711667005351e-08,1.6997528777664e-05,8.77360571192036
ENSG00000140326.13,CDAN1,CDAN1,1.334,0.964,1.704,4.172,7.372,3.60777263008787e-08,1.6997528777664e-05,8.8313611234409
ENSG00000198952.8,SMG5,SMG5,1.01,0.729,1.29,7.154,7.346,3.86344389997909e-08,1.77975982325704e-05,8.71311164301788
ENSG00000240230.6,COX19,COX19,1.416,1.022,1.811,4.61,7.332,4.01459617291389e-08,1.80918649270663e-05,8.72568153147256
ENSG00000175197.13,DDIT3,DDIT3,2.115,1.524,2.706,4.551,7.313,4.21562197142876e-08,1.85935837165358e-05,8.67336455312279
ENSG00000243716.12,NPIPB5,NPIPB5,2.403,1.727,3.078,5.509,7.266,4.77372126337088e-08,2.05367855644971e-05,8.54537620551049
ENSG00000278970.4,HEIH,HEIH,1.549,1.113,1.985,4.633,7.26,4.85432943878609e-08,2.05367855644971e-05,8.54404923053252
ENSG00000279583.1,,,5.625,4.036,7.214,-3.095,7.235,5.19076170153758e-08,2.15208980145748e-05,6.24178742708845
ENSG00000165275.10,TRMT10B,TRMT10B,1.44,1.029,1.85,3.104,7.173,6.12238402093059e-08,2.45382094392032e-05,8.24558772125625
ENSG00000011021.23,CLCN6,CLCN6,2.235,1.598,2.872,4.566,7.171,6.15526720134378e-08,2.45382094392032e-05,8.31635438934173
ENSG00000099625.14,CBARP,CBARP,2.355,1.682,3.028,2.883,7.15,6.50442611895632e-08,2.51319055693448e-05,8.2512621162445
ENSG00000137040.10,RANBP6,RANBP6,-0.988,-1.271,-0.706,5.16,-7.147,6.5466613639393e-08,2.51319055693448e-05,8.23593088668192
ENSG00000272888.8,CHASERR,CHASERR,1.495,1.064,1.925,6.226,7.101,7.41947840064923e-08,2.79646885900834e-05,8.10913860267007
ENSG00000067191.17,CACNB1,CACNB1,3.013,2.144,3.882,3.366,7.086,7.70606372394266e-08,2.82993086392528e-05,8.04317198051972
ENSG00000104859.15,CLASRP,CLASRP,1.632,1.161,2.103,4.827,7.079,7.86603985434342e-08,2.82993086392528e-05,8.06699946600953
ENSG00000198858.10,R3HDM4,R3HDM4,1.854,1.318,2.389,6.275,7.076,7.91779981223666e-08,2.82993086392528e-05,8.0189467636909
ENSG00000087206.17,UIMC1,UIMC1,1.468,1.042,1.893,4.854,7.05,8.49474292186317e-08,2.98467831813938e-05,7.99477342633801
ENSG00000198026.8,ZNF335,ZNF335,1.092,0.772,1.412,4.714,6.979,1.02735054334683e-07,3.54949612726331e-05,7.8046638238395
ENSG00000125779.24,PANK2,PANK2,1.493,1.054,1.932,5.709,6.954,1.0989693955169e-07,3.73469435558447e-05,7.71364851759919
ENSG00000148300.12,REXO4,REXO4,0.984,0.693,1.275,5.267,6.906,1.25026118393053e-07,4.18030876498062e-05,7.60285947113385
ENSG00000178761.15,FAM219B,FAM219B,1.018,0.717,1.32,5.669,6.899,1.2733480256578e-07,4.18992136061685e-05,7.56548218709385
ENSG00000206149.13,HERC2P9,HERC2P9,2.723,1.915,3.531,2.573,6.889,1.30788273867111e-07,4.23631393322689e-05,7.44185217968235
