ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000293311.1,SMPD4BP,SMPD4BP,2.823,2.477,3.168,4.14,16.702,1.39130087777439e-16,2.10922592527437e-12,27.5497198236383
ENSG00000103061.13,SLC7A6OS,SLC7A6OS,2.119,1.856,2.382,4.662,16.467,2.03495024146104e-16,2.10922592527437e-12,27.2528661267029
ENSG00000291073.1,,,4.061,3.529,4.592,3.938,15.613,8.36568312412275e-16,4.37124637545911e-12,25.553596531451
ENSG00000128272.18,ATF4,ATF4,2.752,2.392,3.113,8.835,15.608,8.43462879972814e-16,4.37124637545911e-12,26.0398138300292
ENSG00000132323.9,ILKAP,ILKAP,1.888,1.623,2.154,4.875,14.53,5.51168344670504e-15,2.28514395700391e-11,24.1473204338875
ENSG00000106089.12,STX1A,STX1A,3.768,3.211,4.326,4.02,13.812,2.04132338301206e-14,7.05277228830668e-11,22.7672617336625
ENSG00000196756.15,SNHG17,SNHG17,3.222,2.739,3.705,4.289,13.623,2.90921969275297e-14,8.6154463186813e-11,22.4471502279075
ENSG00000068028.18,RASSF1,RASSF1,2.601,2.205,2.997,5.434,13.43,4.18413990339704e-14,1.08421525246776e-10,22.1950009230576
ENSG00000006652.15,IFRD1,IFRD1,2.587,2.188,2.987,6.279,13.237,6.04687922083494e-14,1.39279784719898e-10,21.8481572924896
ENSG00000232956.10,SNHG15,SNHG15,2.957,2.494,3.419,4.896,13.071,8.32862977905539e-14,1.72652495319818e-10,21.496086330424
ENSG00000197989.15,SNHG12,SNHG12,4.34,3.652,5.027,4.657,12.894,1.17595400357041e-13,2.21613877218314e-10,21.1176308880771
ENSG00000291146.1,RP9P,RP9P,3.569,3,4.138,2.745,12.809,1.38938911532814e-13,2.40016969672936e-10,20.459704184838
ENSG00000272888.8,CHASERR,CHASERR,2.671,2.241,3.102,6.226,12.683,1.78017484200537e-13,2.83869419036703e-10,20.7740648270313
ENSG00000087206.17,UIMC1,UIMC1,2.517,2.109,2.925,4.854,12.601,2.09289295899719e-13,3.03843061283001e-10,20.6056834646889
ENSG00000291228.1,,,2.807,2.349,3.264,3.594,12.545,2.34325028799184e-13,3.03843061283001e-10,20.3066694713056
ENSG00000100483.14,VCPKMT,VCPKMT,2.181,1.825,2.536,3.345,12.544,2.34514663797782e-13,3.03843061283001e-10,20.3209112798471
ENSG00000031003.11,FAM13B,FAM13B,1.923,1.609,2.238,5.893,12.496,2.58338585990421e-13,3.15021111034201e-10,20.4111484113705
ENSG00000156232.7,WHAMM,WHAMM,2.691,2.241,3.142,4.872,12.217,4.52764031033233e-13,5.21433242406606e-10,19.8475391998259
ENSG00000125814.17,NAPB,NAPB,1.921,1.591,2.25,4.044,11.909,8.51139852073872e-13,9.28638375446914e-10,19.1359417281464
ENSG00000117569.20,PTBP2,PTBP2,3.509,2.905,4.113,4.064,11.872,9.1908541675421e-13,9.52632034465739e-10,19.0440190160654
ENSG00000135829.17,DHX9,DHX9,2.221,1.833,2.608,7.693,11.716,1.27123539770491e-12,1.21002941481455e-09,18.853860887959
ENSG00000227232.6,WASH7P,WASH7P,2.629,2.17,3.088,3.37,11.698,1.3181718839676e-12,1.21002941481455e-09,18.5792669671334
ENSG00000291124.1,,,4.651,3.837,5.464,3.33,11.689,1.34253142984731e-12,1.21002941481455e-09,18.5604894986035
ENSG00000291152.1,,SBDSP1,2.761,2.277,3.246,5.349,11.659,1.42964904242172e-12,1.23485936039176e-09,18.7377162665068
ENSG00000059769.20,DNAJC25,DNAJC25,2.349,1.932,2.766,4.558,11.514,1.93926440092079e-12,1.60803804124352e-09,18.415776179097
ENSG00000165275.10,TRMT10B,TRMT10B,2.232,1.834,2.63,3.104,11.467,2.14517334107039e-12,1.65629817342814e-09,18.0816731426728
ENSG00000163660.12,CCNL1,CCNL1,2.708,2.225,3.191,6.062,11.456,2.19244363226076e-12,1.65629817342814e-09,18.3181981668764
ENSG00000081721.12,DUSP12,DUSP12,2.059,1.691,2.427,4.372,11.447,2.23716106396468e-12,1.65629817342814e-09,18.2770993606074
ENSG00000228218.1,ATF4P3,ATF4P3,5.167,4.243,6.092,-2.259,11.421,2.36308061966491e-12,1.68919521536737e-09,14.0818705429922
ENSG00000268043.9,NBPF12,NBPF12,2.51,2.056,2.963,4.478,11.314,2.96909736682602e-12,2.05164628047678e-09,17.9746948439869
ENSG00000249967.1,,,-8.264,-9.77,-6.757,-4.924,-11.209,3.71311855112044e-12,2.41442809997067e-09,12.7245529818466
ENSG00000152457.19,DCLRE1C,DCLRE1C,2.082,1.702,2.462,4.83,11.208,3.7270477182374e-12,2.41442809997067e-09,17.7880967477901
ENSG00000106638.18,TBL2,TBL2,1.787,1.458,2.116,5.641,11.107,4.62434724074351e-12,2.90493085759433e-09,17.5836604419891
ENSG00000175197.13,DDIT3,DDIT3,3.228,2.626,3.829,4.551,10.969,6.24577715907518e-12,3.80808707375378e-09,17.2105795630475
ENSG00000137073.24,UBAP2,UBAP2,1.158,0.939,1.377,6.016,10.801,9.00987329437248e-12,5.33641923978119e-09,16.9183024008081
ENSG00000258890.8,CEP95,CEP95,2.003,1.622,2.384,4.512,10.735,1.04304853482852e-11,6.00622114638757e-09,16.773317660692
ENSG00000291118.1,,ZNF767P,2.583,2.076,3.091,3.076,10.4,2.19844274760607e-11,1.23172211237497e-08,15.9833784653365
ENSG00000205534.6,SMG1P2,SMG1P2,3.45,2.771,4.13,2.767,10.379,2.3053509039771e-11,1.25762958524856e-08,15.8571227624748
ENSG00000162971.11,TYW5,TYW5,2.348,1.884,2.812,4.58,10.333,2.55427798902175e-11,1.35769699262618e-08,15.9030599587609
ENSG00000154144.13,TBRG1,TBRG1,1.621,1.297,1.945,5.632,10.229,3.23227670870082e-11,1.6751274042842e-08,15.6599362049255
ENSG00000131051.24,RBM39,RBM39,1.503,1.199,1.807,7.642,10.095,4.39582418811698e-11,2.1990491553089e-08,15.3346299406289
ENSG00000288632.1,,,4.19,3.341,5.039,3.538,10.089,4.45538179078503e-11,2.1990491553089e-08,15.3074370172259
ENSG00000109920.13,FNBP4,FNBP4,1.928,1.532,2.323,5.882,9.965,5.92213740486676e-11,2.84598128767223e-08,15.0502558917735
ENSG00000168564.6,CDKN2AIP,CDKN2AIP,1.607,1.277,1.937,5.419,9.956,6.04067422371337e-11,2.84598128767223e-08,15.0482697270297
ENSG00000291201.1,,,2.127,1.687,2.567,3.142,9.878,7.23900335685903e-11,3.28979012765031e-08,14.8343289708222
ENSG00000291078.1,,,1.918,1.521,2.315,3.099,9.874,7.30006492387431e-11,3.28979012765031e-08,14.8115003392716
ENSG00000076685.19,NT5C2,NT5C2,1.577,1.249,1.904,7.528,9.843,7.84867016484239e-11,3.46176452164218e-08,14.7597354282154
ENSG00000182400.15,TRAPPC6B,TRAPPC6B,1.18,0.934,1.425,5.496,9.817,8.33938013486845e-11,3.56771509400638e-08,14.7207468036584
ENSG00000115137.12,DNAJC27,DNAJC27,1.994,1.579,2.41,3.164,9.812,8.43309404757899e-11,3.56771509400638e-08,14.5529348123713
ENSG00000291092.1,PMS2P3,PMS2P3,3.023,2.391,3.655,2.489,9.775,9.18895817235778e-11,3.80974205825954e-08,14.4629760013904
ENSG00000197818.12,SLC9A8,SLC9A8,1.503,1.188,1.818,5.094,9.745,9.85656383924527e-11,4.00640330171675e-08,14.573005008105
