gene_id	dominant_isoform_id	non_dominant_isoform_id	event_type	direction	five_prime	three_prime	bp_diff	cumulative_shift	is_causal	is_contributing	cause_type	net_shift	net_frame_status
ENSG00000000971	PB.2640.10	PB.2640.20	A3SS	GAIN	196737475	196737475	1	1	TRUE	TRUE	frame_disruption	1	frame_disrupted
ENSG00000000971	PB.2640.10	PB.2640.39	A3SS	GAIN	196726456	196726469	14	14	TRUE	TRUE	frame_disruption	15	frame_preserved
ENSG00000002016	ENST00000952665.1	ENST00000545564.6	SE	GAIN	926946	926796	151	151	TRUE	TRUE	frame_disruption	-3864	frame_preserved
ENSG00000003436	PB.18194.128	PB.18194.98	Partial_IR_5	LOSS	187488337	187487680	656	-656	TRUE	TRUE	frame_disruption	-656	frame_disrupted
ENSG00000003509	PB.16672.15	PB.16672.22	Partial_IR_3	LOSS	37248135	37248257	123	-123	FALSE	TRUE	NA	-123	frame_preserved
ENSG00000003756	ENST00000852702.1	ENST00000438369.5	SE	GAIN	50092979	50093042	64	64	TRUE	TRUE	frame_disruption	-18927	frame_preserved
ENSG00000003756	ENST00000852702.1	PB.21601.7	A3SS	GAIN	50105549	50105626	78	78	FALSE	TRUE	NA	43	frame_disrupted
ENSG00000003756	ENST00000852702.1	PB.21601.7	A3SS	GAIN	50109603	50109608	6	84	FALSE	TRUE	NA	43	frame_disrupted
ENSG00000003756	ENST00000852702.1	PB.21601.7	A5SS	LOSS	50113528	50113544	17	67	TRUE	TRUE	frame_disruption	43	frame_disrupted
ENSG00000004455	PB.665.83	ENST00000695599.1	Partial_IR_5	GAIN	33036735	33031840	4896	4896	TRUE	TRUE	direct_stop_insertion	5109	frame_preserved
ENSG00000004455	PB.665.83	PB.665.7	SE	GAIN	33021461	33021367	95	95	TRUE	TRUE	frame_disruption	95	frame_disrupted
ENSG00000005206	PB.14829.26	PB.14829.38	Missing_Internal	GAIN	2343965	2344039	75	75	FALSE	TRUE	NA	38	frame_disrupted
ENSG00000005206	PB.14829.26	PB.14829.38	Missing_Internal	GAIN	2344362	2344424	63	138	FALSE	TRUE	NA	38	frame_disrupted
ENSG00000005206	PB.14829.26	PB.14829.38	SE	LOSS	2344553	2344652	100	38	TRUE	TRUE	frame_disruption	38	frame_disrupted
