comparator_isoform_id	gene_id	reference_isoform_id	subclass	stop_tx_pos_used	in_last_exon	distance_to_start_nt	exon_length_at_stop_nt	within_50nt_of_last_ej	mashr_posterior_mean_logfc	chr	h5_split	our_model_prob
ENSG00000000419.15.novel1	ENSG00000000419.15	ENST00000371588.10	NMD+/PTC+	1244	FALSE	1244	96	FALSE	1.87387173223883	chr20	train	0.9625191
ENSG00000000457.15.novel2	ENSG00000000457.15	ENST00000367771.11	NMD+/PTC+	1154	FALSE	1154	185	FALSE	3.7595841310597	chr1	test	0.8933987
ENSG00000001084.14.novel1	ENSG00000001084.14	ENST00000515580.1	NMD+/PTC-	2409	TRUE	2409	1627	TRUE	4.61269575905393	chr6	train	0.99303496
ENSG00000001084.14.novel7	ENSG00000001084.14	ENST00000515580.1	Control	1298	TRUE	1298	1631	TRUE	-0.0264295328126536	chr6	train	0.19105436
ENSG00000001497.19.novel1	ENSG00000001497.19	ENST00000374811.8	NMD+/PTC+	980	FALSE	980	86	FALSE	5.18947827371974	chrX	train	0.9783092
ENSG00000003402.22.novel42	ENSG00000003402.22	ENST00000341222.10	NMD+/PTC-	1270	TRUE	1270	3909	TRUE	1.75455698346143			
ENSG00000003402.22.novel46	ENSG00000003402.22	ENST00000341222.10	Control	3542	TRUE	3542	745	TRUE	0.0454923459624371	chr2	val	0.32739595
ENSG00000004864.15.novel1	ENSG00000004864.15	ENST00000265631.10	NMD+/PTC+	664	FALSE	664	140	FALSE	3.57459408973923	chr7	test	0.70769936
ENSG00000004864.15.novel2	ENSG00000004864.15	ENST00000265631.10	Control	945	TRUE	945	3101	TRUE	-0.0449547744708603	chr7	test	0.062324602
ENSG00000005238.21.novel1	ENSG00000005238.21	ENST00000903794.1	NMD+/PTC+	872	FALSE	872	59	FALSE	3.22421589753379	chr9	train	0.70373034
ENSG00000005436.15.novel1	ENSG00000005436.15	ENST00000470503.1	Control	831	TRUE	831	1137	TRUE	-0.0569516582799041	chr2	val	0.038607266
ENSG00000005436.15.novel3	ENSG00000005436.15	ENST00000470503.1	NMD+/PTC+	1211	FALSE	1211	82	FALSE	3.86792921979151	chr2	val	0.9957873
ENSG00000006194.12.novel67	ENSG00000006194.12	ENST00000575823.2	NMD+/PTC-	2757	TRUE	2757	4011	TRUE	3.16311932782003	chr16	train	0.5709114
ENSG00000006282.23.novel1	ENSG00000006282.23	ENST00000503127.5	NMD+/PTC+	1929	FALSE	1929	670	FALSE	1.87068337434969	chr17	train	0.8809016
ENSG00000007341.20.novel6	ENSG00000007341.20	ENST00000473206.5	NMD+/PTC-	1089	TRUE	1089	740	TRUE	3.67400030691922	chr1	test	0.33553863
ENSG00000007541.18.novel18	ENSG00000007541.18	ENST00000026218.9	NMD+/PTC+	1276	FALSE	1276	112	FALSE	1.63856597293149	chr16	train	0.97072965
