ensembl_gene_id,hgnc_symbol,entrez_id,n_ptcneg_isoforms,categories,max_n_ct_nmd,max_nmd_logfc
ENSG00000003402,CFLAR,8837,1,truncated_no_ejc,1,1.755
ENSG00000005020,SKAP2,8935,1,no_downstream_ejc,2,1.834
ENSG00000005812,FBXL3,26224,1,truncated_no_ejc,4,1.621
ENSG00000007923,DNAJC11,55735,1,truncated_no_ejc,1,2.37
ENSG00000008130,NADK,65220,1,no_downstream_ejc,4,2.462
ENSG00000008324,SS18L2,51188,1,no_downstream_ejc,3,2.434
ENSG00000010438,PRSS3,5646,1,no_downstream_ejc,1,4.315
ENSG00000013523,ANGEL1,23357,1,no_downstream_ejc,3,2.921
ENSG00000013563,DNASE1L1,1774,1,no_downstream_ejc,4,2.795
ENSG00000031698,SARS1,6301,1,truncated_no_ejc,3,0.466
ENSG00000033627,ATP6V0A1,535,1,truncated_no_ejc,3,2.193
ENSG00000037241,RPL26L1,51121,1,no_downstream_ejc,3,5.539
ENSG00000039650,PNKP,11284,2,no_downstream_ejc,4,2.37
ENSG00000041880,PARP3,10039,1,no_downstream_ejc,1,1.577
ENSG00000041988,THAP3,90326,1,truncated_no_ejc,4,2.181
ENSG00000046647,GEMIN8,54960,1,no_downstream_ejc,2,2.778
ENSG00000047230,CTPS2,56474,1,no_downstream_ejc,1,1.227
ENSG00000048140,TSPAN17,26262,1,truncated_no_ejc,1,1.153
ENSG00000051108,HERPUD1,9709,1,truncated_no_ejc,1,2.918
ENSG00000053501,USE1,55850,2,truncated_no_ejc,4,2.26
ENSG00000063176,SPHK2,56848,1,truncated_no_ejc,4,2.369
ENSG00000065548,ZC3H15,55854,1,truncated_no_ejc,4,4.497
ENSG00000066044,ELAVL1,1994,1,truncated_no_ejc,3,1.994
ENSG00000066136,NFYC,4802,2,no_downstream_ejc,4,3.674
ENSG00000068028,RASSF1,11186,1,no_downstream_ejc,4,2.822
ENSG00000068438,FTSJ1,24140,1,no_downstream_ejc,1,0.988
ENSG00000070367,EXOC5,10640,1,truncated_no_ejc,3,3.526
ENSG00000071082,RPL31,6160,1,no_downstream_ejc,4,1.563
ENSG00000073350,LLGL2,3993,1,truncated_no_ejc,1,0.877
ENSG00000073584,SMARCE1,6605,1,truncated_no_ejc,3,1.08
ENSG00000074582,BCS1L,617,1,no_downstream_ejc,1,1.24
ENSG00000074603,DPP8,54878,1,truncated_no_ejc,4,1.504
ENSG00000077238,IL4R,3566,1,truncated_no_ejc,4,2.865
ENSG00000081386,ZNF510,22869,1,no_downstream_ejc,4,2.926
ENSG00000081923,ATP8B1,5205,1,truncated_no_ejc,3,1.591
ENSG00000082556,OPRK1,4986,1,truncated_no_ejc,1,1.443
ENSG00000083845,RPS5,6193,2,no_downstream_ejc,4,3.347
ENSG00000086200,IPO11,51194,3,no_downstream_ejc,4,3.743
ENSG00000086730,LAT2,7462,1,no_downstream_ejc,4,2.895
ENSG00000087074,PPP1R15A,23645,2,no_downstream_ejc;truncated_no_ejc,4,1.635
ENSG00000087884,AAMDC,28971,3,no_downstream_ejc,3,2.952
ENSG00000088035,ALG6,29929,1,truncated_no_ejc,4,2.434
ENSG00000088726,TMEM40,55287,2,truncated_no_ejc,1,1.656
ENSG00000088826,SMOX,54498,2,no_downstream_ejc;truncated_no_ejc,4,2.259
ENSG00000088992,TESC,54997,1,truncated_no_ejc,1,2.528
ENSG00000089248,ERP29,10961,1,truncated_no_ejc,4,2.498
ENSG00000089289,IGBP1,3476,1,no_downstream_ejc,4,1.386
ENSG00000090989,EXOC1,55763,1,truncated_no_ejc,1,1.571
ENSG00000092199,HNRNPC,3183,1,no_downstream_ejc,4,2.372
ENSG00000092201,SUPT16H,11198,1,truncated_no_ejc,4,1.277
ENSG00000093144,ECHDC1,55862,2,no_downstream_ejc;truncated_no_ejc,4,2.968
ENSG00000095574,IKZF5,64376,1,truncated_no_ejc,4,1.912
ENSG00000096063,SRPK1,6732,1,truncated_no_ejc,2,1.618
ENSG00000096080,MRPS18A,55168,1,truncated_no_ejc,4,0.647
ENSG00000099622,CIRBP,1153,1,no_downstream_ejc,4,1.742
ENSG00000099849,RASSF7,8045,1,truncated_no_ejc,4,1.29
ENSG00000099968,BCL2L13,23786,1,truncated_no_ejc,4,1.659
ENSG00000100227,POLDIP3,84271,1,truncated_no_ejc,4,0.747
ENSG00000100263,RHBDD3,25807,1,truncated_no_ejc,4,1.978
ENSG00000100266,PACSIN2,11252,1,no_downstream_ejc,1,2.633
ENSG00000100296,THOC5,8563,1,no_downstream_ejc,4,1.249
ENSG00000100300,TSPO,706,1,no_downstream_ejc,4,2.275
ENSG00000100603,SNW1,22938,1,truncated_no_ejc,4,1.788
ENSG00000100814,CCNB1IP1,57820,3,no_downstream_ejc,4,2.141
ENSG00000101152,DNAJC5,80331,1,no_downstream_ejc,4,3.225
ENSG00000101294,HM13,81502,1,truncated_no_ejc,4,1.422
ENSG00000101928,MOSPD1,56180,1,truncated_no_ejc,4,1.592
ENSG00000102225,CDK16,5127,1,no_downstream_ejc,4,0.706
ENSG00000102898,NUTF2,10204,1,no_downstream_ejc,4,1.344
ENSG00000103066,PLA2G15,23659,1,truncated_no_ejc,4,1.314
ENSG00000103550,KNOP1,400506,1,no_downstream_ejc,4,2.812
ENSG00000104221,BRF2,55290,1,truncated_no_ejc,4,2.347
ENSG00000104365,IKBKB,3551,1,truncated_no_ejc,1,1.123
ENSG00000104825,NFKBIB,4793,1,truncated_no_ejc,4,1.138
ENSG00000104886,PLEKHJ1,55111,1,truncated_no_ejc,4,0.943
ENSG00000104946,TBC1D17,79735,1,truncated_no_ejc,4,1.946
ENSG00000104957,YJU2B,81576,2,no_downstream_ejc,4,2.649
ENSG00000105499,PLA2G4C,8605,1,truncated_no_ejc,1,2.043
ENSG00000106258,CYP3A5,1577,1,truncated_no_ejc,1,2.536
ENSG00000106404,CLDN15,24146,3,no_downstream_ejc,4,4.109
ENSG00000107960,STN1,79991,1,no_downstream_ejc,4,0.606
ENSG00000108433,GOSR2,9570,1,truncated_no_ejc,4,1.975
ENSG00000109016,DHRS7B,25979,1,truncated_no_ejc,4,1.628
ENSG00000109065,NAT9,26151,3,no_downstream_ejc;truncated_no_ejc,4,3.064
ENSG00000109066,SLC38A12,54868,1,truncated_no_ejc,3,1.683
ENSG00000109534,GAR1,54433,2,no_downstream_ejc,4,4.394
ENSG00000110851,PRDM4,11108,1,truncated_no_ejc,1,1.201
ENSG00000111269,CREBL2,1389,1,truncated_no_ejc,1,1.187
ENSG00000111678,C12orf57,113246,1,truncated_no_ejc,1,1.374
ENSG00000112561,TFEB,7942,1,no_downstream_ejc,4,2.551
ENSG00000113638,TTC33,23548,1,truncated_no_ejc,4,1.596
ENSG00000114023,FAM162A,26355,1,no_downstream_ejc,1,4.546
ENSG00000114648,KLHL18,23276,1,no_downstream_ejc,1,0.497
ENSG00000115661,STK16,8576,1,no_downstream_ejc,4,2.81
ENSG00000115919,KYNU,8942,1,no_downstream_ejc,2,1.863
ENSG00000115946,PNO1,56902,1,truncated_no_ejc,4,1.59
ENSG00000116704,SLC35D1,23169,1,truncated_no_ejc,4,1.722
ENSG00000116871,MAP7D1,55700,1,truncated_no_ejc,1,1.531
ENSG00000116874,WARS2,10352,2,truncated_no_ejc,4,1.708
ENSG00000117411,B4GALT2,8704,1,no_downstream_ejc,4,1.542
ENSG00000117525,F3,2152,1,truncated_no_ejc,1,1.556
ENSG00000117640,MTFR1L,56181,1,truncated_no_ejc,1,0.304
ENSG00000117859,OSBPL9,114883,2,no_downstream_ejc;truncated_no_ejc,4,3.848
ENSG00000118292,C1orf54,79630,5,no_downstream_ejc;truncated_no_ejc,4,4.302
ENSG00000118680,MYL12B,103910,1,no_downstream_ejc,4,1.693
ENSG00000119559,C19orf25,148223,1,truncated_no_ejc,4,1.469
ENSG00000119599,DCAF4,26094,1,truncated_no_ejc,4,3.421
ENSG00000119707,RBM25,58517,1,truncated_no_ejc,4,3.298
ENSG00000119725,ZNF410,57862,1,no_downstream_ejc,4,0.996
ENSG00000121289,CEP89,84902,1,truncated_no_ejc,4,1.629
ENSG00000121417,ZNF211,10520,1,no_downstream_ejc,2,1.865
ENSG00000121931,LRIF1,55791,1,no_downstream_ejc,4,2.641
ENSG00000122026,RPL21,6144,3,no_downstream_ejc;truncated_no_ejc,4,3.136
ENSG00000122085,MTERF4,130916,1,truncated_no_ejc,4,2.593
ENSG00000122335,SERAC1,84947,1,truncated_no_ejc,4,3.435
ENSG00000122565,CBX3,11335,1,truncated_no_ejc,4,1.99
ENSG00000123297,TSFM,10102,1,truncated_no_ejc,4,2.437
ENSG00000123395,ATG101,60673,2,no_downstream_ejc,4,3.335
ENSG00000124508,BTN2A2,10385,1,no_downstream_ejc,4,1.861
ENSG00000124588,NQO2,4835,2,no_downstream_ejc,4,3.941
ENSG00000124596,OARD1,221443,2,truncated_no_ejc,4,1.31
ENSG00000124641,MED20,9477,1,truncated_no_ejc,4,2.926
ENSG00000125257,ABCC4,10257,1,truncated_no_ejc,3,1.566
