comparator_isoform_id	gene_id	reference_isoform_id	subclass	chr	h5_split	mashr_posterior_mean_logfc	our_model_prob	nmdetective_b_score	nmdetective_b_leaf	nmdetective_b_call	nmdep_rule_score	nmdep_rule_leaf	nmdep_rule_call
ENSG00000000419.15.novel1	ENSG00000000419.15	ENST00000371588.10	NMD+/PTC+	chr20	train	1.87387173223883	0.9625191	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000000457.15.novel2	ENSG00000000457.15	ENST00000367771.11	NMD+/PTC+	chr1	test	3.7595841310597	0.8933987	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000001084.14.novel1	ENSG00000001084.14	ENST00000515580.1	NMD+/PTC-	chr6	train	4.61269575905393	0.99303496	0	last_exon	escape	0	last_exon	escape
ENSG00000001084.14.novel7	ENSG00000001084.14	ENST00000515580.1	Control	chr6	train	-0.0264295328126536	0.19105436	0	last_exon	escape	0	last_exon	escape
ENSG00000001497.19.novel1	ENSG00000001497.19	ENST00000374811.8	NMD+/PTC+	chrX	train	5.18947827371974	0.9783092	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000003402.22.novel42	ENSG00000003402.22	ENST00000341222.10	NMD+/PTC-	""	""	1.75455698346143		0	last_exon	escape	0	last_exon	escape
ENSG00000003402.22.novel46	ENSG00000003402.22	ENST00000341222.10	Control	chr2	val	0.0454923459624371	0.32739595	0	last_exon	escape	0	last_exon	escape
ENSG00000004864.15.novel1	ENSG00000004864.15	ENST00000265631.10	NMD+/PTC+	chr7	test	3.57459408973923	0.70769936	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000004864.15.novel2	ENSG00000004864.15	ENST00000265631.10	Control	chr7	test	-0.0449547744708603	0.062324602	0	last_exon	escape	0	last_exon	escape
ENSG00000005238.21.novel1	ENSG00000005238.21	ENST00000903794.1	NMD+/PTC+	chr9	train	3.22421589753379	0.70373034	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
