gene_id	dominant_isoform_id	non_dominant_isoform_id	dom_start_codon	both_valid_atg	dom_scanned_orf_length_nt	comp_scanned_orf_length_nt	dom_stop_codon_type	comp_stop_codon_type	dom_reached_end	comp_reached_end	dom_ptc_distance	comp_ptc_distance	dom_has_ptc	comp_has_ptc	orf_length_diff	n_cds_events	net_shift	net_frame_status
ENSG00000171189	ENST00000399913.5	ENST00000399909.5	29939500	TRUE	2760	2709	TGA	TAA	FALSE	FALSE	-154	-148	FALSE	FALSE	-51	2	-16364	frame_disrupted
ENSG00000186714	ENST00000531481.1	PB.5243.1	32760243	TRUE	474	1341	TAG	NA	FALSE	TRUE	-85	NA	FALSE	NA	867	1	-3675	frame_preserved
ENSG00000186714	PB.5243.1	ENST00000531481.1	32760243	TRUE	1341	474	NA	TAG	TRUE	FALSE	NA	-85	NA	FALSE	-867	2	-60212	frame_disrupted
ENSG00000188133	ENST00000342743.6	ENST00000925499.1	32784184	TRUE	705	705	TAA	TAA	FALSE	FALSE	-764	-764	FALSE	FALSE	0	NA	NA	NA
ENSG00000274305	ENST00000610314.2	ENST00000622672.4	356030	TRUE	2343	2400	TAA	TGA	FALSE	FALSE	-28	-161	FALSE	FALSE	57	3	65	frame_disrupted
ENSG00000274305	ENST00000622672.4	ENST00000610314.2	356030	TRUE	2400	2343	TGA	TAA	FALSE	FALSE	-161	-28	FALSE	FALSE	-57	3	-65	frame_disrupted
ENSG00000037241	ENST00000906540.1	ENST00000906541.1	172959874	TRUE	435	435	TAA	TAA	FALSE	FALSE	51	-127	TRUE	FALSE	0	NA	NA	NA
ENSG00000037241	ENST00000906540.1	PB.26520.11	172959874	TRUE	435	267	TAA	TAG	FALSE	FALSE	51	625	TRUE	TRUE	-168	4	95	frame_disrupted
ENSG00000037241	ENST00000906540.1	PB.26520.6	172959874	TRUE	435	435	TAA	TAA	FALSE	FALSE	51	51	TRUE	TRUE	0	NA	NA	NA
ENSG00000037241	ENST00000906540.1	PB.26520.14	172959874	TRUE	435	267	TAA	TAG	FALSE	FALSE	51	NA	TRUE	FALSE	-168	2	-9131	frame_disrupted
ENSG00000037241	ENST00000906540.1	ENST00000519522.1	172959874	TRUE	435	116	TAA	NA	FALSE	TRUE	51	NA	TRUE	NA	-319	2	-14831	frame_disrupted
ENSG00000037241	ENST00000519156.1	ENST00000906541.1	172959874	TRUE	384	435	NA	TAA	TRUE	FALSE	NA	-127	NA	FALSE	51	NA	NA	NA
ENSG00000037241	ENST00000519156.1	ENST00000906540.1	172959874	TRUE	384	435	NA	TAA	TRUE	FALSE	NA	51	NA	TRUE	51	NA	NA	NA
ENSG00000037241	ENST00000519156.1	PB.26520.14	172959874	TRUE	384	267	NA	TAG	TRUE	FALSE	NA	NA	NA	FALSE	-117	2	-3850	frame_disrupted
ENSG00000037241	ENST00000519156.1	PB.26520.6	172959874	TRUE	384	435	NA	TAA	TRUE	FALSE	NA	51	NA	TRUE	51	NA	NA	NA
ENSG00000064547	ENST00000862323.1	ENST00000592061.1	19627275	TRUE	1044	67	TAG	NA	FALSE	TRUE	-312	NA	FALSE	NA	-977	2	-4206	frame_preserved
ENSG00000064547	ENST00000914003.1	ENST00000592061.1	19627275	TRUE	1044	67	TAG	NA	FALSE	TRUE	-312	NA	FALSE	NA	-977	2	-4220	frame_disrupted
ENSG00000064547	ENST00000914003.1	ENST00000914000.1	19627275	TRUE	1044	1044	TAG	TAG	FALSE	FALSE	-312	-312	FALSE	FALSE	0	NA	NA	NA
ENSG00000078596	ENST00000933705.1	PB.33992.1	79367215	TRUE	762	789	TAA	TAA	FALSE	FALSE	-87	-87	FALSE	FALSE	27	1	27	frame_preserved
