event_key	cell_type	event_type	gene_id	gene_symbol	n_form1_isos	n_form2_isos	form1_any_ptc	form2_any_ptc	form1_ptc_known	form2_ptc_known	ptc_differs	ptc_in_inclusion	ptc_in_skipping
MV:SE:1253	MV	SE	ENSG00000059769	DNAJC25	2	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:1726	MV	SE	ENSG00000134884	ARGLU1	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:2908	MV	SE	ENSG00000148399	DPH7	6	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:3893	MV	SE	ENSG00000169045	HNRNPH1	7	4	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:4224	MV	SE	ENSG00000104331	BPNT2	1	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:4854	MV	SE	ENSG00000221914	PPP2R2A	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:5459	MV	SE	ENSG00000172172	MRPL13	3	1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:5924	MV	SE	ENSG00000178177	LCORL	4	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:6034	MV	SE	ENSG00000153558	FBXL2	3	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:6137	MV	SE	ENSG00000132254	ARFIP2	2	5	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:6588	MV	SE	ENSG00000120697	ALG5	1	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:6597	MV	SE	ENSG00000120697	ALG5	3	1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:6770	MV	SE	ENSG00000105821	DNAJC2	5	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:6865	MV	SE	ENSG00000087087	SRRT	2	5	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:8112	MV	SE	ENSG00000146963	LUC7L2	1	4	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:8344	MV	SE	ENSG00000189091	SF3B3	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:8507	MV	SE	ENSG00000106853	PTGR1	2	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:8892	MV	SE	ENSG00000119953	SMNDC1	2	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:8965	MV	SE	ENSG00000136243	NUP42	3	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:9369	MV	SE	ENSG00000196369	SRGAP2B	5	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:9410	MV	SE	ENSG00000166912	MTMR10	3	15	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:10551	MV	SE	ENSG00000140262	TCF12	1	11	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:10567	MV	SE	ENSG00000106144	CASP2	3	7	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:10634	MV	SE	ENSG00000111832	RWDD1	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:10753	MV	SE	ENSG00000175581	MRPL48	1	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:11062	MV	SE	ENSG00000185917	SETD4	4	10	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:12559	MV	SE	ENSG00000204256	BRD2	2	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:12622	MV	SE	ENSG00000130254	SAFB2	2	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:12898	MV	SE	ENSG00000147601	TERF1	3	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:13111	MV	SE	ENSG00000159640	ACE	5	5	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:13242	MV	SE	ENSG00000112763	BTN2A1	3	7	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:14469	MV	SE	ENSG00000087206	UIMC1	3	4	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:14677	MV	SE	ENSG00000102543	CDADC1	2	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:15679	MV	SE	ENSG00000155368	DBI	1	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:16224	MV	SE	ENSG00000065485	PDIA5	2	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:16622	MV	SE	ENSG00000112679	DUSP22	3	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:16916	MV	SE	ENSG00000171466	ZNF562	5	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:17174	MV	SE	ENSG00000254093	PINX1	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:17771	MV	SE	ENSG00000164347	GFM2	6	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:18118	MV	SE	ENSG00000153914	SREK1	2	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:18435	MV	SE	ENSG00000134352	IL6ST	1	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:18452	MV	SE	ENSG00000134352	IL6ST	3	1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:19099	MV	SE	ENSG00000087448	KLHL42	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:19218	MV	SE	ENSG00000115875	SRSF7	1	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:19836	MV	SE	ENSG00000163660	CCNL1	2	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
