comparator_isoform_id	gene_id	reference_isoform_id	comparison	distance	category	last_ejc_tx_pos	own_stop_tx_pos
ENSG00000000419.15.novel1	ENSG00000000419.15	ENST00000371588.10	NMD	264	effectively_ptc	1508	1244
ENSG00000003402.22.novel42	ENSG00000003402.22	ENST00000341222.10	NMD	-163	truncated_no_ejc	1107	1270
ENSG00000003402.22.novel46	ENSG00000003402.22	ENST00000341222.10	Control	-58	no_downstream_ejc	3482	3540
ENSG00000004864.15.novel1	ENSG00000004864.15	ENST00000265631.10	NMD	1505	effectively_ptc	2169	664
ENSG00000004864.15.novel2	ENSG00000004864.15	ENST00000265631.10	Control	-166	truncated_no_ejc	777	943
ENSG00000005436.15.novel1	ENSG00000005436.15	ENST00000470503.1	Control	-276	no_downstream_ejc	553	829
ENSG00000005436.15.novel3	ENSG00000005436.15	ENST00000470503.1	NMD	1047	effectively_ptc	2258	1211
ENSG00000006194.12.novel67	ENSG00000006194.12	ENST00000575823.2	NMD	-1164	no_downstream_ejc	1593	2757
ENSG00000006282.23.novel1	ENSG00000006282.23	ENST00000503127.5	NMD	768	effectively_ptc	2697	1929
ENSG00000007341.20.novel6	ENSG00000007341.20	ENST00000473206.5	NMD	-15	truncated_no_ejc	1074	1089
ENSG00000011105.15.novel1	ENSG00000011105.15	ENST00000011898.10	NMD	219	effectively_ptc	748	529
ENSG00000011638.12.novel2	ENSG00000011638.12	ENST00000233047.9	NMD	122	effectively_ptc	819	697
ENSG00000012171.21.novel22	ENSG00000012171.21	ENST00000616701.5	NMD	814	effectively_ptc	2022	1208
ENSG00000013441.18.novel26	ENSG00000013441.18	ENST00000321356.9	Control	2783	effectively_ptc	3583	800
ENSG00000013561.19.novel1	ENSG00000013561.19	ENST00000394520.7	Control	-56	no_downstream_ejc	1687	1743
ENSG00000018699.14.novel1	ENSG00000018699.14	ENST00000317907.9	NMD	94	effectively_ptc	2384	2290
ENSG00000019102.13.novel1	ENSG00000019102.13	ENST00000326621.10	NMD	263	effectively_ptc	1155	892
ENSG00000020129.17.novel2	ENSG00000020129.17	ENST00000356090.8	NMD	341	effectively_ptc	2286	1945
ENSG00000020426.12.novel2	ENSG00000020426.12	ENST00000261245.9	Control	-133	truncated_no_ejc	830	963
ENSG00000020426.12.novel6	ENSG00000020426.12	ENST00000261245.9	NMD	401	effectively_ptc	871	470
ENSG00000022840.17.novel36	ENSG00000022840.17	ENST00000325954.9	NMD	157	effectively_ptc	2739	2582
ENSG00000023228.16.novel1	ENSG00000023228.16	ENST00000233190.11	NMD	1339	effectively_ptc	2960	1621
ENSG00000023697.14.novel1	ENSG00000023697.14	ENST00000428559.7	Control	571	effectively_ptc	988	417
ENSG00000023697.14.novel2	ENSG00000023697.14	ENST00000428559.7	NMD	649	effectively_ptc	1083	434
ENSG00000023909.11.novel3	ENSG00000023909.11	ENST00000370238.8	NMD	103	effectively_ptc	1108	1005
ENSG00000025708.15.novel1	ENSG00000025708.15	ENST00000252029.8	NMD	300	effectively_ptc	2354	2054
ENSG00000026652.16.novel1	ENSG00000026652.16	ENST00000320285.9	NMD	311	effectively_ptc	1361	1050
ENSG00000030066.15.novel2	ENSG00000030066.15	ENST00000378460.7	NMD	2282	effectively_ptc	4365	2083
ENSG00000033178.14.novel4	ENSG00000033178.14	ENST00000322244.10	NMD	654	effectively_ptc	3038	2384
ENSG00000037474.16.novel2	ENSG00000037474.16	ENST00000264670.11	NMD	1308	effectively_ptc	2498	1190
ENSG00000038210.15.novel1	ENSG00000038210.15	ENST00000264864.8	NMD	831	effectively_ptc	1330	499
ENSG00000042088.15.novel5	ENSG00000042088.15	ENST00000393454.6	NMD	940	effectively_ptc	1803	863
ENSG00000042980.15.novel4	ENSG00000042980.15	ENST00000265769.9	NMD	555	effectively_ptc	2622	2067
ENSG00000048140.19.novel2	ENSG00000048140.19	ENST00000508164.6	NMD	-13	truncated_no_ejc	997	1010
ENSG00000048162.23.novel1	ENSG00000048162.23	ENST00000614830.5	NMD	110	effectively_ptc	1719	1609
ENSG00000049167.17.novel2	ENSG00000049167.17	ENST00000676185.1	NMD	922	effectively_ptc	1749	827
ENSG00000051009.12.novel1	ENSG00000051009.12	ENST00000449352.7	NMD	149	effectively_ptc	2982	2833
ENSG00000053372.6.novel1	ENSG00000053372.6	ENST00000330263.5	Control	149	effectively_ptc	1168	1019
ENSG00000053372.6.novel2	ENSG00000053372.6	ENST00000330263.5	NMD	324	effectively_ptc	810	486
ENSG00000053770.13.novel2	ENSG00000053770.13	ENST00000261558.8	NMD	629	effectively_ptc	1597	968
ENSG00000053770.13.novel5	ENSG00000053770.13	ENST00000261558.8	Control	2	truncated_no_ejc	969	967
ENSG00000054148.19.novel2	ENSG00000054148.19	ENST00000247665.12	Control	-216	no_downstream_ejc	1663	1879
ENSG00000054277.14.novel3	ENSG00000054277.14	ENST00000490673.5	NMD	453	effectively_ptc	1408	955
ENSG00000057019.17.novel21	ENSG00000057019.17	ENST00000326840.11	Control	-219	truncated_no_ejc	1382	1601
ENSG00000057019.17.novel3	ENSG00000057019.17	ENST00000326840.11	NMD	499	effectively_ptc	2262	1763
ENSG00000058063.18.novel1	ENSG00000058063.18	ENST00000323116.10	Control	-169	truncated_no_ejc	3651	3820
ENSG00000058063.18.novel2	ENSG00000058063.18	ENST00000323116.10	NMD	891	effectively_ptc	3723	2832
ENSG00000058085.16.novel1	ENSG00000058085.16	ENST00000264144.5	NMD	2515	effectively_ptc	3580	1065
ENSG00000058085.16.novel45	ENSG00000058085.16	ENST00000264144.5	Control	-166	truncated_no_ejc	3296	3462
ENSG00000058804.13.novel1	ENSG00000058804.13	ENST00000371429.4	Control	1752	effectively_ptc	2219	467
ENSG00000058804.13.novel4	ENSG00000058804.13	ENST00000371429.4	NMD	224	effectively_ptc	1847	1623
ENSG00000059758.9.novel5	ENSG00000059758.9	ENST00000261211.8	NMD	809	effectively_ptc	2092	1283
ENSG00000059758.9.novel7	ENSG00000059758.9	ENST00000261211.8	Control	-136	truncated_no_ejc	1178	1314
ENSG00000059769.21.novel8	ENSG00000059769.21	ENST00000313525.4	Control	-496	truncated_no_ejc	608	1104
ENSG00000060140.10.novel1	ENSG00000060140.10	ENST00000075503.8	Control	-203	no_downstream_ejc	1473	1676
ENSG00000060140.10.novel5	ENSG00000060140.10	ENST00000075503.8	NMD	530	effectively_ptc	1356	826
ENSG00000060558.4.novel1	ENSG00000060558.4	ENST00000262958.4	Control	-157	truncated_no_ejc	1276	1433
ENSG00000060558.4.novel3	ENSG00000060558.4	ENST00000262958.4	NMD	285	effectively_ptc	1187	902
ENSG00000062598.19.novel1	ENSG00000062598.19	ENST00000290246.11	Control	-199	no_downstream_ejc	2190	2389
ENSG00000062598.19.novel3	ENSG00000062598.19	ENST00000290246.11	NMD	1699	effectively_ptc	2106	407
ENSG00000063660.10.novel1	ENSG00000063660.10	ENST00000264039.7	Control	-409	no_downstream_ejc	2204	2613
ENSG00000063660.10.novel24	ENSG00000063660.10	ENST00000264039.7	NMD	379	effectively_ptc	1821	1442
ENSG00000064225.14.novel3	ENSG00000064225.14	ENST00000265261.11	NMD	708	effectively_ptc	1507	799
ENSG00000064419.15.novel1	ENSG00000064419.15	ENST00000265388.10	Control	2801	effectively_ptc	3358	557
ENSG00000065457.12.novel1	ENSG00000065457.12	ENST00000564657.2	Control	826	effectively_ptc	3230	2404
ENSG00000065457.12.novel4	ENSG00000065457.12	ENST00000564657.2	NMD	1047	effectively_ptc	2221	1174
ENSG00000065600.14.novel3	ENSG00000065600.14	ENST00000261455.9	NMD	96	effectively_ptc	1123	1027
ENSG00000066557.7.novel1	ENSG00000066557.7	ENST00000370952.4	NMD	1038	effectively_ptc	1991	953
ENSG00000066557.7.novel3	ENSG00000066557.7	ENST00000370952.4	Control	1284	effectively_ptc	1766	482
ENSG00000066629.20.novel2	ENSG00000066629.20	ENST00000262233.11	Control	-26	truncated_no_ejc	749	775
ENSG00000066629.20.novel6	ENSG00000066629.20	ENST00000262233.11	NMD	430	effectively_ptc	2486	2056
ENSG00000068724.19.novel2	ENSG00000068724.19	ENST00000319190.11	Control	-237	truncated_no_ejc	552	789
ENSG00000068724.19.novel4	ENSG00000068724.19	ENST00000319190.11	NMD	1755	effectively_ptc	3070	1315
ENSG00000068971.15.novel3	ENSG00000068971.15	ENST00000164133.7	NMD	914	effectively_ptc	1777	863
ENSG00000069998.13.novel1	ENSG00000069998.13	ENST00000336737.8	Control	1297	effectively_ptc	2143	846
ENSG00000069998.13.novel2	ENSG00000069998.13	ENST00000336737.8	NMD	138	effectively_ptc	1265	1127
ENSG00000070413.22.novel2	ENSG00000070413.22	ENST00000263196.12	NMD	677	effectively_ptc	1774	1097
ENSG00000070495.16.novel5	ENSG00000070495.16	ENST00000397625.9	Control	-344	truncated_no_ejc	829	1173
ENSG00000070540.14.novel2	ENSG00000070540.14	ENST00000262139.10	NMD	540	effectively_ptc	1354	814
ENSG00000070669.18.novel1	ENSG00000070669.18	ENST00000394308.8	NMD	346	effectively_ptc	1763	1417
ENSG00000071242.14.novel1	ENSG00000071242.14	ENST00000265678.9	Control	-76	truncated_no_ejc	1253	1329
ENSG00000071242.14.novel9	ENSG00000071242.14	ENST00000265678.9	NMD	1120	effectively_ptc	2382	1262
ENSG00000071539.15.novel2	ENSG00000071539.15	ENST00000166345.8	Control	50	no_downstream_ejc	1761	1711
ENSG00000071539.15.novel5	ENSG00000071539.15	ENST00000166345.8	NMD	306	effectively_ptc	1523	1217
ENSG00000072571.21.novel1	ENSG00000072571.21	ENST00000393915.9	NMD	1450	effectively_ptc	2095	645
ENSG00000072849.12.novel1	ENSG00000072849.12	ENST00000158771.9	NMD	111	effectively_ptc	1442	1331
ENSG00000072864.17.novel3	ENSG00000072864.17	ENST00000396354.6	NMD	286	effectively_ptc	1193	907
ENSG00000072864.17.novel38	ENSG00000072864.17	ENST00000396354.6	Control	-241	no_downstream_ejc	970	1211
ENSG00000072958.10.novel5	ENSG00000072958.10	ENST00000291439.8	NMD	542	effectively_ptc	1237	695
ENSG00000073792.17.novel3	ENSG00000073792.17	ENST00000382199.7	NMD	369	effectively_ptc	1880	1511
ENSG00000074527.14.novel1	ENSG00000074527.14	ENST00000343702.9	Control	-546	truncated_no_ejc	655	1201
ENSG00000074527.14.novel21	ENSG00000074527.14	ENST00000343702.9	NMD	970	effectively_ptc	2350	1380
ENSG00000075223.15.novel1	ENSG00000075223.15	ENST00000265361.8	Control	-10	truncated_no_ejc	1023	1033
ENSG00000075223.15.novel5	ENSG00000075223.15	ENST00000265361.8	NMD	141	effectively_ptc	2258	2117
