comparator_isoform_id	nmdep_rule_score	nmdep_rule_leaf	nmdep_rule_call
ENSG00000000419.15.novel1	0.65	trigger_nmd	trigger
ENSG00000000457.15.novel2	0.65	trigger_nmd	trigger
ENSG00000001084.14.novel1	0	last_exon	escape
ENSG00000001084.14.novel7	0	last_exon	escape
ENSG00000001497.19.novel1	0.65	trigger_nmd	trigger
ENSG00000003402.22.novel42	0	last_exon	escape
ENSG00000003402.22.novel46	0	last_exon	escape
ENSG00000004864.15.novel1	0.65	trigger_nmd	trigger
ENSG00000004864.15.novel2	0	last_exon	escape
ENSG00000005238.21.novel1	0.65	trigger_nmd	trigger
ENSG00000005436.15.novel1	0	last_exon	escape
ENSG00000005436.15.novel3	0.65	trigger_nmd	trigger
ENSG00000006194.12.novel67	0	last_exon	escape
ENSG00000006282.23.novel1	0.41	long_exon	escape
ENSG00000007341.20.novel6	0	last_exon	escape
ENSG00000007541.18.novel18	0.65	trigger_nmd	trigger
ENSG00000008294.23.novel3	0.65	trigger_nmd	trigger
ENSG00000008952.18.novel1	0.65	trigger_nmd	trigger
ENSG00000008952.18.novel26	0	last_exon	escape
ENSG00000010030.14.novel2	0.65	trigger_nmd	trigger
ENSG00000011105.15.novel1	0.65	trigger_nmd	trigger
ENSG00000011376.13.novel1	0	last_exon	escape
ENSG00000011376.13.novel2	0.65	trigger_nmd	trigger
ENSG00000011638.12.novel2	0.65	trigger_nmd	trigger
ENSG00000012171.21.novel22	0.65	trigger_nmd	trigger
ENSG00000013441.18.novel26	0	last_exon	escape
ENSG00000013561.19.novel1	0	last_exon	escape
ENSG00000018510.19.novel1	0.65	trigger_nmd	trigger
ENSG00000018510.19.novel53	0	last_exon	escape
ENSG00000018699.14.novel1	0.65	trigger_nmd	trigger
ENSG00000019102.13.novel1	0.65	trigger_nmd	trigger
ENSG00000019144.21.novel23	0.65	trigger_nmd	trigger
ENSG00000019144.21.novel3	0	last_exon	escape
ENSG00000020129.17.novel2	0.65	trigger_nmd	trigger
ENSG00000020426.12.novel2	0	last_exon	escape
ENSG00000020426.12.novel6	0.65	trigger_nmd	trigger
ENSG00000022840.17.novel36	0.65	trigger_nmd	trigger
ENSG00000023228.16.novel1	0.65	trigger_nmd	trigger
ENSG00000023608.6.novel11	0.65	trigger_nmd	trigger
ENSG00000023608.6.novel3	0	last_exon	escape
ENSG00000023697.14.novel1	0	last_exon	escape
ENSG00000023697.14.novel2	0.65	trigger_nmd	trigger
ENSG00000023909.11.novel3	0.65	trigger_nmd	trigger
ENSG00000025708.15.novel1	0.41	long_exon	escape
ENSG00000026652.16.novel1	0.65	trigger_nmd	trigger
ENSG00000028203.20.novel3	0.65	trigger_nmd	trigger
ENSG00000028310.19.novel1	0.65	trigger_nmd	trigger
ENSG00000029725.18.novel1	0	last_exon	escape
ENSG00000029725.18.novel5	0.65	trigger_nmd	trigger
ENSG00000030066.15.novel2	0.65	trigger_nmd	trigger
ENSG00000033178.14.novel4	0.65	trigger_nmd	trigger
ENSG00000037241.8.novel8	0	last_exon	escape
ENSG00000037474.16.novel2	0.65	trigger_nmd	trigger
ENSG00000038210.15.novel1	0.65	trigger_nmd	trigger
ENSG00000038532.18.novel2	0	last_exon	escape
ENSG00000038532.18.novel4	0	last_exon	escape
ENSG00000042088.15.novel2	0	last_exon	escape
ENSG00000042088.15.novel5	0.65	trigger_nmd	trigger
ENSG00000042980.15.novel4	0.65	trigger_nmd	trigger
ENSG00000047249.19.novel1	0.65	trigger_nmd	trigger
