isoform_id,reference_isoform_id,ensembl_gene_id,category,ref_orf_length,comp_orf_length,n_downstream_ejc,n_ct_nmd,max_nmd_logfc
ENSG00000003402.22.novel42,ENST00000341222.10,ENSG00000003402,truncated_no_ejc,663,549,0,1,1.755
ENSG00000005812.12.novel2,ENST00000355619.10,ENSG00000005812,truncated_no_ejc,1284,681,0,4,1.621
ENSG00000007923.18.novel3,ENST00000377577.10,ENSG00000007923,truncated_no_ejc,1677,444,0,1,2.37
ENSG00000008324.13.novel5,ENST00000011691.6,ENSG00000008324,no_downstream_ejc,231,231,0,3,2.434
ENSG00000010438.17.novel3,ENST00000361005.10,ENSG00000010438,no_downstream_ejc,417,417,0,1,4.315
ENSG00000013523.13.novel3,ENST00000251089.8,ENSG00000013523,no_downstream_ejc,2010,2073,0,3,2.921
ENSG00000033627.19.novel29,ENST00000393829.6,ENSG00000033627,truncated_no_ejc,2493,2409,0,3,2.193
ENSG00000037241.8.novel8,ENST00000265100.6,ENSG00000037241,no_downstream_ejc,435,435,0,3,5.539
ENSG00000039650.13.novel2,ENST00000322344.8,ENSG00000039650,no_downstream_ejc,1563,1563,0,4,2.37
ENSG00000039650.13.novel4,ENST00000322344.8,ENSG00000039650,no_downstream_ejc,1563,1563,0,1,1.723
ENSG00000041988.17.novel25,ENST00000866303.1,ENSG00000041988,truncated_no_ejc,717,444,0,4,2.181
ENSG00000046647.16.novel2,ENST00000680255.1,ENSG00000046647,no_downstream_ejc,726,726,0,2,2.778
ENSG00000048140.19.novel2,ENST00000508164.6,ENSG00000048140,truncated_no_ejc,987,759,0,1,1.153
ENSG00000053501.15.novel3,ENST00000263897.10,ENSG00000053501,truncated_no_ejc,777,423,0,4,2.26
ENSG00000063176.17.novel8,ENST00000245222.9,ENSG00000063176,truncated_no_ejc,1962,1575,0,4,2.369
ENSG00000065548.20.novel58,ENST00000337859.11,ENSG00000065548,truncated_no_ejc,1278,525,0,4,4.497
ENSG00000066044.16.novel1,ENST00000407627.7,ENSG00000066044,truncated_no_ejc,978,456,0,3,1.994
ENSG00000068028.19.novel1,ENST00000327761.7,ENSG00000068028,no_downstream_ejc,810,1068,0,4,2.822
ENSG00000070367.18.novel10,ENST00000621441.5,ENSG00000070367,truncated_no_ejc,2124,1179,0,3,3.526
ENSG00000073350.15.novel6,ENST00000375227.8,ENSG00000073350,truncated_no_ejc,1068,123,0,1,0.877
ENSG00000074582.16.novel1,ENST00000359273.8,ENSG00000074582,no_downstream_ejc,1257,1257,0,1,1.24
ENSG00000074603.20.novel7,ENST00000300141.11,ENSG00000074603,truncated_no_ejc,2646,873,0,4,1.504
